House of Representatives - 1998 Election 						
Swing to ALP						
By Division by Polling Place						

New South Wales						

* A two party preferred figure could not be calculated for the Division of Newcastle (NSW) as no Liberal or National Party						
 candidate was endorsed for the supplementary election. Therefore Newcastle does not appear in this table.						

Banks						

Polling Place	Formal	MELHAM		IACONO		Swing
Kurnell	1069	585	54.72	484	45.28	11.01
Lilli Pilli	1117	309	27.66	808	72.34	2.49
Miranda	2228	1068	47.94	1160	52.06	3.11
Miranda Central	1108	576	51.99	532	48.01	5.34
Miranda North	1961	902	46	1059	54	5.26
Special Hospital Team 1	135	69	51.11	66	48.89	19.44
Special Hospital Team 2	143	60	41.96	83	58.04	7.88
Sutherland East	750	390	52	360	48	6.32
Sutherland Hospital	760	356	46.84	404	53.16	4.68
Sutherland North (Cook)	1431	675	47.17	756	52.83	6.65
Sydney (Cook)	78	42	53.85	36	46.15	8.5
Sylvania	1196	456	38.13	740	61.87	7.17
Sylvania Central	677	223	32.94	454	67.06	1.45
Sylvania Heights	3357	1348	40.15	2009	59.85	6.02
Sylvania Waters	1039	291	28.01	748	71.99	2.64
Taren Point	917	313	34.13	604	65.87	5.51
Vickery Village	1510	544	36.03	966	63.97	6.87
Wanda Beach	952	397	41.7	555	58.3	-1.38
Woolooware	1784	799	44.79	985	55.21	3.69
Yowie Bay	2288	792	34.62	1496	65.38	3.3
ABSENT	5685	2296	40.39	3389	59.61	-
POSTAL	3778	1534	40.6	2244	59.4	-
PRE POLL	6078	2378	39.12	3700	60.88	-
PROVISIONAL	664	311	46.84	353	53.16	-
Division Total	73820	30310	41.06	43510	58.94	3.34


Cowper						

Polling Place	Formal	SEKFY		NEHL		Swing
	Votes	(ALP)	%	(NP)	%	%
Aldavilla	1131	424	37.49	707	62.51	4.49
Argents Hill	79	58	73.42	21	26.58	15.28
Bayldon	1680	789	46.96	891	53.04	4.59
Beechwood	652	214	32.82	438	67.18	2.82
Bellbrook	138	60	43.48	78	56.52	-4.69
Bellimbopinni	136	43	31.62	93	68.38	-3.05
Bellingen	1848	1044	56.49	804	43.51	11.76
Bellingen Hospital	284	178	62.68	106	37.32	17.33
Boambee	1059	303	28.61	756	71.39	1.39
Bonville	742	244	32.88	498	67.12	2.87
Bostobrick	116	37	31.9	79	68.1	5
Bowraville	1052	464	44.11	588	55.89	4.61
Coffs Harbour	1071	426	39.78	645	60.22	2.37
Coffs Harbour East	1523	778	51.08	745	48.92	10.78
Coffs Harbour Hospital	233	115	49.36	118	50.64	11.95
Coffs Harbour Jetty	1199	475	39.62	724	60.38	5.09
Coffs Harbour Narranga	1724	679	39.39	1045	60.61	6.03
Coffs Harbour South	1690	724	42.84	966	57.16	6.5
Coffs Harbour St Augustines	1221	477	39.07	744	60.93	1.79
Coffs Harbour West	3032	1175	38.75	1857	61.25	5.13
Coramba	323	150	46.44	173	53.56	5.75
Crescent Head	827	436	52.72	391	47.28	6.34
Deervale	85	27	31.76	58	68.24	7.02
Dorrigo	1040	339	32.6	701	67.4	5.59
Eungai Creek	311	138	44.37	173	55.63	-0.22
Frederickton	793	346	43.63	447	56.37	3.55
Gladstone	533	142	26.64	391	73.36	0.91
Gleniffer	185	103	55.68	82	44.32	9.87
Hat Head	259	113	43.63	146	56.37	-5.1
Hollisdale	97	31	31.96	66	68.04	6.96
Karangi	316	138	43.67	178	56.33	9.07
Kempsey	964	405	42.01	559	57.99	5.94
Kempsey East	881	314	35.64	567	64.36	6.35
Kempsey High	1392	561	40.3	831	59.7	4.15
Kempsey Hospital	211	95	45.02	116	54.98	1.64
Kempsey South	927	450	48.54	477	51.46	0.41
Kempsey West	940	394	41.91	546	58.09	2.34
Kinchela	134	53	39.55	81	60.45	11.97
Korora	1329	436	32.81	893	67.19	2.21
Kundabung	189	70	37.04	119	62.96	-10.89
Lowanna	126	60	47.62	66	52.38	7.16
Macksville	2208	754	34.15	1454	65.85	2.88
Medlow	190	78	41.05	112	58.95	-2.02
Missabotti	98	48	48.98	50	51.02	0.59
Moonee Beach	773	321	41.53	452	58.47	7.31
Mullaway	1066	540	50.66	526	49.34	3.89
Mylestom	407	214	52.58	193	47.42	8.03
Nambucca Heads	2014	967	48.01	1047	51.99	6.19
Nana Glen	495	245	49.49	250	50.51	9.61
Newville	1217	593	48.73	624	51.27	7.81
Pembrooke	161	53	32.92	108	67.08	16.61
Port Macquarie North Shore	312	131	41.99	181	58.01	5.9
Raleigh	244	107	43.85	137	56.15	3.24
Repton	164	92	56.1	72	43.9	11.61
Rollands Plains	139	37	26.62	102	73.38	5.41
Sandy Beach	1518	805	53.03	713	46.97	5.75
Sawtell	1970	1013	51.42	957	48.58	6.27
Scotts Head	512	265	51.76	247	48.24	2.89
Smithtown	409	178	43.52	231	56.48	5.6
South West Rocks	1182	517	43.74	665	56.26	0.27
South West Rocks South	1153	563	48.83	590	51.17	5.4
Special Hospital Team 1	186	69	37.1	117	62.9	1.38
Special Hospital Team 2	207	89	43	118	57	6.87
Stuarts Point	749	377	50.33	372	49.67	6.4
Sydney (Cowper)	22	15	68.18	7	31.82	13.34
Telegraph Point	542	176	32.47	366	67.53	1.73
Thora	250	143	57.2	107	42.8	-4.28
Toormina	2565	1189	46.35	1376	53.65	7.59
Ulong	93	43	46.24	50	53.76	18.05
Upper Orara	266	103	38.72	163	61.28	-2.43
Urunga	1867	948	50.78	919	49.22	6.56
Utungun	143	40	27.97	103	72.03	7.04
Valla Beach	717	330	46.03	387	53.97	-1.26
Warrell Creek	200	32	16	168	84	3.32
Willawarrin	445	194	43.6	251	56.4	2.51
Woolgoolga	2407	1164	48.36	1243	51.64	5.66
Yarras	88	23	26.14	65	73.86	5.94
ABSENT	4481	2076	46.33	2405	53.67	-
POSTAL	2629	975	37.09	1654	62.91	-
PRE POLL	5852	2472	42.24	3380	57.76	-
PROVISIONAL	924	515	55.74	409	44.26	-
Division Total	73337	32002	43.64	41335	56.36	5.2


Cunningham						

Polling Place	Formal	MARTIN		AKHURST		Swing
	Votes	(ALP)	%	(LP)	%	%
Austinmer	958	667	69.62	291	30.38	8.75
Balgownie	1070	638	59.63	432	40.37	7.49
Balgownie Central	2359	1537	65.15	822	34.85	6.63
Bellambi	1400	1179	84.21	221	15.79	6.05
Bulli	797	602	75.53	195	24.47	5.45
Bulli Central	2213	1688	76.28	525	23.72	7.15
Bulli Hospital	185	142	76.76	43	23.24	-3.7
Coledale	694	519	74.78	175	25.22	2.48
Coniston	1665	1278	76.76	387	23.24	2.79
Corrimal	2353	1770	75.22	583	24.78	7.46
Corrimal East	3018	2285	75.71	733	24.29	5.75
Fairy Meadow	1992	1452	72.89	540	27.11	6.44
Fairy Meadow South	215	147	68.37	68	31.63	3.58
Figtree (Cunningham)	2764	1669	60.38	1095	39.62	4.87
Figtree Heights	1127	640	56.79	487	43.21	6.06
Gwynneville	1254	876	69.86	378	30.14	9.19
Keiraville	2467	1488	60.32	979	39.68	7.97
Lindsay Park	2295	1381	60.17	914	39.83	6.75
Mount Keira	876	513	58.56	363	41.44	6.52
Mount Kembla	580	375	64.66	205	35.34	5.81
Mount Ousley	1771	1049	59.23	722	40.77	7.64
Mount Saint Thomas	1739	1111	63.89	628	36.11	6.79
Reidtown	744	519	69.76	225	30.24	2.45
Russell Vale	1306	1000	76.57	306	23.43	9.88
Scarborough	201	155	77.11	46	22.89	1.76
Smith's Hill	2203	1399	63.5	804	36.5	5.79
Special Hospital Team 1	117	87	74.36	30	25.64	14.19
Special Hospital Team 2	54	37	68.52	17	31.48	10.38
Sydney (Cunningham)	70	47	67.14	23	32.86	3.14
Tarrawanna	1722	1253	72.76	469	27.24	7.47
Thirroul	1735	1204	69.39	531	30.61	3.37
Thirroul East	1441	1020	70.78	421	29.22	4.58
Towradgi	1408	1063	75.5	345	24.5	5.04
Towradgi East	476	309	64.92	167	35.08	3.16
Unanderra (Cunningham)	1689	1197	70.87	492	29.13	6.52
Unanderra Central (Cunningham)	1270	904	71.18	366	28.82	5.62
Wollongong	2327	1651	70.95	676	29.05	7.45
Wollongong Central	1101	788	71.57	313	28.43	4.49
Wollongong Hospital	274	211	77.01	63	22.99	8.8
Wollongong West	1574	1028	65.31	546	34.69	2.07
Wombarra	268	219	81.72	49	18.28	15.3
Woonona	1402	1027	73.25	375	26.75	5.17
Woonona Central	1298	924	71.19	374	28.81	6.72
Woonona East	1596	1108	69.42	488	30.58	4.31
ABSENT	4522	2936	64.93	1586	35.07	-
POSTAL	3940	2523	64.04	1417	35.96	-
PRE POLL	3982	2434	61.13	1548	38.87	-
PROVISIONAL	492	374	76.02	118	23.98	-
Division Total	71004	48423	68.2	22581	31.8	5.29


Dobell						

Polling Place	Formal	LEE		PARKER		Swing
	Votes	(ALP)	%	(LP)	%	%
Bateau Bay Central	669	308	46.04	361	53.96	8.5
Bateau Bay East	1893	1032	54.52	861	45.48	2.97
Bateau Bay South	956	501	52.41	455	47.59	0.57
Bateau Bay West	337	222	65.88	115	34.12	-0.97
Berkeley Vale	2686	1428	53.16	1258	46.84	0.86
Berkeley Vale North	1166	606	51.97	560	48.03	2.83
Blue Haven	1051	635	60.42	416	39.58	4.8
Charmhaven	1182	697	58.97	485	41.03	3.69
Chittaway Bay	2326	1267	54.47	1059	45.53	0.65
Chittaway Point	374	196	52.41	178	47.59	1.12
Dooralong	118	45	38.14	73	61.86	13.33
Erina Heights (Dobell)	675	232	34.37	443	65.63	4.03
Forresters Beach	1040	531	51.06	509	48.94	3.54
Gorokan	1343	835	62.17	508	37.83	5.15
Gorokan North	2660	1693	63.65	967	36.35	6.61
Holgate	428	154	35.98	274	64.02	1.73
Jilliby	352	131	37.22	221	62.78	2.07
Kanwal	2189	1340	61.22	849	38.78	3.5
Killarney Vale	1469	872	59.36	597	40.64	4.41
Killarney Vale South	3383	1957	57.85	1426	42.15	5.04
Kulnura	311	126	40.51	185	59.49	10.69
Lake Haven	1202	655	54.49	547	45.51	0.4
Lisarow	1293	538	41.61	755	58.39	1.19
Long Jetty	1622	929	57.27	693	42.73	3.66
Long Jetty East	1112	611	54.95	501	45.05	3.16
Mardi	217	107	49.31	110	50.69	4.18
Matcham	300	73	24.33	227	75.67	1.43
Narara	1411	701	49.68	710	50.32	-0.76
Niagara Park (Dobell)	2325	1181	50.8	1144	49.2	2.33
Ourimbah	1711	741	43.31	970	56.69	4.14
San Remo (Dobell)	394	251	63.71	143	36.29	8.56
Shelly Beach	2166	1194	55.12	972	44.88	3.66
Special Hospital Team 1	239	120	50.21	119	49.79	-2.27
Special Hospital Team 2	411	224	54.5	187	45.5	6.6
Sydney (Dobell)	44	26	59.09	18	40.91	5.39
Tacoma	462	249	53.9	213	46.1	3.01
Terrigal (Dobell)	569	266	46.75	303	53.25	6.15
Terrigal Lagoon	850	360	42.35	490	57.65	1.41
The Entrance	1805	1101	61	704	39	7.41
The Entrance North	629	366	58.19	263	41.81	3.82
Tuggerah	810	368	45.43	442	54.57	0.36
Tuggerawong	552	324	58.7	228	41.3	-0.05
Tumbi Umbi	848	410	48.35	438	51.65	2.93
Valley View	505	225	44.55	280	55.45	-2.85
Wamberal	2135	911	42.67	1224	57.33	2
Wamberal North	762	296	38.85	466	61.15	5.12
Warnervale	985	545	55.33	440	44.67	5.13
Watanobbi	1090	710	65.14	380	34.86	-0.55
Wyoming (Dobell)	2441	1224	50.14	1217	49.86	2.98
Wyoming Central	1943	936	48.17	1007	51.83	3.82
Wyong	1748	931	53.26	817	46.74	2.03
Wyong Creek	196	69	35.2	127	64.8	-2.67
Wyong East	631	356	56.42	275	43.58	7.94
Wyongah	891	515	57.8	376	42.2	1.58
Yarramalong	193	86	44.56	107	55.44	4.75
ABSENT	4955	2699	54.47	2256	45.53	-
POSTAL	3488	1975	56.62	1513	43.38	-
PRE POLL	6390	3336	52.21	3054	47.79	-
PROVISIONAL	887	563	63.47	324	36.53	-
Division Total	76820	40980	53.35	35840	46.65	3.27


Eden-Monaro						

Polling Place	Formal	WHAN		NAIRN		Swing
	Votes	(ALP)	%	(LP)	%	%
Adaminaby	320	110	34.37	210	65.62	5.2
Araluen	125	52	41.6	73	58.4	3.67
Batehaven	1217	551	45.28	666	54.72	7.46
Batemans Bay	2384	1167	48.95	1217	51.05	5.55
Bega	2148	949	44.18	1199	55.82	3.01
Bega Central	942	423	44.9	519	55.1	4.48
Bemboka	392	160	40.82	232	59.18	6.34
Bermagui	1308	708	54.13	600	45.87	8.13
Berridale	602	245	40.7	357	59.3	6.13
Bibbenluke	141	54	38.3	87	61.7	1.2
Bimbimbie	274	91	33.21	183	66.79	2.12
Bodalla	451	211	46.78	240	53.22	0.3
Bombala	1020	455	44.61	565	55.39	7.77
Braidwood	1075	507	47.16	568	52.84	5.86
Bredbo	204	89	43.63	115	56.37	0.56
Brogo	201	104	51.74	97	48.26	8.53
Broulee	756	444	58.73	312	41.27	6.18
Bungendore	1444	759	52.56	685	47.44	5.74
Candelo	490	254	51.84	236	48.16	3.4
Captains Flat	240	167	69.58	73	30.42	4.58
Central Tilba	315	185	58.73	130	41.27	8.11
Cobargo	567	264	46.56	303	53.44	2.28
Cooma	1625	833	51.26	792	48.74	5.39
Cooma Hospital	298	156	52.35	142	47.65	2.11
Cooma North	1180	620	52.54	560	47.46	6.96
Cooma South	576	281	48.78	295	51.22	4.21
Dalgety	175	62	35.43	113	64.57	7.86
Dalmeny	1182	543	45.94	639	54.06	3.6
Delegate	279	99	35.48	180	64.52	8.06
Eden	1785	652	36.53	1133	63.47	7.95
Jerangle	55	17	30.91	38	69.09	12.39
Jerrabomberra	1582	655	41.4	927	58.6	-1.95
Jindabyne	1066	432	40.53	634	59.47	-0.66
Letchworth	258	170	65.89	88	34.11	6.7
Long Beach	298	140	46.98	158	53.02	-3.18
Majors Creek	94	52	55.32	42	44.68	-5.97
Malua Bay	866	352	40.65	514	59.35	3.47
Merimbula	1779	678	38.11	1101	61.89	5.53
Michelago	166	63	37.95	103	62.05	0.62
Mogo	329	175	53.19	154	46.81	12.31
Moruya	2517	1365	54.23	1152	45.77	6.52
Narooma	1732	848	48.96	884	51.04	8.86
Nelligen	213	114	53.52	99	46.48	11.27
Nimmitabel	359	165	45.96	194	54.04	5.46
Numeralla	137	58	42.34	79	57.66	16.16
Pambula	1244	570	45.82	674	54.18	11
Perisher Valley	134	53	39.55	81	60.45	-2.55
Quaama	304	177	58.22	127	41.78	8.38
Queanbeyan	1828	1076	58.86	752	41.14	5.52
Queanbeyan Central	1635	962	58.84	673	41.16	4.95
Queanbeyan East	1592	889	55.84	703	44.16	3.81
Queanbeyan High	1325	860	64.91	465	35.09	6.35
Queanbeyan Hospital	613	394	64.27	219	35.73	10.11
Queanbeyan North	897	558	62.21	339	37.79	8.22
Queanbeyan South	2840	1887	66.44	953	33.56	1.87
Queanbeyan West	1421	886	62.35	535	37.65	7.32
South Durras	198	110	55.56	88	44.44	3.5
Special Hospital Team 1	83	41	49.4	42	50.6	-2.37
Special Hospital Team 2	54	22	40.74	32	59.26	13.08
Special Hospital Team 3	52	26	50	26	50	14.71
Special Hospital Team 4	197	88	44.67	109	55.33	2.52
Sunshine Bay	1839	807	43.88	1032	56.12	8.06
Sutton (Eden-Monaro)	127	57	44.88	70	55.12	5.09
Sydney (Eden-Monaro)	36	15	41.67	21	58.33	-27.72
Tanja	128	102	79.69	26	20.31	5.75
Tathra	1385	699	50.47	686	49.53	2.32
Thredbo	125	39	31.2	86	68.8	-10.97
Tomakin	595	348	58.49	247	41.51	13
Towamba	119	67	56.3	52	43.7	11.22
Tura Beach	1060	393	37.08	667	62.92	9.07
Tuross Head	1271	615	48.39	656	51.61	4.51
Wallaga Lake Koori Village	32	31	96.87	1	3.12	7.69
Wamboin	473	223	47.15	250	52.85	7.29
Wolumla	413	175	42.37	238	57.63	4.22
Wyndham	251	138	54.98	113	45.02	0.89
ABSENT	3260	1583	48.56	1677	51.44	-
POSTAL	4646	1996	42.96	2650	57.04	-
PRE POLL	6813	3462	50.81	3351	49.19	-
PROVISIONAL	1025	632	61.66	393	38.34	-
Division Total	73182	36460	49.82	36722	50.18	4.58


Farrer						

Polling Place	Formal	VOSS		FISCHER		Swing
	Votes	(ALP)	%	(NP)	%	%
Albury	2230	968	43.41	1262	56.59	6.55
Albury East	946	425	44.93	521	55.07	12.49
Albury High School	2188	793	36.24	1395	63.76	4.86
Albury Mercy Hospital	192	80	41.67	112	58.33	15.5
Albury North	1735	762	43.92	973	56.08	8.89
Albury South	982	409	41.65	573	58.35	10.68
Albury West	1685	555	32.94	1130	67.06	2.96
Balldale	105	24	22.86	81	77.14	6.33
Balranald	827	375	45.34	452	54.66	5.92
Barham	1004	248	24.7	756	75.3	6.2
Barooga	783	266	33.97	517	66.03	9.63
Berrigan	886	222	25.06	664	74.94	6.16
Blighty	177	16	9.04	161	90.96	5.32
Boree Creek	140	30	21.43	110	78.57	6.64
Brocklesby	124	26	20.97	98	79.03	4.44
Bunnaloo	107	7	6.54	100	93.46	-2.63
Buronga	769	269	34.98	500	65.02	12.07
Burrumbuttock	178	31	17.42	147	82.58	4.53
Caldwell	53	2	3.77	51	96.23	-
Carabost	47	18	38.3	29	61.7	0.2
Conargo	108	16	14.81	92	85.19	-0.23
Cookardinia	62	12	19.35	50	80.65	9.98
Corowa	1764	676	38.32	1088	61.68	10.55
Corowa Hospital	924	315	34.09	609	65.91	-0.07
Corowa South	606	240	39.6	366	60.4	5.33
Culcairn	829	313	37.76	516	62.24	3.96
Curlwaa	143	54	37.76	89	62.24	19.58
Dareton	749	312	41.66	437	58.34	16.46
Daysdale	100	20	20	80	80	13.97
Deniliquin	1178	373	31.66	805	68.34	7.18
Deniliquin Hospital	340	122	35.88	218	64.12	1.18
Deniliquin North	1054	310	29.41	744	70.59	5.79
Deniliquin South	892	294	32.96	598	67.04	5.03
Deniliquin West	1371	525	38.29	846	61.71	4.09
Emery	175	11	6.29	164	93.71	3.12
Euston	377	123	32.63	254	67.37	6.1
Finley	1486	315	21.2	1171	78.8	3.61
Gerogery	219	77	35.16	142	64.84	13.12
Glenroy	1877	799	42.57	1078	57.43	5.43
Gol Gol	443	142	32.05	301	67.95	13.25
Hatfield	34	3	8.82	31	91.18	0.49
Henty	666	209	31.38	457	68.62	5.59
Holbrook	1085	384	35.39	701	64.61	5.95
Howlong	1278	573	44.84	705	55.16	10.45
Hume	1389	588	42.33	801	57.67	8.7
Jerilderie	694	221	31.84	473	68.16	5.74
Jindera	859	274	31.9	585	68.1	9.38
Jingellic	130	37	28.46	93	71.54	8.84
Khancoban	301	135	44.85	166	55.15	8.72
Koraleigh	235	55	23.4	180	76.6	7.73
Kyalite	61	9	14.75	52	85.25	-1.66
Lalalty	83	10	12.05	73	87.95	0.94
Lavington	2879	1275	44.29	1604	55.71	7.08
Lavington East	1878	820	43.66	1058	56.34	6.29
Lockhart	667	188	28.19	479	71.81	3.05
Logie Brae	75	5	6.67	70	93.33	-3.01
Lowesdale	103	14	13.59	89	86.41	3.3
Mathoura	545	246	45.14	299	54.86	7.6
Mayrung	108	11	10.19	97	89.81	0.09
Moama	1939	651	33.57	1288	66.43	7.24
Morundah	55	15	27.27	40	72.73	11.76
Morven	75	21	28	54	72	12.71
Moulamein	423	137	32.39	286	67.61	7.39
Mullengandra	134	29	21.64	105	78.36	4.98
Mulwala	1189	459	38.6	730	61.4	4.92
Murray Downs	198	38	19.19	160	80.81	6.39
Oaklands	245	60	24.49	185	75.51	8.57
Pomona	89	34	38.2	55	61.8	25.94
Pooncarie	135	33	24.44	102	75.56	18.06
Pretty Pine	88	15	17.05	73	82.95	7.43
Rand	191	27	14.14	164	85.86	2.92
Rennie	78	9	11.54	69	88.46	9.95
Rosewood	138	32	23.19	106	76.81	9.46
Special Hospital Team 1	48	11	22.92	37	77.08	-4.07
Special Hospital Team 2	80	24	30	56	70	6.77
Special Hospital Team 3	38	10	26.32	28	73.68	-29.24
Special Hospital Team 4	16	2	12.5	14	87.5	-7.5
Special Hospital Team 5	27	7	25.93	20	74.07	5.93
Springdale Heights	546	243	44.51	303	55.49	8.91
St Marks	1201	558	46.46	643	53.54	8.34
Sydney (Farrer)	9	4	44.44	5	55.55	-5.56
Table Top	233	49	21.03	184	78.97	1.61
The Retreat	90	3	3.33	87	96.67	-0.45
Thurgoona	1522	578	37.98	944	62.02	5
Tocumwal	1142	372	32.57	770	67.43	6.06
Tooleybuc	241	67	27.8	174	72.2	8.77
Tooma	118	12	10.17	106	89.83	4.01
Tumbarumba	1240	573	46.21	667	53.79	7.55
Urana	295	138	46.78	157	53.22	9.94
Urangeline	78	5	6.41	73	93.59	1.93
Wakool	340	52	15.29	288	84.71	3.66
Walbundrie	195	21	10.77	174	89.23	3.08
Walla Walla	470	118	25.11	352	74.89	7.41
Wanganella	47	4	8.51	43	91.49	6.38
Wentworth	920	380	41.3	540	58.7	14.44
Womboota	65	18	27.69	47	72.31	16.85
Woomargama	110	31	28.18	79	71.82	8.67
ABSENT	2102	707	33.63	1395	66.37	-
POSTAL	4040	1090	26.98	2950	73.02	-
PRE POLL	5357	1904	35.54	3453	64.46	-
PROVISIONAL	754	320	42.44	434	57.56	-
Division Total	69226	24493	35.38	44733	64.62	6.61


Fowler						

Polling Place	Formal	IRWIN		DOONER		Swing
	Votes	(ALP)	%	(LP)	%	%
Ashcroft	1538	1238	80.49	300	19.51	5.38
Bonnyrigg	1885	1646	87.32	239	12.68	8.29
Bonnyrigg Heights	2394	1810	75.61	584	24.39	8.16
Bonnyrigg High	1378	1107	80.33	271	19.67	10.19
Busby	3239	2547	78.64	692	21.36	5.94
Cabramatta	4735	4281	90.41	454	9.59	9.76
Cabramatta East	2635	2236	84.86	399	15.14	9.31
Cabramatta High	1810	1593	88.01	217	11.99	9
Cabramatta West	2257	1744	77.27	513	22.73	12.2
Canley Heights	3514	2752	78.32	762	21.68	9.94
Canley Vale	2420	2128	87.93	292	12.07	12.05
Canley Vale High	903	765	84.72	138	15.28	16.26
Cartwright	1188	912	76.77	276	23.23	5.52
Edensor Park	2241	1520	67.83	721	32.17	6.01
Green Valley	2497	1719	68.84	778	31.16	5.43
Harrington Street	2943	2243	76.21	700	23.79	11.81
Heckenberg	1701	1360	79.95	341	20.05	9.45
Hinchinbrook	3097	2125	68.61	972	31.39	4.39
Lansvale	1600	1273	79.56	327	20.44	10.22
Lansvale East	1088	713	65.53	375	34.47	16.19
Liverpool	2240	1746	77.95	494	22.05	7.19
Liverpool North	513	390	76.02	123	23.98	11.84
Liverpool South	915	725	79.23	190	20.77	12.57
Liverpool West (Fowler)	2580	1709	66.24	871	33.76	7.81
Marsden Road	1954	1245	63.72	709	36.28	4.87
Miller	1585	1246	78.61	339	21.39	4.23
Mount Pritchard	3161	2127	67.29	1034	32.71	8.28
Mount Pritchard East	1763	1279	72.55	484	27.45	8.77
Sadleir	1360	1078	79.26	282	20.74	3.02
Special Hospital Team 1	50	33	66	17	34	4.64
Special Hospital Team 2	0	0	0	0	0	-70.21
St Johns Park	3245	2499	77.01	746	22.99	7.84
Sydney (Fowler)	84	59	70.24	25	29.76	5.72
Wakeley	2627	1976	75.22	651	24.78	7.84
Warwick Farm	1308	1028	78.59	280	21.41	8.72
ABSENT	5646	3829	67.82	1817	32.18	-
POSTAL	1586	1065	67.15	521	32.85	-
PRE POLL	2929	2115	72.21	814	27.79	-
PROVISIONAL	1589	1355	85.27	234	14.73	-
Division Total	80198	61216	76.33	18982	23.67	8.06


Gilmore						

Polling Place	Formal	McCARTHY		GASH		Swing
	Votes	(ALP)	%	(LP)	%	%
Avoca	226	59	26.11	167	73.89	3.67
Basin View	803	443	55.17	360	44.83	1.83
Bawley Point	538	292	54.28	246	45.72	7.1
Berry	1771	694	39.19	1077	60.81	4.67
Bomaderry	2676	1082	40.43	1594	59.57	0.08
Bomaderry South	599	233	38.9	366	61.1	2.82
Bundanoon	996	380	38.15	616	61.85	3.44
Burrawang	317	75	23.66	242	76.34	-3.15
Burrill Lake	1054	530	50.28	524	49.72	2.65
Callala Bay	772	398	51.55	374	48.45	2.46
Callala Beach	390	195	50	195	50	0.86
Cambewarra	844	282	33.41	562	66.59	3.13
Canyonleigh	131	50	38.17	81	61.83	7.7
Cudmirrah	372	193	51.88	179	48.12	3.51
Culburra	1521	804	52.86	717	47.14	4.68
Currarong	414	190	45.89	224	54.11	6.77
Erowal Bay	290	175	60.34	115	39.66	1.68
Exeter	356	117	32.87	239	67.13	8.2
Falls Creek	458	212	46.29	246	53.71	7.44
Gerringong	1164	583	50.09	581	49.91	4.08
Gerroa	271	122	45.02	149	54.98	10.14
Greenwell Point	857	436	50.88	421	49.12	4.47
Huskisson	1050	518	49.33	532	50.67	3.35
Hyams Beach	107	55	51.4	52	48.6	-0.14
Jamberoo	935	411	43.96	524	56.04	3.48
Kangaroo Valley	655	275	41.98	380	58.02	5.46
Kiama	2431	1242	51.09	1189	48.91	2.6
Kiama Downs	1224	647	52.86	577	47.14	-1.01
Kiama South	907	480	52.92	427	47.08	1.68
Lake Conjola	578	278	48.1	300	51.9	1.8
Manyana	338	185	54.73	153	45.27	-10.56
Mayflower	278	118	42.45	160	57.55	11.25
Milton	1257	528	42	729	58	3.21
Minnamurra	1680	873	51.96	807	48.04	-1.04
Mollymook	1743	731	41.94	1012	58.06	3.22
Moss Vale	1651	754	45.67	897	54.33	-0.7
Moss Vale Central	1618	687	42.46	931	57.54	1.78
New Berrima	256	135	52.73	121	47.27	8.36
Nowra	2194	858	39.11	1336	60.89	-0.37
Nowra Centre	903	337	37.32	566	62.68	3.68
Nowra East	1976	968	48.99	1008	51.01	1.73
Nowra Hill	317	99	31.23	218	68.77	-0.2
Nowra Hospital	275	114	41.45	161	58.55	-5.96
Nowra North	3140	1191	37.93	1949	62.07	2.67
Nowra South	518	280	54.05	238	45.95	12.25
Orient Point	499	294	58.92	205	41.08	2.46
Penrose	132	61	46.21	71	53.79	-1.03
Robertson	856	421	49.18	435	50.82	5.79
Sanctuary Point	2924	1686	57.66	1238	42.34	2.63
Shoalhaven Heads	1974	1060	53.7	914	46.3	1.95
Special Hospital Team 1	199	79	39.7	120	60.3	2.58
Special Hospital Team 2	48	21	43.75	27	56.25	-
Special Hospital Team 3	16	8	50	8	50	-
St Georges Basin	829	399	48.13	430	51.87	2.41
Sussex Inlet	2049	1022	49.88	1027	50.12	-1.4
Sutton Forest	372	133	35.75	239	64.25	6.36
Sydney (Gilmore)	31	21	67.74	10	32.26	26.93
Tallong	161	83	51.55	78	48.45	5.66
Terara	531	150	28.25	381	71.75	1.39
Tomerong	445	186	41.8	259	58.2	-0.87
Ulladulla	2906	1298	44.67	1608	55.33	3.11
Vincentia	1577	699	44.32	878	55.68	3.98
Werri Beach	543	290	53.41	253	46.59	3.69
Wingello	190	87	45.79	103	54.21	-1.27
ABSENT	4499	2125	47.23	2374	52.77	-
POSTAL	3670	1596	43.49	2074	56.51	-
PRE POLL	6040	2603	43.1	3437	56.9	-
PROVISIONAL	708	406	57.34	302	42.66	-
Division Total	74050	34037	45.96	40013	54.04	2.2


Grayndler						

Polling Place	Formal	ALBANESE		ARMANI		Swing
	Votes	(ALP)	%	(LP)	%	%
Annandale	1686	1165	69.1	521	30.9	5.01
Annandale North (Grayndler)	1035	671	64.83	364	35.17	2.64
Ashbury	2224	1392	62.59	832	37.41	7.45
Ashfield	2332	1729	74.14	603	25.86	11.3
Ashfield East	1504	1029	68.42	475	31.58	4.1
Ashfield North	1686	1100	65.24	586	34.76	6.93
Brighton Avenue	1685	1115	66.17	570	33.83	5.84
Camdenville	1145	847	73.97	298	26.03	5.48
Camperdown (Grayndler)	453	321	70.86	132	29.14	-0.6
Camperdown South	1709	1359	79.52	350	20.48	4.41
Canterbury North	1251	908	72.58	343	27.42	7.57
