House of Representatives - 2001 Election: New South Wales																																								
Distribution of Preferences 																																								
By Polling Place																																								
																																								
Farrer																																								
				SOBEY			WEYRICH			BOTT			WILKINSON			WATSON			KREUTZBERGER			MILLEN			LEY			CORBETT			PATERSON			TAYLOR			GIBSON			
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		26	2.95		3	0.34		195	22.13		30	3.41		3	0.34		4	0.45		206	23.38		378	42.91					12	1.36		20	2.27		4	0.45		881
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	25.00		3	75.00			Excluded		4
		TOTAL		26	2.95		3	0.34		195	22.13		30	3.41		3	0.34		4	0.45		206	23.38		378	42.91					13	1.48		23	2.61					881
	FOURTH			1	33.33			Excluded		2	66.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					3
		TOTAL		27	3.06					197	22.36		30	3.41		3	0.34		4	0.45		206	23.38		378	42.91					13	1.48		23	2.61					881
	FIFTH			0	0.00					1	25.00		1	25.00		1	25.00			Excluded		0	0.00		0	0.00					1	25.00		0	0.00					4
		TOTAL		27	3.06					198	22.47		31	3.52		4	0.45					206	23.38		378	42.91					14	1.59		23	2.61					881
	SIXTH			1	25.00					0	0.00		1	25.00			Excluded					0	0.00		0	0.00					0	0.00		2	50.00					4
		TOTAL		28	3.18					198	22.47		32	3.63								206	23.38		378	42.91					14	1.59		25	2.84					881
	SEVENTH			8	57.14					1	7.14		1	7.14								1	7.14		2	14.29						Excluded		1	7.14					14
		TOTAL		36	4.09					199	22.59		33	3.75								207	23.50		380	43.13								26	2.95					881
	EIGHTH			6	23.08					1	3.85		7	26.92								2	7.69		10	38.46									Excluded					26
		TOTAL		42	4.77					200	22.70		40	4.54								209	23.72		390	44.27														881
	NINTH				Excluded					12	28.57		7	16.67								17	40.48		6	14.29														42
		TOTAL								212	24.06		47	5.33								226	25.65		396	44.95														881
	TENTH									23	48.94			Excluded								9	19.15		15	31.91														47
		TOTAL								235	26.67											235	26.67		411	46.65														881
	ELEVENTH									196	83.40												Excluded		39	16.60														235
		TOTAL								431	48.92														450	51.08														881
																									Elected															
																																								
Batlow                                                         																																								
	FIRST			38	4.41		3	0.35		117	13.59		89	10.34		45	5.23		4	0.46		294	34.15		253	29.38		2	0.23		6	0.70		8	0.93		2	0.23		861
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		2
		TOTAL		39	4.53		3	0.35		117	13.59		89	10.34		45	5.23		4	0.46		294	34.15		253	29.38					6	0.70		8	0.93		3	0.35		861
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		1	33.33					1	33.33		0	0.00			Excluded		3
		TOTAL		39	4.53		3	0.35		117	13.59		89	10.34		46	5.34		4	0.46		294	34.15		254	29.50					7	0.81		8	0.93					861
	FOURTH			0	0.00			Excluded		2	66.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	33.33					3
		TOTAL		39	4.53					119	13.82		89	10.34		46	5.34		4	0.46		294	34.15		254	29.50					7	0.81		9	1.05					861
	FIFTH			0	0.00					0	0.00		0	0.00		3	75.00			Excluded		1	25.00		0	0.00					0	0.00		0	0.00					4
		TOTAL		39	4.53					119	13.82		89	10.34		49	5.69					295	34.26		254	29.50					7	0.81		9	1.05					861
	SIXTH			3	6.12					5	10.20		9	18.37			Excluded					10	20.41		5	10.20					0	0.00		17	34.69					49
		TOTAL		42	4.88					124	14.40		98	11.38								305	35.42		259	30.08					7	0.81		26	3.02					861
	SEVENTH			2	28.57					2	28.57		0	0.00								1	14.29		1	14.29						Excluded		1	14.29					7
		TOTAL		44	5.11					126	14.63		98	11.38								306	35.54		260	30.20								27	3.14					861
	EIGHTH			8	29.63					2	7.41		5	18.52								5	18.52		7	25.93									Excluded					27
		TOTAL		52	6.04					128	14.87		103	11.96								311	36.12		267	31.01														861
	NINTH				Excluded					26	50.00		4	7.69								18	34.62		4	7.69														52
		TOTAL								154	17.89		107	12.43								329	38.21		271	31.48														861
	TENTH									25	23.36			Excluded								25	23.36		57	53.27														107
		TOTAL								179	20.79											354	41.11		328	38.10														861
	ELEVENTH									292	82.49												Excluded		62	17.51														354
		TOTAL								471	54.70														390	45.30														861
																									Elected															
																																								
Berrigan                                                       																																								
	FIRST			18	2.11		1	0.12		420	49.24		66	7.74		11	1.29		1	0.12		105	12.31		200	23.45		2	0.23		4	0.47		22	2.58		3	0.35		853
	SECOND			0	0.00		0	0.00		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		18	2.11		1	0.12		422	49.47		66	7.74		11	1.29		1	0.12		105	12.31		200	23.45					4	0.47		22	2.58		3	0.35		853
	THIRD			0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00					0	0.00		1	33.33			Excluded		3
		TOTAL		18	2.11		1	0.12		423	49.59		66	7.74		11	1.29		1	0.12		106	12.43		200	23.45					4	0.47		23	2.70					853
	FOURTH			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		19	2.23					423	49.59		66	7.74		11	1.29		1	0.12		106	12.43		200	23.45					4	0.47		23	2.70					853
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	100.00					1
		TOTAL		19	2.23					423	49.59		66	7.74		11	1.29					106	12.43		200	23.45					4	0.47		24	2.81					853
	SIXTH			0	0.00					1	9.09		3	27.27			Excluded					2	18.18		1	9.09					1	9.09		3	27.27					11
		TOTAL		19	2.23					424	49.71		69	8.09								108	12.66		201	23.56					5	0.59		27	3.17					853
	SEVENTH			1	20.00					0	0.00		1	20.00								2	40.00		0	0.00						Excluded		1	20.00					5
		TOTAL		20	2.34					424	49.71		70	8.21								110	12.90		201	23.56								28	3.28					853
	EIGHTH			5	17.86					5	17.86		5	17.86								2	7.14		11	39.29									Excluded					28
		TOTAL		25	2.93					429	50.29		75	8.79								112	13.13		212	24.85														853
	NINTH				Excluded					13	52.00		4	16.00								6	24.00		2	8.00														25
		TOTAL								442	51.82		79	9.26								118	13.83		214	25.09														853
	TENTH									34	43.04			Excluded								19	24.05		26	32.91														79
		TOTAL								476	55.80											137	16.06		240	28.14														853
	ELEVENTH									102	74.45												Excluded		35	25.55														137
		TOTAL								578	67.76														275	32.24														853
																									Elected															
																																								
Blighty                                                        																																								
	FIRST			0	0.00		0	0.00		66	35.87		6	3.26		2	1.09		0	0.00		6	3.26		96	52.17		1	0.54		0	0.00		4	2.17		3	1.63		184
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		0	0.00		0	0.00		66	35.87		6	3.26		2	1.09		0	0.00		6	3.26		96	52.17					0	0.00		5	2.72		3	1.63		184
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33					0	0.00		2	66.67			Excluded		3
		TOTAL		0	0.00		0	0.00		66	35.87		6	3.26		2	1.09		0	0.00		6	3.26		97	52.72					0	0.00		7	3.80					184
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					66	35.87		6	3.26		2	1.09		0	0.00		6	3.26		97	52.72					0	0.00		7	3.80					184
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		0	0.00					66	35.87		6	3.26		2	1.09					6	3.26		97	52.72					0	0.00		7	3.80					184
	SIXTH			0	0.00					0	0.00		2	100.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					2
		TOTAL		0	0.00					66	35.87		8	4.35								6	3.26		97	52.72					0	0.00		7	3.80					184
	SEVENTH			0	0.00					0	0.00		0	0.00								0	0.00		0	0.00						Excluded		0	0.00					0
		TOTAL		0	0.00					66	35.87		8	4.35								6	3.26		97	52.72								7	3.80					184
	EIGHTH			2	28.57					2	28.57		0	0.00								1	14.29		2	28.57									Excluded					7
		TOTAL		2	1.09					68	36.96		8	4.35								7	3.80		99	53.80														184
	NINTH				Excluded					1	50.00		0	0.00								1	50.00		0	0.00														2
		TOTAL								69	37.50		8	4.35								8	4.35		99	53.80														184
	TENTH									6	75.00			Excluded								1	12.50		1	12.50														8
		TOTAL								75	40.76											9	4.89		100	54.35														184
	ELEVENTH									7	77.78												Excluded		2	22.22														9
		TOTAL								82	44.57														102	55.43														184
																									Elected															
																																								
Boree Creek                                                    																																								
	FIRST			2	1.39		0	0.00		79	54.86		7	4.86		1	0.69		0	0.00		18	12.50		32	22.22		0	0.00		3	2.08		2	1.39		0	0.00		144
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	1.39		0	0.00		79	54.86		7	4.86		1	0.69		0	0.00		18	12.50		32	22.22					3	2.08		2	1.39		0	0.00		144
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		2	1.39		0	0.00		79	54.86		7	4.86		1	0.69		0	0.00		18	12.50		32	22.22					3	2.08		2	1.39					144
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	1.39					79	54.86		7	4.86		1	0.69		0	0.00		18	12.50		32	22.22					3	2.08		2	1.39					144
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	1.39					79	54.86		7	4.86		1	0.69					18	12.50		32	22.22					3	2.08		2	1.39					144
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		1	100.00					1
		TOTAL		2	1.39					79	54.86		7	4.86								18	12.50		32	22.22					3	2.08		3	2.08					144
	SEVENTH			1	33.33					1	33.33		0	0.00								0	0.00		0	0.00						Excluded		1	33.33					3
		TOTAL		3	2.08					80	55.56		7	4.86								18	12.50		32	22.22								4	2.78					144
	EIGHTH			1	25.00					1	25.00		0	0.00								1	25.00		1	25.00									Excluded					4
		TOTAL		4	2.78					81	56.25		7	4.86								19	13.19		33	22.92														144
	NINTH				Excluded					0	0.00		1	25.00								3	75.00		0	0.00														4
		TOTAL								81	56.25		8	5.56								22	15.28		33	22.92														144
	TENTH									5	62.50			Excluded								0	0.00		3	37.50														8
		TOTAL								86	59.72											22	15.28		36	25.00														144
	ELEVENTH									14	63.64												Excluded		8	36.36														22
		TOTAL								100	69.44														44	30.56														144
																									Elected															
																																								
Brocklesby                                                     																																								
	FIRST			1	0.84		2	1.68		60	50.42		7	5.88		1	0.84		0	0.00		16	13.45		28	23.53		0	0.00		2	1.68		0	0.00		2	1.68		119
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	0.84		2	1.68		60	50.42		7	5.88		1	0.84		0	0.00		16	13.45		28	23.53					2	1.68		0	0.00		2	1.68		119
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	50.00			Excluded		2
		TOTAL		2	1.68		2	1.68		60	50.42		7	5.88		1	0.84		0	0.00		16	13.45		28	23.53					2	1.68		1	0.84					119
	FOURTH			0	0.00			Excluded		0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					2
		TOTAL		2	1.68					60	50.42		8	6.72		2	1.68		0	0.00		16	13.45		28	23.53					2	1.68		1	0.84					119
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		2	1.68					60	50.42		8	6.72		2	1.68					16	13.45		28	23.53					2	1.68		1	0.84					119
	SIXTH			0	0.00					0	0.00		0	0.00			Excluded					1	50.00		0	0.00					0	0.00		1	50.00					2
		TOTAL		2	1.68					60	50.42		8	6.72								17	14.29		28	23.53					2	1.68		2	1.68					119
	SEVENTH			0	0.00					0	0.00		0	0.00								1	50.00		0	0.00						Excluded		1	50.00					2
		TOTAL		2	1.68					60	50.42		8	6.72								18	15.13		28	23.53								3	2.52					119
	EIGHTH			1	33.33					0	0.00		2	66.67								0	0.00		0	0.00									Excluded					3
		TOTAL		3	2.52					60	50.42		10	8.40								18	15.13		28	23.53														119
	NINTH				Excluded					1	33.33		1	33.33								0	0.00		1	33.33														3
		TOTAL								61	51.26		11	9.24								18	15.13		29	24.37														119
	TENTH									5	45.45			Excluded								3	27.27		3	27.27														11
		TOTAL								66	55.46											21	17.65		32	26.89														119
	ELEVENTH									14	66.67												Excluded		7	33.33														21
		TOTAL								80	67.23														39	32.77														119
																									Elected															
																																								
Brungle                                                        																																								
	FIRST			4	4.35		0	0.00		19	20.65		5	5.43		5	5.43		0	0.00		26	28.26		30	32.61		0	0.00		2	2.17		1	1.09		0	0.00		92
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	4.35		0	0.00		19	20.65		5	5.43		5	5.43		0	0.00		26	28.26		30	32.61					2	2.17		1	1.09		0	0.00		92
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0
		TOTAL		4	4.35		0	0.00		19	20.65		5	5.43		5	5.43		0	0.00		26	28.26		30	32.61					2	2.17		1	1.09					92
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		4	4.35					19	20.65		5	5.43		5	5.43		0	0.00		26	28.26		30	32.61					2	2.17		1	1.09					92
	FIFTH			0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0
		TOTAL		4	4.35					19	20.65		5	5.43		5	5.43					26	28.26		30	32.61					2	2.17		1	1.09					92
	SIXTH			1	20.00					0	0.00		1	20.00			Excluded					0	0.00		2	40.00					0	0.00		1	20.00					5
		TOTAL		5	5.43					19	20.65		6	6.52								26	28.26		32	34.78					2	2.17		2	2.17					92
	SEVENTH			1	50.00					0	0.00		0	0.00								1	50.00		0	0.00						Excluded		0	0.00					2
		TOTAL		6	6.52					19	20.65		6	6.52								27	29.35		32	34.78								2	2.17					92
	EIGHTH			0	0.00					1	50.00		1	50.00								0	0.00		0	0.00									Excluded					2
		TOTAL		6	6.52					20	21.74		7	7.61								27	29.35		32	34.78														92
	NINTH				Excluded					1	16.67		2	33.33								3	50.00		0	0.00														6
		TOTAL								21	22.83		9	9.78								30	32.61		32	34.78														92
	TENTH									2	22.22			Excluded								2	22.22		5	55.56														9
		TOTAL								23	25.00											32	34.78		37	40.22														92
	ELEVENTH									27	84.38												Excluded		5	15.63														32
		TOTAL								50	54.35														42	45.65														92
																									Elected															
																																								
Bunnaloo                                                       																																								
	FIRST			3	1.66		4	2.21		93	51.38		8	4.42		1	0.55		1	0.55		11	6.08		52	28.73		3	1.66		1	0.55		3	1.66		1	0.55		181
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		0	0.00		1	33.33		3
		TOTAL		3	1.66		4	2.21		93	51.38		8	4.42		1	0.55		1	0.55		11	6.08		54	29.83					1	0.55		3	1.66		2	1.10		181
	THIRD			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	50.00			Excluded		2
		TOTAL		3	1.66		4	2.21		94	51.93		8	4.42		1	0.55		1	0.55		11	6.08		54	29.83					1	0.55		4	2.21					181
	FOURTH			2	50.00			Excluded		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		1	25.00					0	0.00		0	0.00					4
		TOTAL		5	2.76					94	51.93		9	4.97		1	0.55		1	0.55		11	6.08		55	30.39					1	0.55		4	2.21					181
	FIFTH			1	100.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		6	3.31					94	51.93		9	4.97		1	0.55					11	6.08		55	30.39					1	0.55		4	2.21					181
	SIXTH			0	0.00					1	100.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00		0	0.00					1
		TOTAL		6	3.31					95	52.49		9	4.97								11	6.08		55	30.39					1	0.55		4	2.21					181
	SEVENTH			0	0.00					0	0.00		0	0.00								1	100.00		0	0.00						Excluded		0	0.00					1
		TOTAL		6	3.31					95	52.49		9	4.97								12	6.63		55	30.39								4	2.21					181
	EIGHTH			0	0.00					1	25.00		0	0.00								1	25.00		2	50.00									Excluded					4
		TOTAL		6	3.31					96	53.04		9	4.97								13	7.18		57	31.49														181
	NINTH				Excluded					1	16.67		3	50.00								2	33.33		0	0.00														6
		TOTAL								97	53.59		12	6.63								15	8.29		57	31.49														181
	TENTH									4	33.33			Excluded								1	8.33		7	58.33														12
		TOTAL								101	55.80											16	8.84		64	35.36														181
	ELEVENTH									10	62.50												Excluded		6	37.50														16
		TOTAL								111	61.33														70	38.67														181
																									Elected															
																																								
Buronga                                                        																																								
	FIRST			25	3.18		4	0.51		206	26.18		140	17.79		6	0.76		4	0.51		101	12.83		275	34.94		5	0.64		13	1.65		6	0.76		2	0.25		787
	SECOND			0	0.00		0	0.00		1	20.00		2	40.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	20.00		1	20.00		5
		TOTAL		25	3.18		4	0.51		207	26.30		142	18.04		6	0.76		4	0.51		101	12.83		275	34.94					13	1.65		7	0.89		3	0.38		787
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	33.33		2	66.67			Excluded		3
		TOTAL		25	3.18		4	0.51		207	26.30		142	18.04		6	0.76		4	0.51		101	12.83		275	34.94					14	1.78		9	1.14					787
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		2	50.00		0	0.00		2	50.00		0	0.00					0	0.00		0	0.00					4
		TOTAL		25	3.18					207	26.30		142	18.04		8	1.02		4	0.51		103	13.09		275	34.94					14	1.78		9	1.14					787
	FIFTH			1	25.00					1	25.00		0	0.00		1	25.00			Excluded		0	0.00		1	25.00					0	0.00		0	0.00					4
		TOTAL		26	3.30					208	26.43		142	18.04		9	1.14					103	13.09		276	35.07					14	1.78		9	1.14					787
	SIXTH			1	11.11					2	22.22		4	44.44			Excluded					0	0.00		1	11.11					0	0.00		1	11.11					9
		TOTAL		27	3.43					210	26.68		146	18.55								103	13.09		277	35.20					14	1.78		10	1.27					787
	SEVENTH			5	35.71					1	7.14		0	0.00								2	14.29		4	28.57						Excluded		2	14.29					14
		TOTAL		32	4.07					211	26.81		146	18.55								105	13.34		281	35.71								12	1.52					787
