House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences																																		
By Polling Place																																		
																																		
Cowper																																		
				MAGUIRE			BONFIELD			WILLEY			NEUSS			HARTSUYKER			VAN BLADEL			CRANNY			FENTON			KORN			STOKES			
	FIRST			7	1.96		117	32.68		4	1.12		34	9.50		102	28.49		1	0.28		15	4.19		9	2.51		0	0.00		69	19.27		358
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		7	1.96		117	32.68		5	1.40		34	9.50		102	28.49					15	4.19		9	2.51		0	0.00		69	19.27		358
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		2	40.00					2	40.00		0	0.00		0	0.00		1	20.00		5
		TOTAL		7	1.96		117	32.68					34	9.50		104	29.05					17	4.75		9	2.51		0	0.00		70	19.55		358
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		7	1.96		117	32.68					34	9.50		104	29.05					17	4.75		9	2.51					70	19.55		358
	FIFTH			0	0.00		5	55.56					0	0.00		0	0.00					3	33.33			Excluded					1	11.11		9
		TOTAL		7	1.96		122	34.08					34	9.50		104	29.05					20	5.59								71	19.83		358
	SIXTH				Excluded		4	57.14					0	0.00		1	14.29					1	14.29								1	14.29		7
		TOTAL					126	35.20					34	9.50		105	29.33					21	5.87								72	20.11		358
	SEVENTH						17	80.95					1	4.76		2	9.52						Excluded								1	4.76		21
		TOTAL					143	39.94					35	9.78		107	29.89														73	20.39		358
	EIGHTH						17	23.29					36	49.32		20	27.40															Excluded		73
		TOTAL					160	44.69					71	19.83		127	35.47																	358
	NINTH						13	18.31						Excluded		58	81.69																	71
		TOTAL					173	48.32								185	51.68																	358
																Elected																		
																																		
Woolgoolga                                                     																																		
	FIRST			76	2.94		955	36.94		23	0.89		375	14.51		749	28.97		15	0.58		120	4.64		61	2.36		41	1.59		170	6.58		2585
	SECOND			0	0.00		3	20.00		2	13.33		0	0.00		3	20.00			Excluded		2	13.33		3	20.00		0	0.00		2	13.33		15
		TOTAL		76	2.94		958	37.06		25	0.97		375	14.51		752	29.09					122	4.72		64	2.48		41	1.59		172	6.65		2585
	THIRD			2	8.00		3	12.00			Excluded		5	20.00		4	16.00					2	8.00		1	4.00		1	4.00		7	28.00		25
		TOTAL		78	3.02		961	37.18					380	14.70		756	29.25					124	4.80		65	2.51		42	1.62		179	6.92		2585
	FOURTH			2	4.76		4	9.52					5	11.90		22	52.38					1	2.38		2	4.76			Excluded		6	14.29		42
		TOTAL		80	3.09		965	37.33					385	14.89		778	30.10					125	4.84		67	2.59					185	7.16		2585
	FIFTH			4	5.97		21	31.34					5	7.46		2	2.99					24	35.82			Excluded					11	16.42		67
		TOTAL		84	3.25		986	38.14					390	15.09		780	30.17					149	5.76								196	7.58		2585
	SIXTH				Excluded		35	41.67					8	9.52		10	11.90					13	15.48								18	21.43		84
		TOTAL					1021	39.50					398	15.40		790	30.56					162	6.27								214	8.28		2585
	SEVENTH						116	71.60					12	7.41		20	12.35						Excluded								14	8.64		162
		TOTAL					1137	43.98					410	15.86		810	31.33														228	8.82		2585
	EIGHTH						66	28.95					79	34.65		83	36.40															Excluded		228
		TOTAL					1203	46.54					489	18.92		893	34.55																	2585
	NINTH						51	10.43						Excluded		438	89.57																	489
		TOTAL					1254	48.51								1331	51.49																	2585
																Elected																		
																																		
Wooli                                                          																																		
	FIRST			12	2.48		169	34.99		3	0.62		90	18.63		87	18.01		3	0.62		51	10.56		7	1.45		5	1.04		56	11.59		483
	SECOND			0	0.00		0	0.00		2	66.67		0	0.00		0	0.00			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		12	2.48		169	34.99		5	1.04		90	18.63		87	18.01					51	10.56		8	1.66		5	1.04		56	11.59		483
	THIRD			0	0.00		1	20.00			Excluded		0	0.00		2	40.00					0	0.00		2	40.00		0	0.00		0	0.00		5
		TOTAL		12	2.48		170	35.20					90	18.63		89	18.43					51	10.56		10	2.07		5	1.04		56	11.59		483
	FOURTH			0	0.00		1	20.00					0	0.00		2	40.00					0	0.00		2	40.00			Excluded		0	0.00		5
		TOTAL		12	2.48		171	35.40					90	18.63		91	18.84					51	10.56		12	2.48					56	11.59		483
	FIFTH			0	0.00		3	25.00					0	0.00		0	0.00					3	25.00			Excluded					6	50.00		12
		TOTAL		12	2.48		174	36.02					90	18.63		91	18.84					54	11.18								62	12.84		483
	SIXTH				Excluded		8	66.67					1	8.33		0	0.00					0	0.00								3	25.00		12
		TOTAL					182	37.68					91	18.84		91	18.84					54	11.18								65	13.46		483
	SEVENTH						44	81.48					3	5.56		5	9.26						Excluded								2	3.70		54
		TOTAL					226	46.79					94	19.46		96	19.88														67	13.87		483
	EIGHTH						22	32.84					29	43.28		16	23.88															Excluded		67
		TOTAL					248	51.35					123	25.47		112	23.19																	483
	NINTH						14	11.38						Excluded		109	88.62																	123
		TOTAL					262	54.24								221	45.76																	483
																Elected																		
																																		
Yamba                                                          																																		
	FIRST			36	2.23		545	33.77		8	0.50		337	20.88		397	24.60		3	0.19		130	8.05		40	2.48		13	0.81		105	6.51		1614
	SECOND			0	0.00		1	33.33		1	33.33		0	0.00		0	0.00			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		36	2.23		546	33.83		9	0.56		337	20.88		397	24.60					130	8.05		41	2.54		13	0.81		105	6.51		1614
	THIRD			0	0.00		1	11.11			Excluded		2	22.22		2	22.22					3	33.33		0	0.00		0	0.00		1	11.11		9
		TOTAL		36	2.23		547	33.89					339	21.00		399	24.72					133	8.24		41	2.54		13	0.81		106	6.57		1614
	FOURTH			0	0.00		2	15.38					2	15.38		3	23.08					3	23.08		1	7.69			Excluded		2	15.38		13
		TOTAL		36	2.23		549	34.01					341	21.13		402	24.91					136	8.43		42	2.60					108	6.69		1614
	FIFTH			2	4.76		11	26.19					5	11.90		1	2.38					19	45.24			Excluded					4	9.52		42
		TOTAL		38	2.35		560	34.70					346	21.44		403	24.97					155	9.60								112	6.94		1614
	SIXTH				Excluded		21	55.26					4	10.53		3	7.89					6	15.79								4	10.53		38
		TOTAL					581	36.00					350	21.69		406	25.15					161	9.98								116	7.19		1614
	SEVENTH						114	70.81					14	8.70		22	13.66						Excluded								11	6.83		161
		TOTAL					695	43.06					364	22.55		428	26.52														127	7.87		1614
	EIGHTH						40	31.50					51	40.16		36	28.35															Excluded		127
		TOTAL					735	45.54					415	25.71		464	28.75																	1614
	NINTH						36	8.67						Excluded		379	91.33																	415
		TOTAL					771	47.77								843	52.23																	1614
																Elected																		
																																		
Yamba West                                                     																																		
	FIRST			17	1.14		537	36.16		12	0.81		324	21.82		362	24.38		4	0.27		37	2.49		28	1.89		21	1.41		143	9.63		1485
	SECOND			0	0.00		1	25.00		1	25.00		0	0.00		1	25.00			Excluded		0	0.00		1	25.00		0	0.00		0	0.00		4
		TOTAL		17	1.14		538	36.23		13	0.88		324	21.82		363	24.44					37	2.49		29	1.95		21	1.41		143	9.63		1485
	THIRD			1	7.69		2	15.38			Excluded		1	7.69		2	15.38					0	0.00		1	7.69		1	7.69		5	38.46		13
		TOTAL		18	1.21		540	36.36					325	21.89		365	24.58					37	2.49		30	2.02		22	1.48		148	9.97		1485
	FOURTH			2	9.09		3	13.64					6	27.27		5	22.73					0	0.00		2	9.09			Excluded		4	18.18		22
		TOTAL		20	1.35		543	36.57					331	22.29		370	24.92					37	2.49		32	2.15					152	10.24		1485
	FIFTH			0	0.00		15	46.88					1	3.13		5	15.63					9	28.13			Excluded					2	6.25		32
		TOTAL		20	1.35		558	37.58					332	22.36		375	25.25					46	3.10								154	10.37		1485
	SIXTH				Excluded		12	60.00					4	20.00		1	5.00					3	15.00								0	0.00		20
		TOTAL					570	38.38					336	22.63		376	25.32					49	3.30								154	10.37		1485
	SEVENTH						32	65.31					6	12.24		7	14.29						Excluded								4	8.16		49
		TOTAL					602	40.54					342	23.03		383	25.79														158	10.64		1485
	EIGHTH						38	24.05					85	53.80		35	22.15															Excluded		158
		TOTAL					640	43.10					427	28.75		418	28.15																	1485
	NINTH						32	7.49						Excluded		395	92.51																	427
		TOTAL					672	45.25								813	54.75																	1485
																Elected																		
																																		
Special Hospital Team 1                                        																																		
	FIRST			5	2.24		76	34.08		0	0.00		53	23.77		76	34.08		1	0.45		2	0.90		1	0.45		1	0.45		8	3.59		223
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		5	2.24		76	34.08		1	0.45		53	23.77		76	34.08					2	0.90		1	0.45		1	0.45		8	3.59		223
	THIRD			1	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		6	2.69		76	34.08					53	23.77		76	34.08					2	0.90		1	0.45		1	0.45		8	3.59		223
	FOURTH			0	0.00		0	0.00					0	0.00		1	100.00					0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		6	2.69		76	34.08					53	23.77		77	34.53					2	0.90		1	0.45					8	3.59		223
	FIFTH			0	0.00		0	0.00					0	0.00		0	0.00					1	100.00			Excluded					0	0.00		1
		TOTAL		6	2.69		76	34.08					53	23.77		77	34.53					3	1.35								8	3.59		223
	SIXTH				Excluded		6	100.00					0	0.00		0	0.00					0	0.00								0	0.00		6
		TOTAL					82	36.77					53	23.77		77	34.53					3	1.35								8	3.59		223
	SEVENTH						1	33.33					0	0.00		2	66.67						Excluded								0	0.00		3
		TOTAL					83	37.22					53	23.77		79	35.43														8	3.59		223
	EIGHTH						2	25.00					3	37.50		3	37.50															Excluded		8
		TOTAL					85	38.12					56	25.11		82	36.77																	223
	NINTH						4	7.14						Excluded		52	92.86																	56
		TOTAL					89	39.91								134	60.09																	223
																Elected																		
																																		
Special Hospital Team 2                                        																																		
	FIRST			1	0.74		69	50.74		2	1.47		20	14.71		35	25.74		1	0.74		1	0.74		1	0.74		0	0.00		6	4.41		136
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		2	1.47		69	50.74		2	1.47		20	14.71		35	25.74					1	0.74		1	0.74		0	0.00		6	4.41		136
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		2	100.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		2	1.47		69	50.74					20	14.71		37	27.21					1	0.74		1	0.74		0	0.00		6	4.41		136
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		2	1.47		69	50.74					20	14.71		37	27.21					1	0.74		1	0.74					6	4.41		136
	FIFTH			1	100.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded					0	0.00		1
		TOTAL		3	2.21		69	50.74					20	14.71		37	27.21					1	0.74								6	4.41		136
	SIXTH				Excluded		2	66.67					1	33.33		0	0.00					0	0.00								0	0.00		3
		TOTAL					71	52.21					21	15.44		37	27.21					1	0.74								6	4.41		136
	SEVENTH						1	100.00					0	0.00		0	0.00						Excluded								0	0.00		1
		TOTAL					72	52.94					21	15.44		37	27.21														6	4.41		136
	EIGHTH						3	50.00					2	33.33		1	16.67															Excluded		6
		TOTAL					75	55.15					23	16.91		38	27.94																	136
	NINTH						1	4.35						Excluded		22	95.65																	23
		TOTAL					76	55.88								60	44.12																	136
																Elected																		
																																		
Special Hospital Team 3                                        																																		
	FIRST			8	10.39		24	31.17		2	2.60		25	32.47		12	15.58		0	0.00		0	0.00		0	0.00		2	2.60		4	5.19		77
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		8	10.39		24	31.17		2	2.60		25	32.47		12	15.58					0	0.00		0	0.00		2	2.60		4	5.19		77
	THIRD			1	50.00		1	50.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		9	11.69		25	32.47					25	32.47		12	15.58					0	0.00		0	0.00		2	2.60		4	5.19		77
	FOURTH			0	0.00		0	0.00					2	100.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		2
		TOTAL		9	11.69		25	32.47					27	35.06		12	15.58					0	0.00		0	0.00					4	5.19		77
	FIFTH			0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0
		TOTAL		9	11.69		25	32.47					27	35.06		12	15.58					0	0.00								4	5.19		77
	SIXTH				Excluded		8	88.89					0	0.00		1	11.11					0	0.00								0	0.00		9
		TOTAL					33	42.86					27	35.06		13	16.88					0	0.00								4	5.19		77
	SEVENTH						0	0.00					0	0.00		0	0.00						Excluded								0	0.00		0
		TOTAL					33	42.86					27	35.06		13	16.88														4	5.19		77
	EIGHTH						1	25.00					2	50.00		1	25.00															Excluded		4
		TOTAL					34	44.16					29	37.66		14	18.18																	77
	NINTH						4	13.79						Excluded		25	86.21																	29
		TOTAL					38	49.35								39	50.65																	77
																Elected																		
																																		
ABSENT																																		
	FIRST			170	4.14		1333	32.47		72	1.75		679	16.54		860	20.95		33	0.80		356	8.67		205	4.99		80	1.95		317	7.72		4105
	SECOND			3	9.09		6	18.18		10	30.30		2	6.06		4	12.12			Excluded		5	15.15		1	3.03		1	3.03		1	3.03		33
		TOTAL		173	4.21		1339	32.62		82	2.00		681	16.59		864	21.05					361	8.79		206	5.02		81	1.97		318	7.75		4105
	THIRD			13	15.85		14	17.07			Excluded		10	12.20		16	19.51					11	13.41		10	12.20		3	3.66		5	6.10		82
		TOTAL		186	4.53		1353	32.96					691	16.83		880	21.44					372	9.06		216	5.26		84	2.05		323	7.87		4105
	FOURTH			4	4.76		10	11.90					24	28.57		21	25.00					6	7.14		10	11.90			Excluded		9	10.71		84
		TOTAL		190	4.63		1363	33.20					715	17.42		901	21.95					378	9.21		226	5.51					332	8.09		4105
	FIFTH			18	7.96		44	19.47					13	5.75		23	10.18					109	48.23			Excluded					19	8.41		226
		TOTAL		208	5.07		1407	34.28					728	17.73		924	22.51					487	11.86								351	8.55		4105
	SIXTH				Excluded		84	40.38					28	13.46		27	12.98					37	17.79								32	15.38		208
		TOTAL					1491	36.32					756	18.42		951	23.17					524	12.76								383	9.33		4105
	SEVENTH						326	62.21					58	11.07		88	16.79						Excluded								52	9.92		524
		TOTAL					1817	44.26					814	19.83		1039	25.31														435	10.60		4105
	EIGHTH						163	37.47					102	23.45		170	39.08															Excluded		435
		TOTAL					1980	48.23					916	22.31		1209	29.45																	4105
	NINTH						207	22.60						Excluded		709	77.40																	916
		TOTAL					2187	53.28								1918	46.72																	4105
																Elected																		
																																		
POSTAL																																		
	FIRST			39	1.45		909	33.78		18	0.67		482	17.91		830	30.84		12	0.45		85	3.16		67	2.49		39	1.45		210	7.80		2691
	SECOND			1	8.33		1	8.33		4	33.33		1	8.33		3	25.00			Excluded		0	0.00		0	0.00		0	0.00		2	16.67		12
		TOTAL		40	1.49		910	33.82		22	0.82		483	17.95		833	30.96					85	3.16		67	2.49		39	1.45		212	7.88		2691
	THIRD			1	4.55		3	13.64			Excluded		3	13.64		3	13.64					5	22.73		1	4.55		1	4.55		5	22.73		22
		TOTAL		41	1.52		913	33.93					486	18.06		836	31.07					90	3.34		68	2.53		40	1.49		217	8.06		2691
	FOURTH			0	0.00		1	2.50					8	20.00		18	45.00					5	12.50		4	10.00			Excluded		4	10.00		40
		TOTAL		41	1.52		914	33.97					494	18.36		854	31.74					95	3.53		72	2.68					221	8.21		2691
	FIFTH			3	4.17		16	22.22					7	9.72		11	15.28					32	44.44			Excluded					3	4.17		72
		TOTAL		44	1.64		930	34.56					501	18.62		865	32.14					127	4.72								224	8.32		2691
	SIXTH				Excluded		11	25.00					6	13.64		14	31.82					5	11.36								8	18.18		44
		TOTAL					941	34.97					507	18.84		879	32.66					132	4.91								232	8.62		2691
	SEVENTH						87	65.91					13	9.85		16	12.12						Excluded								16	12.12		132
		TOTAL					1028	38.20					520	19.32		895	33.26														248	9.22		2691
	EIGHTH						96	38.71					53	21.37		99	39.92															Excluded		248
		TOTAL					1124	41.77					573	21.29		994	36.94																	2691
	NINTH						56	9.77						Excluded		517	90.23																	573
		TOTAL					1180	43.85								1511	56.15																	2691
																Elected																		
																																		
PRE POLL																																		
	FIRST			107	2.56		1195	28.59		44	1.05		754	18.04		1304	31.20		35	0.84		219	5.24		131	3.13		66	1.58		325	7.78		4180
	SECOND			3	8.57		2	5.71		7	20.00		3	8.57		8	22.86			Excluded		2	5.71		2	5.71		2	5.71		6	17.14		35
		TOTAL		110	2.63		1197	28.64		51	1.22		757	18.11		1312	31.39					221	5.29		133	3.18		68	1.63		331	7.92		4180
	THIRD			7	13.73		9	17.65			Excluded		3	5.88		6	11.76					8	15.69		5	9.80		3	5.88		10	19.61		51
		TOTAL		117	2.80		1206	28.85					760	18.18		1318	31.53					229	5.48		138	3.30		71	1.70		341	8.16		4180
	FOURTH			7	9.86		7	9.86					15	21.13		22	30.99					4	5.63		5	7.04			Excluded		11	15.49		71
		TOTAL		124	2.97		1213	29.02					775	18.54		1340	32.06					233	5.57		143	3.42					352	8.42		4180
	FIFTH			6	4.20		44	30.77					16	11.19		19	13.29					53	37.06			Excluded					5	3.50		143
		TOTAL		130	3.11		1257	30.07					791	18.92		1359	32.51					286	6.84								357	8.54		4180
	SIXTH				Excluded		43	33.08					15	11.54		23	17.69					28	21.54								21	16.15		130
		TOTAL					1300	31.10					806	19.28		1382	33.06					314	7.51								378	9.04		4180
	SEVENTH						206	65.61					26	8.28		43	13.69						Excluded								39	12.42		314
		TOTAL					1506	36.03					832	19.90		1425	34.09														417	9.98		4180
	EIGHTH						103	24.70					162	38.85		152	36.45															Excluded		417
		TOTAL					1609	38.49					994	23.78		1577	37.73																	4180
	NINTH						154	15.49						Excluded		840	84.51																	994
		TOTAL					1763	42.18								2417	57.82																	4180
																Elected																		
																																		
PROVISIONAL																																		
	FIRST			39	6.31		242	39.16		11	1.78		82	13.27		134	21.68		6	0.97		49	7.93		16	2.59		11	1.78		28	4.53		618
	SECOND			1	16.67		0	0.00		0	0.00		0	0.00		1	16.67			Excluded		4	66.67		0	0.00		0	0.00		0	0.00		6
		TOTAL		40	6.47		242	39.16		11	1.78		82	13.27		135	21.84					53	8.58		16	2.59		11	1.78		28	4.53		618
	THIRD			2	18.18		2	18.18			Excluded		1	9.09		4	36.36					2	18.18		0	0.00		0	0.00		0	0.00		11
		TOTAL		42	6.80		244	39.48					83	13.43		139	22.49					55	8.90		16	2.59		11	1.78		28	4.53		618
	FOURTH			0	0.00		2	18.18					1	9.09		7	63.64					1	9.09		0	0.00			Excluded		0	0.00		11
		TOTAL		42	6.80		246	39.81					84	13.59		146	23.62					56	9.06		16	2.59					28	4.53		618
	FIFTH			0	0.00		3	18.75					0	0.00		1	6.25					11	68.75			Excluded					1	6.25		16
		TOTAL		42	6.80		249	40.29					84	13.59		147	23.79					67	10.84								29	4.69		618
	SIXTH				Excluded		17	40.48					2	4.76		7	16.67					6	14.29								10	23.81		42
		TOTAL					266	43.04					86	13.92		154	24.92					73	11.81								39	6.31		618
	SEVENTH						45	61.64					3	4.11		13	17.81						Excluded								12	16.44		73
		TOTAL					311	50.32					89	14.40		167	27.02														51	8.25		618
	EIGHTH						19	37.25					16	31.37		16	31.37															Excluded		51
		TOTAL					330	53.40					105	16.99		183	29.61																	618
	NINTH						19	18.10						Excluded		86	81.90																	105
		TOTAL					349	56.47								269	43.53																	618
																Elected																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
