House of Representatives - 2001 Election: New South Wales																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Gwydir																																			
				WITTEN			HAIGH			GRAHAM			ROGERS			STRACHAN			WEBER			ANDERSON			MURNAIN			EDWARDS			O'REGAN				
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					5	4.50					13	11.71		0	0.00					83	74.77		5	4.50					5	4.50		111	
	SIXTH						1	20.00					2	40.00		0	0.00					2	40.00		0	0.00						Excluded		5	
		TOTAL					6	5.41					15	13.51		0	0.00					85	76.58		5	4.50								111	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					6	5.41					15	13.51								85	76.58		5	4.50								111	
	EIGHTH							Excluded					4	66.67								1	16.67		1	16.67								6	
		TOTAL											19	17.12								86	77.48		6	5.41								111	
	NINTH													Excluded								14	73.68		5	26.32								19	
		TOTAL																				100	90.09		11	9.91								111	
																						Elected													
																																			
Bunnan                                                         																																			
	FIRST			1	0.60		4	2.40		0	0.00		11	6.59		2	1.20		1	0.60		128	76.65		20	11.98		0	0.00		0	0.00		167	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.60		4	2.40		0	0.00		11	6.59		2	1.20		1	0.60		128	76.65		20	11.98					0	0.00		167	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	100.00		1	
		TOTAL		1	0.60		4	2.40		0	0.00		11	6.59		2	1.20					128	76.65		20	11.98					1	0.60		167	
	FOURTH				Excluded		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					5	2.99		0	0.00		11	6.59		2	1.20					128	76.65		20	11.98					1	0.60		167	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					5	2.99					11	6.59		2	1.20					128	76.65		20	11.98					1	0.60		167	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		1	100.00						Excluded		1	
		TOTAL					5	2.99					11	6.59		2	1.20					128	76.65		21	12.57								167	
	SEVENTH						1	50.00					0	0.00			Excluded					0	0.00		1	50.00								2	
		TOTAL					6	3.59					11	6.59								128	76.65		22	13.17								167	
	EIGHTH							Excluded					2	33.33								3	50.00		1	16.67								6	
		TOTAL											13	7.78								131	78.44		23	13.77								167	
	NINTH													Excluded								9	69.23		4	30.77								13	
		TOTAL																				140	83.83		27	16.17								167	
																						Elected													
																																			
Burren Junction                                                																																			
	FIRST			1	0.49		3	1.47		1	0.49		18	8.82		3	1.47		6	2.94		155	75.98		11	5.39		0	0.00		6	2.94		204	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.49		3	1.47		1	0.49		18	8.82		3	1.47		6	2.94		155	75.98		11	5.39					6	2.94		204	
	THIRD			1	16.67		0	0.00		0	0.00		2	33.33		0	0.00			Excluded		0	0.00		2	33.33					1	16.67		6	
		TOTAL		2	0.98		3	1.47		1	0.49		20	9.80		3	1.47					155	75.98		13	6.37					7	3.43		204	
	FOURTH				Excluded		1	50.00		1	50.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					4	1.96		2	0.98		20	9.80		3	1.47					155	75.98		13	6.37					7	3.43		204	
	FIFTH						2	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					6	2.94					20	9.80		3	1.47					155	75.98		13	6.37					7	3.43		204	
	SIXTH						2	28.57					0	0.00		0	0.00					3	42.86		2	28.57						Excluded		7	
		TOTAL					8	3.92					20	9.80		3	1.47					158	77.45		15	7.35								204	
	SEVENTH						0	0.00					1	33.33			Excluded					1	33.33		1	33.33								3	
		TOTAL					8	3.92					21	10.29								159	77.94		16	7.84								204	
	EIGHTH							Excluded					3	37.50								3	37.50		2	25.00								8	
		TOTAL											24	11.76								162	79.41		18	8.82								204	
	NINTH													Excluded								15	62.50		9	37.50								24	
		TOTAL																				177	86.76		27	13.24								204	
																						Elected													
																																			
Bylong                                                         																																			
	FIRST			2	3.08		1	1.54		0	0.00		7	10.77		1	1.54		0	0.00		50	76.92		4	6.15		0	0.00		0	0.00		65	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	3.08		1	1.54		0	0.00		7	10.77		1	1.54		0	0.00		50	76.92		4	6.15					0	0.00		65	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	3.08		1	1.54		0	0.00		7	10.77		1	1.54					50	76.92		4	6.15					0	0.00		65	
	FOURTH				Excluded		1	50.00		1	50.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					2	3.08		1	1.54		7	10.77		1	1.54					50	76.92		4	6.15					0	0.00		65	
	FIFTH						0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					2	3.08					7	10.77		2	3.08					50	76.92		4	6.15					0	0.00		65	
	SIXTH						0	0.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	
		TOTAL					2	3.08					7	10.77		2	3.08					50	76.92		4	6.15								65	
	SEVENTH						0	0.00					0	0.00			Excluded					1	50.00		1	50.00								2	
		TOTAL					2	3.08					7	10.77								51	78.46		5	7.69								65	
	EIGHTH							Excluded					1	50.00								1	50.00		0	0.00								2	
		TOTAL											8	12.31								52	80.00		5	7.69								65	
	NINTH													Excluded								2	25.00		6	75.00								8	
		TOTAL																				54	83.08		11	16.92								65	
																						Elected													
																																			
Carinda                                                        																																			
	FIRST			2	1.90		1	0.95		0	0.00		11	10.48		0	0.00		1	0.95		74	70.48		15	14.29		1	0.95		0	0.00		105	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		2	1.90		1	0.95		0	0.00		11	10.48		0	0.00		1	0.95		74	70.48		15	14.29					1	0.95		105	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		2	1.90		1	0.95		0	0.00		12	11.43		0	0.00					74	70.48		15	14.29					1	0.95		105	
	FOURTH				Excluded		1	50.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1	50.00		2	
		TOTAL					2	1.90		0	0.00		12	11.43		0	0.00					74	70.48		15	14.29					2	1.90		105	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					2	1.90					12	11.43		0	0.00					74	70.48		15	14.29					2	1.90		105	
	SIXTH						1	50.00					1	50.00		0	0.00					0	0.00		0	0.00						Excluded		2	
		TOTAL					3	2.86					13	12.38		0	0.00					74	70.48		15	14.29								105	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					3	2.86					13	12.38								74	70.48		15	14.29								105	
	EIGHTH							Excluded					0	0.00								2	66.67		1	33.33								3	
		TOTAL											13	12.38								76	72.38		16	15.24								105	
	NINTH													Excluded								9	69.23		4	30.77								13	
		TOTAL																				85	80.95		20	19.05								105	
																						Elected													
																																			
Caroona                                                        																																			
	FIRST			2	1.07		10	5.35		0	0.00		8	4.28		3	1.60		1	0.53		79	42.25		82	43.85		0	0.00		2	1.07		187	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.07		10	5.35		0	0.00		8	4.28		3	1.60		1	0.53		79	42.25		82	43.85					2	1.07		187	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1	
		TOTAL		2	1.07		10	5.35		0	0.00		8	4.28		3	1.60					80	42.78		82	43.85					2	1.07		187	
	FOURTH				Excluded		1	50.00		0	0.00		0	0.00		1	50.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					11	5.88		0	0.00		8	4.28		4	2.14					80	42.78		82	43.85					2	1.07		187	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					11	5.88					8	4.28		4	2.14					80	42.78		82	43.85					2	1.07		187	
	SIXTH						1	50.00					0	0.00		0	0.00					0	0.00		1	50.00						Excluded		2	
		TOTAL					12	6.42					8	4.28		4	2.14					80	42.78		83	44.39								187	
	SEVENTH						2	50.00					1	25.00			Excluded					1	25.00		0	0.00								4	
		TOTAL					14	7.49					9	4.81								81	43.32		83	44.39								187	
	EIGHTH							Excluded					8	57.14								5	35.71		1	7.14								14	
		TOTAL											17	9.09								86	45.99		84	44.92								187	
	NINTH													Excluded								6	35.29		11	64.71								17	
		TOTAL																				92	49.20		95	50.80								187	
																						Elected													
																																			
Carroll                                                        																																			
	FIRST			5	2.17		8	3.48		3	1.30		16	6.96		3	1.30		2	0.87		137	59.57		46	20.00		2	0.87		8	3.48		230	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		5	2.17		8	3.48		3	1.30		16	6.96		3	1.30		3	1.30		137	59.57		46	20.00					9	3.91		230	
	THIRD			0	0.00		1	33.33		2	66.67		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		3	
		TOTAL		5	2.17		9	3.91		5	2.17		16	6.96		3	1.30					137	59.57		46	20.00					9	3.91		230	
	FOURTH				Excluded		3	60.00		1	20.00		1	20.00		0	0.00					0	0.00		0	0.00					0	0.00		5	
		TOTAL					12	5.22		6	2.61		17	7.39		3	1.30					137	59.57		46	20.00					9	3.91		230	
	FIFTH						2	33.33			Excluded		2	33.33		2	33.33					0	0.00		0	0.00					0	0.00		6	
		TOTAL					14	6.09					19	8.26		5	2.17					137	59.57		46	20.00					9	3.91		230	
	SIXTH						2	22.22					4	44.44		1	11.11					1	11.11		1	11.11						Excluded		9	
		TOTAL					16	6.96					23	10.00		6	2.61					138	60.00		47	20.43								230	
	SEVENTH						2	33.33					1	16.67			Excluded					1	16.67		2	33.33								6	
		TOTAL					18	7.83					24	10.43								139	60.43		49	21.30								230	
	EIGHTH							Excluded					11	61.11								4	22.22		3	16.67								18	
		TOTAL											35	15.22								143	62.17		52	22.61								230	
	NINTH													Excluded								10	28.57		25	71.43								35	
		TOTAL																				153	66.52		77	33.48								230	
																						Elected													
																																			
Cassilis                                                       																																			
	FIRST			2	1.09		8	4.37		0	0.00		19	10.38		3	1.64		1	0.55		112	61.20		37	20.22		1	0.55		0	0.00		183	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		2	1.09		8	4.37		0	0.00		19	10.38		3	1.64		1	0.55		112	61.20		37	20.22					1	0.55		183	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		2	1.09		8	4.37		0	0.00		19	10.38		4	2.19					112	61.20		37	20.22					1	0.55		183	
	FOURTH				Excluded		2	100.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					10	5.46		0	0.00		19	10.38		4	2.19					112	61.20		37	20.22					1	0.55		183	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					10	5.46					19	10.38		4	2.19					112	61.20		37	20.22					1	0.55		183	
	SIXTH						0	0.00					0	0.00		0	0.00					1	100.00		0	0.00						Excluded		1	
		TOTAL					10	5.46					19	10.38		4	2.19					113	61.75		37	20.22								183	
	SEVENTH						1	25.00					0	0.00			Excluded					2	50.00		1	25.00								4	
		TOTAL					11	6.01					19	10.38								115	62.84		38	20.77								183	
	EIGHTH							Excluded					6	54.55								4	36.36		1	9.09								11	
		TOTAL											25	13.66								119	65.03		39	21.31								183	
	NINTH													Excluded								16	64.00		9	36.00								25	
		TOTAL																				135	73.77		48	26.23								183	
																						Elected													
																																			
Collarenebri                                                   																																			
	FIRST			16	4.68		8	2.34		3	0.88		45	13.16		5	1.46		5	1.46		178	52.05		78	22.81		1	0.29		3	0.88		342	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		16	4.68		8	2.34		3	0.88		45	13.16		5	1.46		5	1.46		178	52.05		79	23.10					3	0.88		342	
	THIRD			0	0.00		1	20.00		1	20.00		2	40.00		1	20.00			Excluded		0	0.00		0	0.00					0	0.00		5	
		TOTAL		16	4.68		9	2.63		4	1.17		47	13.74		6	1.75					178	52.05		79	23.10					3	0.88		342	
	FOURTH				Excluded		12	75.00		3	18.75		0	0.00		0	0.00					0	0.00		0	0.00					1	6.25		16	
		TOTAL					21	6.14		7	2.05		47	13.74		6	1.75					178	52.05		79	23.10					4	1.17		342	
	FIFTH						2	28.57			Excluded		2	28.57		1	14.29					2	28.57		0	0.00					0	0.00		7	
		TOTAL					23	6.73					49	14.33		7	2.05					180	52.63		79	23.10					4	1.17		342	
	SIXTH						1	25.00					1	25.00		0	0.00					1	25.00		1	25.00						Excluded		4	
		TOTAL					24	7.02					50	14.62		7	2.05					181	52.92		80	23.39								342	
	SEVENTH						1	14.29					1	14.29			Excluded					4	57.14		1	14.29								7	
		TOTAL					25	7.31					51	14.91								185	54.09		81	23.68								342	
	EIGHTH							Excluded					16	64.00								4	16.00		5	20.00								25	
		TOTAL											67	19.59								189	55.26		86	25.15								342	
	NINTH													Excluded								43	64.18		24	35.82								67	
		TOTAL																				232	67.84		110	32.16								342	
																						Elected													
																																			
Collie                                                         																																			
	FIRST			2	2.17		2	2.17		1	1.09		11	11.96		0	0.00		0	0.00		65	70.65		10	10.87		0	0.00		1	1.09		92	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	2.17		2	2.17		1	1.09		11	11.96		0	0.00		0	0.00		65	70.65		10	10.87					1	1.09		92	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	2.17		2	2.17		1	1.09		11	11.96		0	0.00					65	70.65		10	10.87					1	1.09		92	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	50.00					1	50.00		2	
		TOTAL					2	2.17		1	1.09		11	11.96		0	0.00					65	70.65		11	11.96					2	2.17		92	
	FIFTH						1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		1	
		TOTAL					3	3.26					11	11.96		0	0.00					65	70.65		11	11.96					2	2.17		92	
	SIXTH						2	100.00					0	0.00		0	0.00					0	0.00		0	0.00						Excluded		2	
		TOTAL					5	5.43					11	11.96		0	0.00					65	70.65		11	11.96								92	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					5	5.43					11	11.96								65	70.65		11	11.96								92	
	EIGHTH							Excluded					3	60.00								1	20.00		1	20.00								5	
		TOTAL											14	15.22								66	71.74		12	13.04								92	
	NINTH													Excluded								8	57.14		6	42.86								14	
		TOTAL																				74	80.43		18	19.57								92	
																						Elected													
																																			
Coolah                                                         																																			
	FIRST			9	1.18		72	9.44		5	0.66		73	9.57		5	0.66		7	0.92		454	59.50		132	17.30		3	0.39		3	0.39		763	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	66.67		0	0.00		0	0.00			Excluded		1	33.33		3	
		TOTAL		9	1.18		72	9.44		5	0.66		73	9.57		5	0.66		9	1.18		454	59.50		132	17.30					4	0.52		763	
	THIRD			1	11.11		2	22.22		0	0.00		1	11.11		1	11.11			Excluded		1	11.11		1	11.11					2	22.22		9	
		TOTAL		10	1.31		74	9.70		5	0.66		74	9.70		6	0.79					455	59.63		133	17.43					6	0.79		763	
	FOURTH				Excluded		6	60.00		0	0.00		2	20.00		0	0.00					1	10.00		1	10.00					0	0.00		10	
		TOTAL					80	10.48		5	0.66		76	9.96		6	0.79					456	59.76		134	17.56					6	0.79		763	
	FIFTH						1	20.00			Excluded		0	0.00		1	20.00					0	0.00		3	60.00					0	0.00		5	
		TOTAL					81	10.62					76	9.96		7	0.92					456	59.76		137	17.96					6	0.79		763	
	SIXTH						4	66.67					2	33.33		0	0.00					0	0.00		0	0.00						Excluded		6	
		TOTAL					85	11.14					78	10.22		7	0.92					456	59.76		137	17.96								763	
	SEVENTH						2	28.57					0	0.00			Excluded					0	0.00		5	71.43								7	
		TOTAL					87	11.40					78	10.22								456	59.76		142	18.61								763	
	EIGHTH							Excluded					31	35.63								30	34.48		26	29.89								87	
		TOTAL											109	14.29								486	63.70		168	22.02								763	
	NINTH													Excluded								58	53.21		51	46.79								109	
		TOTAL																				544	71.30		219	28.70								763	
																						Elected													
																																			
Coolatai                                                       																																			
	FIRST			0	0.00		11	17.19		2	3.13		6	9.38		0	0.00		0	0.00		38	59.38		6	9.38		0	0.00		1	1.56		64	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		11	17.19		2	3.13		6	9.38		0	0.00		0	0.00		38	59.38		6	9.38					1	1.56		64	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		11	17.19		2	3.13		6	9.38		0	0.00					38	59.38		6	9.38					1	1.56		64	
	FOURTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00		0	
		TOTAL					11	17.19		2	3.13		6	9.38		0	0.00					38	59.38		6	9.38					1	1.56		64	
	FIFTH						0	0.00			Excluded		0	0.00		0	0.00					2	100.00		0	0.00					0	0.00		2	
		TOTAL					11	17.19					6	9.38		0	0.00					40	62.50		6	9.38					1	1.56		64	
	SIXTH						0	0.00					0	0.00		0	0.00					1	100.00		0	0.00						Excluded		1	
		TOTAL					11	17.19					6	9.38		0	0.00					41	64.06		6	9.38								64	
	SEVENTH						0	0.00					0	0.00			Excluded					0	0.00		0	0.00								0	
		TOTAL					11	17.19					6	9.38								41	64.06		6	9.38								64	
	EIGHTH							Excluded					4	36.36								6	54.55		1	9.09								11	
		TOTAL											10	15.63								47	73.44		7	10.94								64	
	NINTH													Excluded								8	80.00		2	20.00								10	
		TOTAL																				55	85.94		9	14.06								64	
																						Elected													
																																			
Coonabarabran                                                  																																			
	FIRST			48	2.29		131	6.26		26	1.24		244	11.65		57	2.72		23	1.10		1045	49.90		491	23.45		9	0.43		20	0.96		2094	
	SECOND			0	0.00		1	11.11		0	0.00		0	0.00		0	0.00		0	0.00		2	22.22		0	0.00			Excluded		6	66.67		9	
		TOTAL		48	2.29		132	6.30		26	1.24		244	11.65		57	2.72		23	1.10		1047	50.00		491	23.45					26	1.24		2094	
	THIRD			0	0.00		4	17.39		1	4.35		5	21.74		4	17.39			Excluded		5	21.74		4	17.39					0	0.00		23	
		TOTAL		48	2.29		136	6.49		27	1.29		249	11.89		61	2.91					1052	50.24		495	23.64					26	1.24		2094	
	FOURTH				Excluded		20	41.67		1	2.08		5	10.42		0	0.00					3	6.25		0	0.00					19	39.58		48	
		TOTAL					156	7.45		28	1.34		254	12.13		61	2.91					1055	50.38		495	23.64					45	2.15		2094	
	FIFTH						6	21.43			Excluded		3	10.71		8	28.57					2	7.14		7	25.00					2	7.14		28	
		TOTAL					162	7.74					257	12.27		69	3.30					1057	50.48		502	23.97					47	2.24		2094	
	SIXTH						9	19.15					22	46.81		2	4.26					6	12.77		8	17.02						Excluded		47	
		TOTAL					171	8.17					279	13.32		71	3.39					1063	50.76		510	24.36								2094	
	SEVENTH						28	39.44					6	8.45			Excluded					15	21.13		22	30.99								71	
		TOTAL					199	9.50					285	13.61								1078	51.48		532	25.41								2094	
