House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Page																																									
				POLLARD-O'HARA			COOPER			LAMPIS			BEHN			JEFFREYS			CANALES			FELSCH			FLANAGAN			CORKILL			CAUSLEY			GRIFFITHS			MATHEW				
	EIGHTH						1	7.69									Excluded								6	46.15		3	23.08		2	15.38					1	7.69		13	
		TOTAL					117	14.64																	294	36.80		23	2.88		321	40.18					44	5.51		799	
	NINTH						20	45.45																	6	13.64		6	13.64		12	27.27						Excluded		44	
		TOTAL					137	17.15																	300	37.55		29	3.63		333	41.68								799	
	TENTH						11	37.93																	10	34.48			Excluded		8	27.59								29	
		TOTAL					148	18.52																	310	38.80					341	42.68								799	
	ELEVENTH							Excluded																	91	61.49					57	38.51								148	
		TOTAL																							401	50.19					398	49.81								799	
																															Elected										
																																									
Casino Hospital                                                																																									
	FIRST			6	1.12		68	12.66		1	0.19		2	0.37		12	2.23		5	0.93		10	1.86		170	31.66		10	1.86		226	42.09		1	0.19		26	4.84		537	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		6	1.12		68	12.66		1	0.19		2	0.37		12	2.23		5	0.93		10	1.86		170	31.66		11	2.05		226	42.09					26	4.84		537	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		6	1.12		68	12.66					2	0.37		13	2.42		5	0.93		10	1.86		170	31.66		11	2.05		226	42.09					26	4.84		537	
	FOURTH			1	50.00		1	50.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		7	1.30		69	12.85								13	2.42		5	0.93		10	1.86		170	31.66		11	2.05		226	42.09					26	4.84		537	
	FIFTH				Excluded		5	71.43								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					2	28.57		7	
		TOTAL					74	13.78								13	2.42		5	0.93		10	1.86		170	31.66		11	2.05		226	42.09					28	5.21		537	
	SIXTH						1	20.00								0	0.00			Excluded		1	20.00		1	20.00		1	20.00		1	20.00					0	0.00		5	
		TOTAL					75	13.97								13	2.42					11	2.05		171	31.84		12	2.23		227	42.27					28	5.21		537	
	SEVENTH						5	45.45								0	0.00						Excluded		0	0.00		1	9.09		4	36.36					1	9.09		11	
		TOTAL					80	14.90								13	2.42								171	31.84		13	2.42		231	43.02					29	5.40		537	
	EIGHTH						5	38.46									Excluded								6	46.15		0	0.00		2	15.38					0	0.00		13	
		TOTAL					85	15.83																	177	32.96		13	2.42		233	43.39					29	5.40		537	
	NINTH						12	41.38																	6	20.69		2	6.90		9	31.03						Excluded		29	
		TOTAL					97	18.06																	183	34.08		15	2.79		242	45.07								537	
	TENTH						4	26.67																	7	46.67			Excluded		4	26.67								15	
		TOTAL					101	18.81																	190	35.38					246	45.81								537	
	ELEVENTH							Excluded																	52	51.49					49	48.51								101	
		TOTAL																							242	45.07					295	54.93								537	
																															Elected										
																																									
Casino South                                                   																																									
	FIRST			7	0.68		128	12.46		3	0.29		7	0.68		11	1.07		10	0.97		20	1.95		287	27.95		32	3.12		465	45.28		2	0.19		55	5.36		1027	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		7	0.68		129	12.56		3	0.29		7	0.68		11	1.07		10	0.97		21	2.04		287	27.95		32	3.12		465	45.28					55	5.36		1027	
	THIRD			1	33.33		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	66.67		0	0.00					0	0.00		3	
		TOTAL		8	0.78		129	12.56					7	0.68		11	1.07		10	0.97		21	2.04		287	27.95		34	3.31		465	45.28					55	5.36		1027	
	FOURTH			0	0.00		6	85.71						Excluded		0	0.00		0	0.00		0	0.00		1	14.29		0	0.00		0	0.00					0	0.00		7	
		TOTAL		8	0.78		135	13.15								11	1.07		10	0.97		21	2.04		288	28.04		34	3.31		465	45.28					55	5.36		1027	
	FIFTH				Excluded		6	75.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	25.00					0	0.00		8	
		TOTAL					141	13.73								11	1.07		10	0.97		21	2.04		288	28.04		34	3.31		467	45.47					55	5.36		1027	
	SIXTH						5	50.00								2	20.00			Excluded		0	0.00		0	0.00		2	20.00		0	0.00					1	10.00		10	
		TOTAL					146	14.22								13	1.27					21	2.04		288	28.04		36	3.51		467	45.47					56	5.45		1027	
	SEVENTH						3	14.29								3	14.29						Excluded		1	4.76		2	9.52		11	52.38					1	4.76		21	
		TOTAL					149	14.51								16	1.56								289	28.14		38	3.70		478	46.54					57	5.55		1027	
	EIGHTH						6	37.50									Excluded								2	12.50		5	31.25		3	18.75					0	0.00		16	
		TOTAL					155	15.09																	291	28.33		43	4.19		481	46.84					57	5.55		1027	
	NINTH						27	47.37																	10	17.54		3	5.26		17	29.82						Excluded		57	
		TOTAL					182	17.72																	301	29.31		46	4.48		498	48.49								1027	
	TENTH						21	45.65																	18	39.13			Excluded		7	15.22								46	
		TOTAL					203	19.77																	319	31.06					505	49.17								1027	
	ELEVENTH							Excluded																	124	61.08					79	38.92								203	
		TOTAL																							443	43.14					584	56.86								1027	
																															Elected										
																																									
Casino West                                                    																																									
	FIRST			12	1.51		106	13.37		4	0.50		5	0.63		11	1.39		6	0.76		17	2.14		274	34.55		7	0.88		306	38.59		0	0.00		45	5.67		793	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		12	1.51		106	13.37		4	0.50		5	0.63		11	1.39		6	0.76		17	2.14		274	34.55		7	0.88		306	38.59					45	5.67		793	
	THIRD			1	25.00		1	25.00			Excluded		0	0.00		1	25.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL		13	1.64		107	13.49					5	0.63		12	1.51		6	0.76		18	2.27		274	34.55		7	0.88		306	38.59					45	5.67		793	
	FOURTH			1	20.00		2	40.00						Excluded		0	0.00		0	0.00		1	20.00		0	0.00		1	20.00		0	0.00					0	0.00		5	
		TOTAL		14	1.77		109	13.75								12	1.51		6	0.76		19	2.40		274	34.55		8	1.01		306	38.59					45	5.67		793	
	FIFTH				Excluded		5	35.71								3	21.43		1	7.14		1	7.14		1	7.14		0	0.00		0	0.00					3	21.43		14	
		TOTAL					114	14.38								15	1.89		7	0.88		20	2.52		275	34.68		8	1.01		306	38.59					48	6.05		793	
	SIXTH						3	42.86								1	14.29			Excluded		0	0.00		0	0.00		3	42.86		0	0.00					0	0.00		7	
		TOTAL					117	14.75								16	2.02					20	2.52		275	34.68		11	1.39		306	38.59					48	6.05		793	
	SEVENTH						2	10.00								2	10.00						Excluded		7	35.00		0	0.00		9	45.00					0	0.00		20	
		TOTAL					119	15.01								18	2.27								282	35.56		11	1.39		315	39.72					48	6.05		793	
	EIGHTH						3	16.67									Excluded								6	33.33		7	38.89		2	11.11					0	0.00		18	
		TOTAL					122	15.38																	288	36.32		18	2.27		317	39.97					48	6.05		793	
	NINTH						18	37.50																	10	20.83		4	8.33		16	33.33						Excluded		48	
		TOTAL					140	17.65																	298	37.58		22	2.77		333	41.99								793	
	TENTH						12	54.55																	7	31.82			Excluded		3	13.64								22	
		TOTAL					152	19.17																	305	38.46					336	42.37								793	
	ELEVENTH							Excluded																	100	65.79					52	34.21								152	
		TOTAL																							405	51.07					388	48.93								793	
																															Elected										
																																									
Cawongla                                                       																																									
	FIRST			1	0.28		29	8.08		2	0.56		1	0.28		21	5.85		21	5.85		1	0.28		85	23.68		130	36.21		59	16.43		1	0.28		8	2.23		359	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		1	0.28		29	8.08		2	0.56		1	0.28		22	6.13		21	5.85		1	0.28		85	23.68		130	36.21		59	16.43					8	2.23		359	
	THIRD			0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL		1	0.28		30	8.36					1	0.28		22	6.13		21	5.85		1	0.28		85	23.68		131	36.49		59	16.43					8	2.23		359	
	FOURTH			0	0.00		1	100.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		1	0.28		31	8.64								22	6.13		21	5.85		1	0.28		85	23.68		131	36.49		59	16.43					8	2.23		359	
	FIFTH				Excluded		1	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					32	8.91								22	6.13		21	5.85		1	0.28		85	23.68		131	36.49		59	16.43					8	2.23		359	
	SIXTH						2	9.52								1	4.76			Excluded		0	0.00		3	14.29		12	57.14		0	0.00					3	14.29		21	
		TOTAL					34	9.47								23	6.41					1	0.28		88	24.51		143	39.83		59	16.43					11	3.06		359	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		1	100.00					0	0.00		1	
		TOTAL					34	9.47								23	6.41								88	24.51		143	39.83		60	16.71					11	3.06		359	
	EIGHTH						3	13.04									Excluded								2	8.70		17	73.91		1	4.35					0	0.00		23	
		TOTAL					37	10.31																	90	25.07		160	44.57		61	16.99					11	3.06		359	
	NINTH						6	54.55																	1	9.09		1	9.09		3	27.27						Excluded		11	
		TOTAL					43	11.98																	91	25.35		161	44.85		64	17.83								359	
	TENTH						61	37.89																	93	57.76			Excluded		7	4.35								161	
		TOTAL					104	28.97																	184	51.25					71	19.78								359	
	ELEVENTH							Excluded																	87	83.65					17	16.35								104	
		TOTAL																							271	75.49					88	24.51								359	
																															Elected										
																																									
Chatsworth Island                                              																																									
	FIRST			3	0.84		11	3.07		0	0.00		1	0.28		8	2.23		8	2.23		6	1.68		92	25.70		16	4.47		171	47.77		0	0.00		42	11.73		358	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	0.84		11	3.07		0	0.00		1	0.28		8	2.23		8	2.23		6	1.68		92	25.70		16	4.47		171	47.77					42	11.73		358	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	0.84		11	3.07					1	0.28		8	2.23		8	2.23		6	1.68		92	25.70		16	4.47		171	47.77					42	11.73		358	
	FOURTH			1	100.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		4	1.12		11	3.07								8	2.23		8	2.23		6	1.68		92	25.70		16	4.47		171	47.77					42	11.73		358	
	FIFTH				Excluded		4	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL					15	4.19								8	2.23		8	2.23		6	1.68		92	25.70		16	4.47		171	47.77					42	11.73		358	
	SIXTH						1	12.50								1	12.50			Excluded		0	0.00		0	0.00		4	50.00		1	12.50					1	12.50		8	
		TOTAL					16	4.47								9	2.51					6	1.68		92	25.70		20	5.59		172	48.04					43	12.01		358	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		4	66.67					2	33.33		6	
		TOTAL					16	4.47								9	2.51								92	25.70		20	5.59		176	49.16					45	12.57		358	
	EIGHTH						3	33.33									Excluded								3	33.33		3	33.33		0	0.00					0	0.00		9	
		TOTAL					19	5.31																	95	26.54		23	6.42		176	49.16					45	12.57		358	
	NINTH						15	33.33																	7	15.56		7	15.56		16	35.56						Excluded		45	
		TOTAL					34	9.50																	102	28.49		30	8.38		192	53.63								358	
	TENTH						10	33.33																	15	50.00			Excluded		5	16.67								30	
		TOTAL					44	12.29																	117	32.68					197	55.03								358	
	ELEVENTH							Excluded																	25	56.82					19	43.18								44	
		TOTAL																							142	39.66					216	60.34								358	
																															Elected										
																																									
Clovass                                                        																																									
	FIRST			6	2.28		31	11.79		0	0.00		0	0.00		3	1.14		1	0.38		7	2.66		39	14.83		6	2.28		164	62.36		0	0.00		6	2.28		263	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	2.28		31	11.79		0	0.00		0	0.00		3	1.14		1	0.38		7	2.66		39	14.83		6	2.28		164	62.36					6	2.28		263	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		6	2.28		31	11.79					0	0.00		3	1.14		1	0.38		7	2.66		39	14.83		6	2.28		164	62.36					6	2.28		263	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		6	2.28		31	11.79								3	1.14		1	0.38		7	2.66		39	14.83		6	2.28		164	62.36					6	2.28		263	
	FIFTH				Excluded		3	50.00								0	0.00		1	16.67		0	0.00		0	0.00		1	16.67		1	16.67					0	0.00		6	
		TOTAL					34	12.93								3	1.14		2	0.76		7	2.66		39	14.83		7	2.66		165	62.74					6	2.28		263	
	SIXTH						0	0.00								1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					1	50.00		2	
		TOTAL					34	12.93								4	1.52					7	2.66		39	14.83		7	2.66		165	62.74					7	2.66		263	
	SEVENTH						0	0.00								1	14.29						Excluded		0	0.00		0	0.00		6	85.71					0	0.00		7	
		TOTAL					34	12.93								5	1.90								39	14.83		7	2.66		171	65.02					7	2.66		263	
	EIGHTH						1	20.00									Excluded								2	40.00		1	20.00		0	0.00					1	20.00		5	
		TOTAL					35	13.31																	41	15.59		8	3.04		171	65.02					8	3.04		263	
	NINTH						2	25.00																	1	12.50		3	37.50		2	25.00						Excluded		8	
		TOTAL					37	14.07																	42	15.97		11	4.18		173	65.78								263	
	TENTH						3	27.27																	4	36.36			Excluded		4	36.36								11	
		TOTAL					40	15.21																	46	17.49					177	67.30								263	
	ELEVENTH							Excluded																	22	55.00					18	45.00								40	
		TOTAL																							68	25.86					195	74.14								263	
																															Elected										
																																									
Clunes                                                         																																									
	FIRST			4	1.04		29	7.57		0	0.00		0	0.00		27	7.05		9	2.35		6	1.57		93	24.28		57	14.88		152	39.69		0	0.00		6	1.57		383	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	1.04		29	7.57		0	0.00		0	0.00		27	7.05		9	2.35		6	1.57		93	24.28		57	14.88		152	39.69					6	1.57		383	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		4	1.04		29	7.57					0	0.00		27	7.05		9	2.35		6	1.57		93	24.28		57	14.88		152	39.69					6	1.57		383	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		4	1.04		29	7.57								27	7.05		9	2.35		6	1.57		93	24.28		57	14.88		152	39.69					6	1.57		383	
	FIFTH				Excluded		0	0.00								1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		2	50.00					1	25.00		4	
		TOTAL					29	7.57								28	7.31		9	2.35		6	1.57		93	24.28		57	14.88		154	40.21					7	1.83		383	
	SIXTH						3	33.33								0	0.00			Excluded		0	0.00		1	11.11		4	44.44		0	0.00					1	11.11		9	
		TOTAL					32	8.36								28	7.31					6	1.57		94	24.54		61	15.93		154	40.21					8	2.09		383	
	SEVENTH						2	33.33								1	16.67						Excluded		0	0.00		0	0.00		3	50.00					0	0.00		6	
		TOTAL					34	8.88								29	7.57								94	24.54		61	15.93		157	40.99					8	2.09		383	
	EIGHTH						11	37.93									Excluded								4	13.79		10	34.48		4	13.79					0	0.00		29	
		TOTAL					45	11.75																	98	25.59		71	18.54		161	42.04					8	2.09		383	
	NINTH						5	62.50																	1	12.50		1	12.50		1	12.50						Excluded		8	
		TOTAL					50	13.05																	99	25.85		72	18.80		162	42.30								383	
	TENTH						22	30.56																	42	58.33			Excluded		8	11.11								72	
		TOTAL					72	18.80																	141	36.81					170	44.39								383	
	ELEVENTH							Excluded																	50	69.44					22	30.56								72	
		TOTAL																							191	49.87					192	50.13								383	
																															Elected										
																																									
Copmanhurst                                                    																																									
	FIRST			3	0.87		13	3.78		0	0.00		0	0.00		5	1.45		4	1.16		2	0.58		100	29.07		20	5.81		177	51.45		0	0.00		20	5.81		344	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	0.87		13	3.78		0	0.00		0	0.00		5	1.45		4	1.16		2	0.58		100	29.07		20	5.81		177	51.45					20	5.81		344	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	0.87		13	3.78					0	0.00		5	1.45		4	1.16		2	0.58		100	29.07		20	5.81		177	51.45					20	5.81		344	
	FOURTH			0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		3	0.87		13	3.78								5	1.45		4	1.16		2	0.58		100	29.07		20	5.81		177	51.45					20	5.81		344	
	FIFTH				Excluded		3	100.00								0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL					16	4.65								5	1.45		4	1.16		2	0.58		100	29.07		20	5.81		177	51.45					20	5.81		344	
	SIXTH						0	0.00								0	0.00			Excluded		0	0.00		1	25.00		2	50.00		1	25.00					0	0.00		4	
		TOTAL					16	4.65								5	1.45					2	0.58		101	29.36		22	6.40		178	51.74					20	5.81		344	
	SEVENTH						0	0.00								0	0.00						Excluded		0	0.00		0	0.00		2	100.00					0	0.00		2	
		TOTAL					16	4.65								5	1.45								101	29.36		22	6.40		180	52.33					20	5.81		344	
	EIGHTH						4	80.00									Excluded								0	0.00		0	0.00		0	0.00					1	20.00		5	
		TOTAL					20	5.81																	101	29.36		22	6.40		180	52.33					21	6.10		344	
	NINTH						9	42.86																	4	19.05		2	9.52		6	28.57						Excluded		21	
		TOTAL					29	8.43																	105	30.52		24	6.98		186	54.07								344	
	TENTH						7	29.17																	14	58.33			Excluded		3	12.50								24	
		TOTAL					36	10.47																	119	34.59					189	54.94								344	
	ELEVENTH							Excluded																	25	69.44					11	30.56								36	
		TOTAL																							144	41.86					200	58.14								344	
																															Elected										
																																									
Coraki                                                         																																									
	FIRST			21	2.31		97	10.65		2	0.22		17	1.87		9	0.99		23	2.52		15	1.65		213	23.38		51	5.60		406	44.57		0	0.00		57	6.26		911	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		21	2.31		97	10.65		2	0.22		17	1.87		9	0.99		23	2.52		15	1.65		213	23.38		51	5.60		406	44.57					57	6.26		911	
	THIRD			1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL		22	2.41		97	10.65					17	1.87		9	0.99		23	2.52		15	1.65		213	23.38		51	5.60		407	44.68					57	6.26		911	
	FOURTH			4	23.53		6	35.29						Excluded		0	0.00		2	11.76		0	0.00		0	0.00		2	11.76		2	11.76					1	5.88		17	
		TOTAL		26	2.85		103	11.31								9	0.99		25	2.74		15	1.65		213	23.38		53	5.82		409	44.90					58	6.37		911	
	FIFTH				Excluded		11	42.31								1	3.85		0	0.00		1	3.85		4	15.38		3	11.54		6	23.08					0	0.00		26	
		TOTAL					114	12.51								10	1.10		25	2.74		16	1.76		217	23.82		56	6.15		415	45.55					58	6.37		911	
