House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Robertson																																									
				KENISCIEHAD			BOYLE			HENNIG			MORAN			MUNN			LLOYD			LACEY			WILLS			LAING-PEACH			BAKER			PHILLIPS			MARTIN				
	NINTH						2	4.76					20	47.62					12	28.57		8	19.05									Excluded								42	
		TOTAL					93	7.60					474	38.76					598	48.90		58	4.74																	1223	
	TENTH						34	58.62					14	24.14					10	17.24			Excluded																	58	
		TOTAL					127	10.38					488	39.90					608	49.71																				1223	
	ELEVENTH							Excluded					87	68.50					40	31.50																				127	
		TOTAL											575	47.02					648	52.98																				1223	
																			Elected																						
																																									
Special Hospital Team 1                                        																																									
	FIRST			0	0.00		1	0.86		0	0.00		47	40.52		0	0.00		67	57.76		1	0.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		116	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		1	0.86		0	0.00		47	40.52		0	0.00		67	57.76		1	0.86		0	0.00		0	0.00		0	0.00		0	0.00					116	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL		0	0.00		1	0.86		0	0.00		47	40.52					67	57.76		1	0.86		0	0.00		0	0.00		0	0.00		0	0.00					116	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		0	0.00		1	0.86		0	0.00		47	40.52					67	57.76		1	0.86		0	0.00		0	0.00		0	0.00								116	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		0	0.00		1	0.86		0	0.00		47	40.52					67	57.76		1	0.86		0	0.00					0	0.00								116	
	SIXTH				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00					0	0.00								0	
		TOTAL					1	0.86		0	0.00		47	40.52					67	57.76		1	0.86		0	0.00					0	0.00								116	
	SEVENTH						0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded					0	0.00								0	
		TOTAL					1	0.86		0	0.00		47	40.52					67	57.76		1	0.86								0	0.00								116	
	EIGHTH						0	0.00			Excluded		0	0.00					0	0.00		0	0.00								0	0.00								0	
		TOTAL					1	0.86					47	40.52					67	57.76		1	0.86								0	0.00								116	
	NINTH						0	0.00					0	0.00					0	0.00		0	0.00									Excluded								0	
		TOTAL					1	0.86					47	40.52					67	57.76		1	0.86																	116	
	TENTH						0	0.00					0	0.00					1	100.00			Excluded																	1	
		TOTAL					1	0.86					47	40.52					68	58.62																				116	
	ELEVENTH							Excluded					1	100.00					0	0.00																				1	
		TOTAL											48	41.38					68	58.62																				116	
																			Elected																						
																																									
Special Hospital Team 2                                        																																									
	FIRST			4	1.86		0	0.00		0	0.00		100	46.51		2	0.93		104	48.37		1	0.47		2	0.93		0	0.00		2	0.93		0	0.00		0	0.00		215	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		4	1.86		0	0.00		0	0.00		100	46.51		2	0.93		104	48.37		1	0.47		2	0.93		0	0.00		2	0.93		0	0.00					215	
	THIRD			0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					2	
		TOTAL		4	1.86		0	0.00		1	0.47		101	46.98					104	48.37		1	0.47		2	0.93		0	0.00		2	0.93		0	0.00					215	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		4	1.86		0	0.00		1	0.47		101	46.98					104	48.37		1	0.47		2	0.93		0	0.00		2	0.93								215	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		4	1.86		0	0.00		1	0.47		101	46.98					104	48.37		1	0.47		2	0.93					2	0.93								215	
	SIXTH				Excluded		4	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00					0	0.00								4	
		TOTAL					4	1.86		1	0.47		101	46.98					104	48.37		1	0.47		2	0.93					2	0.93								215	
	SEVENTH						0	0.00		0	0.00		1	50.00					0	0.00		0	0.00			Excluded					1	50.00								2	
		TOTAL					4	1.86		1	0.47		102	47.44					104	48.37		1	0.47								3	1.40								215	
	EIGHTH						0	0.00			Excluded		0	0.00					0	0.00		1	100.00								0	0.00								1	
		TOTAL					4	1.86					102	47.44					104	48.37		2	0.93								3	1.40								215	
	NINTH						0	0.00					0	0.00					0	0.00		3	100.00									Excluded								3	
		TOTAL					4	1.86					102	47.44					104	48.37		5	2.33																	215	
	TENTH						3	60.00					1	20.00					1	20.00			Excluded																	5	
		TOTAL					7	3.26					103	47.91					105	48.84																				215	
	ELEVENTH							Excluded					5	71.43					2	28.57																				7	
		TOTAL											108	50.23					107	49.77																				215	
																			Elected																						
																																									
Special Hospital Team 3                                        																																									
	FIRST			5	4.07		3	2.44		1	0.81		53	43.09		0	0.00		60	48.78		0	0.00		1	0.81		0	0.00		0	0.00		0	0.00		0	0.00		123	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		5	4.07		3	2.44		1	0.81		53	43.09		0	0.00		60	48.78		0	0.00		1	0.81		0	0.00		0	0.00		0	0.00					123	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL		5	4.07		3	2.44		1	0.81		53	43.09					60	48.78		0	0.00		1	0.81		0	0.00		0	0.00		0	0.00					123	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		5	4.07		3	2.44		1	0.81		53	43.09					60	48.78		0	0.00		1	0.81		0	0.00		0	0.00								123	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		5	4.07		3	2.44		1	0.81		53	43.09					60	48.78		0	0.00		1	0.81					0	0.00								123	
	SIXTH				Excluded		3	60.00		1	20.00		1	20.00					0	0.00		0	0.00		0	0.00					0	0.00								5	
		TOTAL					6	4.88		2	1.63		54	43.90					60	48.78		0	0.00		1	0.81					0	0.00								123	
	SEVENTH						0	0.00		0	0.00		0	0.00					0	0.00		1	100.00			Excluded					0	0.00								1	
		TOTAL					6	4.88		2	1.63		54	43.90					60	48.78		1	0.81								0	0.00								123	
	EIGHTH						1	50.00			Excluded		0	0.00					1	50.00		0	0.00								0	0.00								2	
		TOTAL					7	5.69					54	43.90					61	49.59		1	0.81								0	0.00								123	
	NINTH						0	0.00					0	0.00					0	0.00		0	0.00									Excluded								0	
		TOTAL					7	5.69					54	43.90					61	49.59		1	0.81																	123	
	TENTH						0	0.00					0	0.00					1	100.00			Excluded																	1	
		TOTAL					7	5.69					54	43.90					62	50.41																				123	
	ELEVENTH							Excluded					7	100.00					0	0.00																				7	
		TOTAL											61	49.59					62	50.41																				123	
																			Elected																						
																																									
ABSENT																																									
	FIRST			76	1.56		294	6.04		105	2.16		1473	30.25		23	0.47		2271	46.64		308	6.33		33	0.68		37	0.76		170	3.49		62	1.27		17	0.35		4869	
	SECOND			3	17.65		0	0.00		1	5.88		0	0.00		0	0.00		2	11.76		3	17.65		0	0.00		0	0.00		0	0.00		8	47.06			Excluded		17	
		TOTAL		79	1.62		294	6.04		106	2.18		1473	30.25		23	0.47		2273	46.68		311	6.39		33	0.68		37	0.76		170	3.49		70	1.44					4869	
	THIRD			4	17.39		3	13.04		4	17.39		3	13.04			Excluded		2	8.70		2	8.70		1	4.35		2	8.70		1	4.35		1	4.35					23	
		TOTAL		83	1.70		297	6.10		110	2.26		1476	30.31					2275	46.72		313	6.43		34	0.70		39	0.80		171	3.51		71	1.46					4869	
	FOURTH			7	9.86		3	4.23		1	1.41		27	38.03					6	8.45		7	9.86		3	4.23		3	4.23		14	19.72			Excluded					71	
		TOTAL		90	1.85		300	6.16		111	2.28		1503	30.87					2281	46.85		320	6.57		37	0.76		42	0.86		185	3.80								4869	
	FIFTH			6	14.29		3	7.14		1	2.38		4	9.52					6	14.29		7	16.67		13	30.95			Excluded		2	4.76								42	
		TOTAL		96	1.97		303	6.22		112	2.30		1507	30.95					2287	46.97		327	6.72		50	1.03					187	3.84								4869	
	SIXTH				Excluded		58	60.42		9	9.38		3	3.13					6	6.25		4	4.17		15	15.63					1	1.04								96	
		TOTAL					361	7.41		121	2.49		1510	31.01					2293	47.09		331	6.80		65	1.33					188	3.86								4869	
	SEVENTH						11	16.92		1	1.54		7	10.77					10	15.38		21	32.31			Excluded					15	23.08								65	
		TOTAL					372	7.64		122	2.51		1517	31.16					2303	47.30		352	7.23								203	4.17								4869	
	EIGHTH						23	18.85			Excluded		12	9.84					60	49.18		13	10.66								14	11.48								122	
		TOTAL					395	8.11					1529	31.40					2363	48.53		365	7.50								217	4.46								4869	
	NINTH						36	16.59					37	17.05					70	32.26		74	34.10									Excluded								217	
		TOTAL					431	8.85					1566	32.16					2433	49.97		439	9.02																	4869	
	TENTH						201	45.79					130	29.61					108	24.60			Excluded																	439	
		TOTAL					632	12.98					1696	34.83					2541	52.19																				4869	
	ELEVENTH							Excluded					466	73.73					166	26.27																				632	
		TOTAL											2162	44.40					2707	55.60																				4869	
																			Elected																						
																																									
POSTAL																																									
	FIRST			17	0.49		86	2.48		34	0.98		1073	30.93		6	0.17		2050	59.09		55	1.59		11	0.32		16	0.46		107	3.08		10	0.29		4	0.12		3469	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	50.00		0	0.00		0	0.00		0	0.00		0	0.00		2	50.00			Excluded		4	
		TOTAL		17	0.49		86	2.48		34	0.98		1073	30.93		6	0.17		2052	59.15		55	1.59		11	0.32		16	0.46		107	3.08		12	0.35					3469	
	THIRD			1	16.67		0	0.00		1	16.67		1	16.67			Excluded		1	16.67		0	0.00		0	0.00		1	16.67		1	16.67		0	0.00					6	
		TOTAL		18	0.52		86	2.48		35	1.01		1074	30.96					2053	59.18		55	1.59		11	0.32		17	0.49		108	3.11		12	0.35					3469	
	FOURTH			0	0.00		2	16.67		0	0.00		4	33.33					1	8.33		1	8.33		0	0.00		2	16.67		2	16.67			Excluded					12	
		TOTAL		18	0.52		88	2.54		35	1.01		1078	31.08					2054	59.21		56	1.61		11	0.32		19	0.55		110	3.17								3469	
	FIFTH			1	5.26		0	0.00		0	0.00		2	10.53					0	0.00		2	10.53		12	63.16			Excluded		2	10.53								19	
		TOTAL		19	0.55		88	2.54		35	1.01		1080	31.13					2054	59.21		58	1.67		23	0.66					112	3.23								3469	
	SIXTH				Excluded		10	52.63		1	5.26		0	0.00					1	5.26		1	5.26		6	31.58					0	0.00								19	
		TOTAL					98	2.83		36	1.04		1080	31.13					2055	59.24		59	1.70		29	0.84					112	3.23								3469	
	SEVENTH						7	24.14		0	0.00		3	10.34					5	17.24		6	20.69			Excluded					8	27.59								29	
		TOTAL					105	3.03		36	1.04		1083	31.22					2060	59.38		65	1.87								120	3.46								3469	
	EIGHTH						5	13.89			Excluded		5	13.89					21	58.33		2	5.56								3	8.33								36	
		TOTAL					110	3.17					1088	31.36					2081	59.99		67	1.93								123	3.55								3469	
	NINTH						20	16.26					34	27.64					54	43.90		15	12.20									Excluded								123	
		TOTAL					130	3.75					1122	32.34					2135	61.55		82	2.36																	3469	
	TENTH						35	42.68					18	21.95					29	35.37			Excluded																	82	
		TOTAL					165	4.76					1140	32.86					2164	62.38																				3469	
	ELEVENTH							Excluded					115	69.70					50	30.30																				165	
		TOTAL											1255	36.18					2214	63.82																				3469	
																			Elected																						
																																									
PRE POLL																																									
	FIRST			45	1.00		137	3.03		45	1.00		1522	33.69		20	0.44		2346	51.94		128	2.83		47	1.04		28	0.62		169	3.74		20	0.44		10	0.22		4517	
	SECOND			1	10.00		2	20.00		1	10.00		0	0.00		2	20.00		0	0.00		0	0.00		0	0.00		0	0.00		2	20.00		2	20.00			Excluded		10	
		TOTAL		46	1.02		139	3.08		46	1.02		1522	33.69		22	0.49		2346	51.94		128	2.83		47	1.04		28	0.62		171	3.79		22	0.49					4517	
	THIRD			2	9.09		2	9.09		1	4.55		4	18.18			Excluded		2	9.09		5	22.73		5	22.73		1	4.55		0	0.00		0	0.00					22	
		TOTAL		48	1.06		141	3.12		47	1.04		1526	33.78					2348	51.98		133	2.94		52	1.15		29	0.64		171	3.79		22	0.49					4517	
	FOURTH			1	4.55		2	9.09		0	0.00		9	40.91					1	4.55		3	13.64		0	0.00		0	0.00		6	27.27			Excluded					22	
		TOTAL		49	1.08		143	3.17		47	1.04		1535	33.98					2349	52.00		136	3.01		52	1.15		29	0.64		177	3.92								4517	
	FIFTH			3	10.34		0	0.00		0	0.00		5	17.24					8	27.59		0	0.00		9	31.03			Excluded		4	13.79								29	
		TOTAL		52	1.15		143	3.17		47	1.04		1540	34.09					2357	52.18		136	3.01		61	1.35					181	4.01								4517	
	SIXTH				Excluded		31	59.62		3	5.77		3	5.77					4	7.69		3	5.77		5	9.62					3	5.77								52	
		TOTAL					174	3.85		50	1.11		1543	34.16					2361	52.27		139	3.08		66	1.46					184	4.07								4517	
	SEVENTH						10	15.15		2	3.03		5	7.58					13	19.70		6	9.09			Excluded					30	45.45								66	
		TOTAL					184	4.07		52	1.15		1548	34.27					2374	52.56		145	3.21								214	4.74								4517	
	EIGHTH						5	9.62			Excluded		9	17.31					29	55.77		6	11.54								3	5.77								52	
		TOTAL					189	4.18					1557	34.47					2403	53.20		151	3.34								217	4.80								4517	
	NINTH						50	23.04					39	17.97					74	34.10		54	24.88									Excluded								217	
		TOTAL					239	5.29					1596	35.33					2477	54.84		205	4.54																	4517	
	TENTH						99	48.29					55	26.83					51	24.88			Excluded																	205	
		TOTAL					338	7.48					1651	36.55					2528	55.97																				4517	
	ELEVENTH							Excluded					262	77.51					76	22.49																				338	
		TOTAL											1913	42.35					2604	57.65																				4517	
																			Elected																						
																																									
PROVISIONAL																																									
	FIRST			10	1.65		31	5.11		10	1.65		236	38.88		3	0.49		242	39.87		32	5.27		4	0.66		6	0.99		20	3.29		12	1.98		1	0.16		607	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		10	1.65		31	5.11		10	1.65		236	38.88		3	0.49		242	39.87		32	5.27		4	0.66		6	0.99		21	3.46		12	1.98					607	
	THIRD			0	0.00		0	0.00		0	0.00		1	33.33			Excluded		2	66.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					3	
		TOTAL		10	1.65		31	5.11		10	1.65		237	39.04					244	40.20		32	5.27		4	0.66		6	0.99		21	3.46		12	1.98					607	
	FOURTH			0	0.00		1	8.33		0	0.00		1	8.33					0	0.00		1	8.33		0	0.00		4	33.33		5	41.67			Excluded					12	
		TOTAL		10	1.65		32	5.27		10	1.65		238	39.21					244	40.20		33	5.44		4	0.66		10	1.65		26	4.28								607	
	FIFTH			0	0.00		1	10.00		0	0.00		1	10.00					0	0.00		3	30.00		5	50.00			Excluded		0	0.00								10	
		TOTAL		10	1.65		33	5.44		10	1.65		239	39.37					244	40.20		36	5.93		9	1.48					26	4.28								607	
	SIXTH				Excluded		5	50.00		1	10.00		2	20.00					0	0.00		0	0.00		2	20.00					0	0.00								10	
		TOTAL					38	6.26		11	1.81		241	39.70					244	40.20		36	5.93		11	1.81					26	4.28								607	
	SEVENTH						2	18.18		1	9.09		1	9.09					1	9.09		5	45.45			Excluded					1	9.09								11	
		TOTAL					40	6.59		12	1.98		242	39.87					245	40.36		41	6.75								27	4.45								607	
	EIGHTH						4	33.33			Excluded		2	16.67					6	50.00		0	0.00								0	0.00								12	
		TOTAL					44	7.25					244	40.20					251	41.35		41	6.75								27	4.45								607	
	NINTH						2	7.41					11	40.74					4	14.81		10	37.04									Excluded								27	
		TOTAL					46	7.58					255	42.01					255	42.01		51	8.40																	607	
	TENTH						25	49.02					15	29.41					11	21.57			Excluded																	51	
		TOTAL					71	11.70					270	44.48					266	43.82																				607	
	ELEVENTH							Excluded					46	64.79					25	35.21																				71	
		TOTAL											316	52.06					291	47.94																				607	
																			Elected																						
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
