House of Representatives - 2001 Election: New South Wales																																						
Distribution of Preferences																																						
By Polling Place																																						
																																						
Richmond																																						
				NATHAN			ANTHONY			PENHALIGON			MCALLISTER			FAULKNER			BARHAM			PENIAZEV			BALK			JEFFERYS			ROLFE			SIMPSON				
		TOTAL		19	1.31		869	59.73		14	0.96		376	25.84		0	0.00		79	5.43					42	2.89		11	0.76		41	2.82		4	0.27		1455	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		19	1.31		869	59.73		14	0.96		376	25.84					79	5.43					42	2.89		11	0.76		41	2.82		4	0.27		1455	
	FOURTH			2	50.00		0	0.00		0	0.00		0	0.00					0	0.00					1	25.00		0	0.00		1	25.00			Excluded		4	
		TOTAL		21	1.44		869	59.73		14	0.96		376	25.84					79	5.43					43	2.96		11	0.76		42	2.89					1455	
	FIFTH			4	28.57		6	42.86			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		4	28.57					14	
		TOTAL		25	1.72		875	60.14					376	25.84					79	5.43					43	2.96		11	0.76		46	3.16					1455	
	SIXTH			0	0.00		1	9.09					1	9.09					5	45.45					1	9.09			Excluded		3	27.27					11	
		TOTAL		25	1.72		876	60.21					377	25.91					84	5.77					44	3.02					49	3.37					1455	
	SEVENTH				Excluded		12	48.00					2	8.00					4	16.00					5	20.00					2	8.00					25	
		TOTAL					888	61.03					379	26.05					88	6.05					49	3.37					51	3.51					1455	
	EIGHTH						14	28.57					10	20.41					21	42.86						Excluded					4	8.16					49	
		TOTAL					902	61.99					389	26.74					109	7.49											55	3.78					1455	
	NINTH						30	54.55					9	16.36					16	29.09												Excluded					55	
		TOTAL					932	64.05					398	27.35					125	8.59																	1455	
	TENTH						24	19.20					101	80.80						Excluded																	125	
		TOTAL					956	65.70					499	34.30																							1455	
							Elected																															
																																						
Special Hospital Team 1                                        																																						
	FIRST			0	0.00		58	54.21		0	0.00		47	43.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.87		0	0.00		107	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		58	54.21		0	0.00		47	43.93		0	0.00		0	0.00					0	0.00		0	0.00		2	1.87		0	0.00		107	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		58	54.21		0	0.00		47	43.93					0	0.00					0	0.00		0	0.00		2	1.87		0	0.00		107	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		58	54.21		0	0.00		47	43.93					0	0.00					0	0.00		0	0.00		2	1.87					107	
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00					0	
		TOTAL		0	0.00		58	54.21					47	43.93					0	0.00					0	0.00		0	0.00		2	1.87					107	
	SIXTH			0	0.00		0	0.00					0	0.00					0	0.00					0	0.00			Excluded		0	0.00					0	
		TOTAL		0	0.00		58	54.21					47	43.93					0	0.00					0	0.00					2	1.87					107	
	SEVENTH				Excluded		0	0.00					0	0.00					0	0.00					0	0.00					0	0.00					0	
		TOTAL					58	54.21					47	43.93					0	0.00					0	0.00					2	1.87					107	
	EIGHTH						0	0.00					0	0.00					0	0.00						Excluded					0	0.00					0	
		TOTAL					58	54.21					47	43.93					0	0.00											2	1.87					107	
	NINTH						1	50.00					1	50.00					0	0.00												Excluded					2	
		TOTAL					59	55.14					48	44.86					0	0.00																	107	
	TENTH						0	0.00					0	0.00						Excluded																	0	
		TOTAL					59	55.14					48	44.86																							107	
							Elected																															
																																						
Special Hospital Team 2                                        																																						
	FIRST			2	2.44		48	58.54		1	1.22		31	37.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		82	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	2.44		48	58.54		1	1.22		31	37.80		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		82	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	2.44		48	58.54		1	1.22		31	37.80					0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		82	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		2	2.44		48	58.54		1	1.22		31	37.80					0	0.00					0	0.00		0	0.00		0	0.00					82	
	FIFTH			0	0.00		1	100.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00					1	
		TOTAL		2	2.44		49	59.76					31	37.80					0	0.00					0	0.00		0	0.00		0	0.00					82	
	SIXTH			0	0.00		0	0.00					0	0.00					0	0.00					0	0.00			Excluded		0	0.00					0	
		TOTAL		2	2.44		49	59.76					31	37.80					0	0.00					0	0.00					0	0.00					82	
	SEVENTH				Excluded		2	100.00					0	0.00					0	0.00					0	0.00					0	0.00					2	
		TOTAL					51	62.20					31	37.80					0	0.00					0	0.00					0	0.00					82	
	EIGHTH						0	0.00					0	0.00					0	0.00						Excluded					0	0.00					0	
		TOTAL					51	62.20					31	37.80					0	0.00											0	0.00					82	
	NINTH						0	0.00					0	0.00					0	0.00												Excluded					0	
		TOTAL					51	62.20					31	37.80					0	0.00																	82	
	TENTH						0	0.00					0	0.00						Excluded																	0	
		TOTAL					51	62.20					31	37.80																							82	
							Elected																															
																																						
Special Hospital Team 3                                        																																						
	FIRST			1	1.37		42	57.53		0	0.00		29	39.73		0	0.00		1	1.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		73	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.37		42	57.53		0	0.00		29	39.73		0	0.00		1	1.37					0	0.00		0	0.00		0	0.00		0	0.00		73	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.37		42	57.53		0	0.00		29	39.73					1	1.37					0	0.00		0	0.00		0	0.00		0	0.00		73	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		1	1.37		42	57.53		0	0.00		29	39.73					1	1.37					0	0.00		0	0.00		0	0.00					73	
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00					0	
		TOTAL		1	1.37		42	57.53					29	39.73					1	1.37					0	0.00		0	0.00		0	0.00					73	
	SIXTH			0	0.00		0	0.00					0	0.00					0	0.00					0	0.00			Excluded		0	0.00					0	
		TOTAL		1	1.37		42	57.53					29	39.73					1	1.37					0	0.00					0	0.00					73	
	SEVENTH				Excluded		1	100.00					0	0.00					0	0.00					0	0.00					0	0.00					1	
		TOTAL					43	58.90					29	39.73					1	1.37					0	0.00					0	0.00					73	
	EIGHTH						0	0.00					0	0.00					0	0.00						Excluded					0	0.00					0	
		TOTAL					43	58.90					29	39.73					1	1.37											0	0.00					73	
	NINTH						0	0.00					0	0.00					0	0.00												Excluded					0	
		TOTAL					43	58.90					29	39.73					1	1.37																	73	
	TENTH						0	0.00					1	100.00						Excluded																	1	
		TOTAL					43	58.90					30	41.10																							73	
							Elected																															
																																						
ABSENT																																						
	FIRST			69	2.63		1024	39.02		13	0.50		817	31.14		15	0.57		371	14.14		8	0.30		137	5.22		53	2.02		98	3.73		19	0.72		2624	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	12.50		2	25.00			Excluded		2	25.00		2	25.00		1	12.50		0	0.00		8	
		TOTAL		69	2.63		1024	39.02		13	0.50		817	31.14		16	0.61		373	14.21					139	5.30		55	2.10		99	3.77		19	0.72		2624	
	THIRD			1	6.25		1	6.25		4	25.00		1	6.25			Excluded		2	12.50					2	12.50		2	12.50		0	0.00		3	18.75		16	
		TOTAL		70	2.67		1025	39.06		17	0.65		818	31.17					375	14.29					141	5.37		57	2.17		99	3.77		22	0.84		2624	
	FOURTH			5	22.73		3	13.64		1	4.55		2	9.09					2	9.09					1	4.55		4	18.18		4	18.18			Excluded		22	
		TOTAL		75	2.86		1028	39.18		18	0.69		820	31.25					377	14.37					142	5.41		61	2.32		103	3.93					2624	
	FIFTH			8	44.44		3	16.67			Excluded		2	11.11					2	11.11					0	0.00		1	5.56		2	11.11					18	
		TOTAL		83	3.16		1031	39.29					822	31.33					379	14.44					142	5.41		62	2.36		105	4.00					2624	
	SIXTH			5	8.06		6	9.68					5	8.06					30	48.39					5	8.06			Excluded		11	17.74					62	
		TOTAL		88	3.35		1037	39.52					827	31.52					409	15.59					147	5.60					116	4.42					2624	
	SEVENTH				Excluded		38	43.18					19	21.59					18	20.45					6	6.82					7	7.95					88	
		TOTAL					1075	40.97					846	32.24					427	16.27					153	5.83					123	4.69					2624	
	EIGHTH						33	21.57					35	22.88					75	49.02						Excluded					10	6.54					153	
		TOTAL					1108	42.23					881	33.57					502	19.13											133	5.07					2624	
	NINTH						61	45.86					27	20.30					45	33.83												Excluded					133	
		TOTAL					1169	44.55					908	34.60					547	20.85																	2624	
	TENTH						126	23.03					421	76.97						Excluded																	547	
		TOTAL					1295	49.35					1329	50.65																							2624	
							Elected																															
																																						
POSTAL																																						
	FIRST			23	0.69		1817	54.47		21	0.63		1077	32.28		3	0.09		144	4.32		3	0.09		92	2.76		17	0.51		136	4.08		3	0.09		3336	
	SECOND			1	33.33		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		3	
		TOTAL		24	0.72		1818	54.50		21	0.63		1077	32.28		3	0.09		144	4.32					92	2.76		18	0.54		136	4.08		3	0.09		3336	
	THIRD			0	0.00		0	0.00		1	33.33		0	0.00			Excluded		0	0.00					1	33.33		0	0.00		0	0.00		1	33.33		3	
		TOTAL		24	0.72		1818	54.50		22	0.66		1077	32.28					144	4.32					93	2.79		18	0.54		136	4.08		4	0.12		3336	
	FOURTH			1	25.00		1	25.00		0	0.00		1	25.00					0	0.00					0	0.00		0	0.00		1	25.00			Excluded		4	
		TOTAL		25	0.75		1819	54.53		22	0.66		1078	32.31					144	4.32					93	2.79		18	0.54		137	4.11					3336	
	FIFTH			3	13.64		6	27.27			Excluded		6	27.27					1	4.55					2	9.09		0	0.00		4	18.18					22	
		TOTAL		28	0.84		1825	54.71					1084	32.49					145	4.35					95	2.85		18	0.54		141	4.23					3336	
	SIXTH			0	0.00		1	5.56					2	11.11					10	55.56					3	16.67			Excluded		2	11.11					18	
		TOTAL		28	0.84		1826	54.74					1086	32.55					155	4.65					98	2.94					143	4.29					3336	
	SEVENTH				Excluded		12	42.86					8	28.57					5	17.86					1	3.57					2	7.14					28	
		TOTAL					1838	55.10					1094	32.79					160	4.80					99	2.97					145	4.35					3336	
	EIGHTH						14	14.14					37	37.37					43	43.43						Excluded					5	5.05					99	
		TOTAL					1852	55.52					1131	33.90					203	6.09											150	4.50					3336	
	NINTH						71	47.33					43	28.67					36	24.00												Excluded					150	
		TOTAL					1923	57.64					1174	35.19					239	7.16																	3336	
	TENTH						53	22.18					186	77.82						Excluded																	239	
		TOTAL					1976	59.23					1360	40.77																							3336	
							Elected																															
																																						
PRE POLL																																						
	FIRST			107	1.61		3219	48.48		57	0.86		2167	32.64		11	0.17		478	7.20		7	0.11		167	2.52		67	1.01		317	4.77		43	0.65		6640	
	SECOND			1	14.29		0	0.00		0	0.00		0	0.00		0	0.00		1	14.29			Excluded		1	14.29		1	14.29		1	14.29		2	28.57		7	
		TOTAL		108	1.63		3219	48.48		57	0.86		2167	32.64		11	0.17		479	7.21					168	2.53		68	1.02		318	4.79		45	0.68		6640	
	THIRD			0	0.00		1	9.09		1	9.09		1	9.09			Excluded		2	18.18					1	9.09		1	9.09		2	18.18		2	18.18		11	
		TOTAL		108	1.63		3220	48.49		58	0.87		2168	32.65					481	7.24					169	2.55		69	1.04		320	4.82		47	0.71		6640	
	FOURTH			8	17.02		7	14.89		7	14.89		1	2.13					3	6.38					4	8.51		3	6.38		14	29.79			Excluded		47	
		TOTAL		116	1.75		3227	48.60		65	0.98		2169	32.67					484	7.29					173	2.61		72	1.08		334	5.03					6640	
	FIFTH			22	33.85		17	26.15			Excluded		6	9.23					1	1.54					3	4.62		1	1.54		15	23.08					65	
		TOTAL		138	2.08		3244	48.86					2175	32.76					485	7.30					176	2.65		73	1.10		349	5.26					6640	
	SIXTH			9	12.33		3	4.11					9	12.33					35	47.95					9	12.33			Excluded		8	10.96					73	
		TOTAL		147	2.21		3247	48.90					2184	32.89					520	7.83					185	2.79					357	5.38					6640	
	SEVENTH				Excluded		65	44.22					26	17.69					26	17.69					20	13.61					10	6.80					147	
		TOTAL					3312	49.88					2210	33.28					546	8.22					205	3.09					367	5.53					6640	
	EIGHTH						37	18.05					54	26.34					97	47.32						Excluded					17	8.29					205	
		TOTAL					3349	50.44					2264	34.10					643	9.68											384	5.78					6640	
	NINTH						187	48.70					94	24.48					103	26.82												Excluded					384	
		TOTAL					3536	53.25					2358	35.51					746	11.23																	6640	
	TENTH						192	25.74					554	74.26						Excluded																	746	
		TOTAL					3728	56.14					2912	43.86																							6640	
							Elected																															
																																						
PROVISIONAL																																						
	FIRST			9	1.71		188	35.67		1	0.19		180	34.16		2	0.38		100	18.98		2	0.38		12	2.28		14	2.66		16	3.04		3	0.57		527	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL		9	1.71		188	35.67		2	0.38		180	34.16		2	0.38		100	18.98					12	2.28		14	2.66		16	3.04		4	0.76		527	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		1	50.00		0	0.00		0	0.00		2	
		TOTAL		10	1.90		188	35.67		2	0.38		180	34.16					100	18.98					12	2.28		15	2.85		16	3.04		4	0.76		527	
	FOURTH			0	0.00		0	0.00		1	25.00		1	25.00					0	0.00					0	0.00		1	25.00		1	25.00			Excluded		4	
		TOTAL		10	1.90		188	35.67		3	0.57		181	34.35					100	18.98					12	2.28		16	3.04		17	3.23					527	
	FIFTH			0	0.00		1	33.33			Excluded		0	0.00					1	33.33					0	0.00		0	0.00		1	33.33					3	
		TOTAL		10	1.90		189	35.86					181	34.35					101	19.17					12	2.28		16	3.04		18	3.42					527	
	SIXTH			2	12.50		0	0.00					3	18.75					8	50.00					2	12.50			Excluded		1	6.25					16	
		TOTAL		12	2.28		189	35.86					184	34.91					109	20.68					14	2.66					19	3.61					527	
	SEVENTH				Excluded		5	41.67					3	25.00					3	25.00					0	0.00					1	8.33					12	
		TOTAL					194	36.81					187	35.48					112	21.25					14	2.66					20	3.80					527	
	EIGHTH						0	0.00					6	42.86					7	50.00						Excluded					1	7.14					14	
		TOTAL					194	36.81					193	36.62					119	22.58											21	3.98					527	
	NINTH						8	38.10					3	14.29					10	47.62												Excluded					21	
		TOTAL					202	38.33					196	37.19					129	24.48																	527	
	TENTH						20	15.50					109	84.50						Excluded																	129	
		TOTAL					222	42.13					305	57.87																							527	
							Elected																															
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
