House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Eden-Monaro																																		
				WHAN			CHAPMAN			PHILLIPS			BEAUMONT			SWIFT			VLUG			URQUHART			COCHRAN			NAIRN			BRIDGES			
		TOTAL		36	100.00																							0	0.00					36
																												Elected						
																																		
Wamboin                                                        																																		
	FIRST			189	32.93		25	4.36		3	0.52		39	6.79		3	0.52		0	0.00		2	0.35		55	9.58		253	44.08		5	0.87		574
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		189	32.93		25	4.36		3	0.52		39	6.79		3	0.52					2	0.35		55	9.58		253	44.08		5	0.87		574
	THIRD			1	33.33		0	0.00		0	0.00		0	0.00			Excluded					2	66.67		0	0.00		0	0.00		0	0.00		3
		TOTAL		190	33.10		25	4.36		3	0.52		39	6.79								4	0.70		55	9.58		253	44.08		5	0.87		574
	FOURTH			1	25.00		0	0.00		1	25.00		1	25.00									Excluded		1	25.00		0	0.00		0	0.00		4
		TOTAL		191	33.28		25	4.36		4	0.70		40	6.97											56	9.76		253	44.08		5	0.87		574
	FIFTH			0	0.00		0	0.00			Excluded		1	25.00											0	0.00		3	75.00		0	0.00		4
		TOTAL		191	33.28		25	4.36					41	7.14											56	9.76		256	44.60		5	0.87		574
	SIXTH			9	36.00			Excluded					13	52.00											3	12.00		0	0.00		0	0.00		25
		TOTAL		200	34.84								54	9.41											59	10.28		256	44.60		5	0.87		574
	SEVENTH			3	60.00								0	0.00											1	20.00		1	20.00			Excluded		5
		TOTAL		203	35.37								54	9.41											60	10.45		257	44.77					574
	EIGHTH			38	70.37									Excluded											10	18.52		6	11.11					54
		TOTAL		241	41.99																				70	12.20		263	45.82					574
	NINTH			31	44.29																					Excluded		39	55.71					70
		TOTAL		272	47.39																							302	52.61					574
																												Elected						
																																		
Wattle Park                                                    																																		
	FIRST			84	24.63		20	5.87		5	1.47		49	14.37		0	0.00		0	0.00		0	0.00		19	5.57		157	46.04		7	2.05		341
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		84	24.63		20	5.87		5	1.47		49	14.37		0	0.00					0	0.00		19	5.57		157	46.04		7	2.05		341
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		84	24.63		20	5.87		5	1.47		49	14.37								0	0.00		19	5.57		157	46.04		7	2.05		341
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		84	24.63		20	5.87		5	1.47		49	14.37											19	5.57		157	46.04		7	2.05		341
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											3	60.00		2	40.00		0	0.00		5
		TOTAL		84	24.63		20	5.87					49	14.37											22	6.45		159	46.63		7	2.05		341
	SIXTH			6	30.00			Excluded					5	25.00											2	10.00		7	35.00		0	0.00		20
		TOTAL		90	26.39								54	15.84											24	7.04		166	48.68		7	2.05		341
	SEVENTH			1	14.29								0	0.00											3	42.86		3	42.86			Excluded		7
		TOTAL		91	26.69								54	15.84											27	7.92		169	49.56					341
	EIGHTH			43	79.63									Excluded											5	9.26		6	11.11					54
		TOTAL		134	39.30																				32	9.38		175	51.32					341
	NINTH			11	34.38																					Excluded		21	65.63					32
		TOTAL		145	42.52																							196	57.48					341
																												Elected						
																																		
Wolumla                                                        																																		
	FIRST			132	28.39		14	3.01		8	1.72		33	7.10		2	0.43		0	0.00		0	0.00		40	8.60		199	42.80		37	7.96		465
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		132	28.39		14	3.01		8	1.72		33	7.10		2	0.43					0	0.00		40	8.60		199	42.80		37	7.96		465
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00			Excluded					0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		132	28.39		14	3.01		8	1.72		34	7.31								0	0.00		41	8.82		199	42.80		37	7.96		465
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		132	28.39		14	3.01		8	1.72		34	7.31											41	8.82		199	42.80		37	7.96		465
	FIFTH			0	0.00		0	0.00			Excluded		1	12.50											0	0.00		7	87.50		0	0.00		8
		TOTAL		132	28.39		14	3.01					35	7.53											41	8.82		206	44.30		37	7.96		465
	SIXTH			5	35.71			Excluded					8	57.14											0	0.00		0	0.00		1	7.14		14
		TOTAL		137	29.46								43	9.25											41	8.82		206	44.30		38	8.17		465
	SEVENTH			10	26.32								0	0.00											20	52.63		8	21.05			Excluded		38
		TOTAL		147	31.61								43	9.25											61	13.12		214	46.02					465
	EIGHTH			31	72.09									Excluded											6	13.95		6	13.95					43
		TOTAL		178	38.28																				67	14.41		220	47.31					465
	NINTH			21	31.34																					Excluded		46	68.66					67
		TOTAL		199	42.80																							266	57.20					465
																												Elected						
																																		
Wyndham                                                        																																		
	FIRST			103	35.89		11	3.83		1	0.35		57	19.86		2	0.70		0	0.00		2	0.70		16	5.57		88	30.66		7	2.44		287
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		103	35.89		11	3.83		1	0.35		57	19.86		2	0.70					2	0.70		16	5.57		88	30.66		7	2.44		287
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00			Excluded					0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL		103	35.89		11	3.83		1	0.35		58	20.21								2	0.70		16	5.57		88	30.66		8	2.79		287
	FOURTH			1	50.00		0	0.00		0	0.00		0	0.00									Excluded		1	50.00		0	0.00		0	0.00		2
		TOTAL		104	36.24		11	3.83		1	0.35		58	20.21											17	5.92		88	30.66		8	2.79		287
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		1	100.00		0	0.00		1
		TOTAL		104	36.24		11	3.83					58	20.21											17	5.92		89	31.01		8	2.79		287
	SIXTH			4	36.36			Excluded					6	54.55											1	9.09		0	0.00		0	0.00		11
		TOTAL		108	37.63								64	22.30											18	6.27		89	31.01		8	2.79		287
	SEVENTH			5	62.50								0	0.00											3	37.50		0	0.00			Excluded		8
		TOTAL		113	39.37								64	22.30											21	7.32		89	31.01					287
	EIGHTH			58	90.63									Excluded											4	6.25		2	3.13					64
		TOTAL		171	59.58																				25	8.71		91	31.71					287
	NINTH			10	40.00																					Excluded		15	60.00					25
		TOTAL		181	63.07																							106	36.93					287
																												Elected						
																																		
Special Hospital Team 1                                        																																		
	FIRST			48	46.15		3	2.88		1	0.96		1	0.96		0	0.00		0	0.00		0	0.00		5	4.81		46	44.23		0	0.00		104
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		48	46.15		3	2.88		1	0.96		1	0.96		0	0.00					0	0.00		5	4.81		46	44.23		0	0.00		104
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		48	46.15		3	2.88		1	0.96		1	0.96								0	0.00		5	4.81		46	44.23		0	0.00		104
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		48	46.15		3	2.88		1	0.96		1	0.96											5	4.81		46	44.23		0	0.00		104
	FIFTH			1	100.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		1
		TOTAL		49	47.12		3	2.88					1	0.96											5	4.81		46	44.23		0	0.00		104
	SIXTH			1	33.33			Excluded					0	0.00											2	66.67		0	0.00		0	0.00		3
		TOTAL		50	48.08								1	0.96											7	6.73		46	44.23		0	0.00		104
	SEVENTH			0	0.00								0	0.00											0	0.00		0	0.00			Excluded		0
		TOTAL		50	48.08								1	0.96											7	6.73		46	44.23					104
	EIGHTH			0	0.00									Excluded											0	0.00		1	100.00					1
		TOTAL		50	48.08																				7	6.73		47	45.19					104
	NINTH			4	57.14																					Excluded		3	42.86					7
		TOTAL		54	51.92																							50	48.08					104
																												Elected						
																																		
Special Hospital Team 2                                        																																		
	FIRST			28	38.36		0	0.00		0	0.00		1	1.37		1	1.37		0	0.00		0	0.00		6	8.22		35	47.95		2	2.74		73
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		28	38.36		0	0.00		0	0.00		1	1.37		1	1.37					0	0.00		6	8.22		35	47.95		2	2.74		73
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		28	38.36		0	0.00		0	0.00		1	1.37								1	1.37		6	8.22		35	47.95		2	2.74		73
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		29	39.73		0	0.00		0	0.00		1	1.37											6	8.22		35	47.95		2	2.74		73
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		29	39.73		0	0.00					1	1.37											6	8.22		35	47.95		2	2.74		73
	SIXTH			0	0.00			Excluded					0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		29	39.73								1	1.37											6	8.22		35	47.95		2	2.74		73
	SEVENTH			0	0.00								1	50.00											0	0.00		1	50.00			Excluded		2
		TOTAL		29	39.73								2	2.74											6	8.22		36	49.32					73
	EIGHTH			0	0.00									Excluded											2	100.00		0	0.00					2
		TOTAL		29	39.73																				8	10.96		36	49.32					73
	NINTH			2	25.00																					Excluded		6	75.00					8
		TOTAL		31	42.47																							42	57.53					73
																												Elected						
																																		
Special Hospital Team 3                                        																																		
	FIRST			30	42.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	4.23		38	53.52		0	0.00		71
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		30	42.25		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	4.23		38	53.52		0	0.00		71
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		30	42.25		0	0.00		0	0.00		0	0.00								0	0.00		3	4.23		38	53.52		0	0.00		71
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		30	42.25		0	0.00		0	0.00		0	0.00											3	4.23		38	53.52		0	0.00		71
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		30	42.25		0	0.00					0	0.00											3	4.23		38	53.52		0	0.00		71
	SIXTH			0	0.00			Excluded					0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		30	42.25								0	0.00											3	4.23		38	53.52		0	0.00		71
	SEVENTH			0	0.00								0	0.00											0	0.00		0	0.00			Excluded		0
		TOTAL		30	42.25								0	0.00											3	4.23		38	53.52					71
	EIGHTH			0	0.00									Excluded											0	0.00		0	0.00					0
		TOTAL		30	42.25																				3	4.23		38	53.52					71
	NINTH			1	33.33																					Excluded		2	66.67					3
		TOTAL		31	43.66																							40	56.34					71
																												Elected						
																																		
Special Hospital Team 4                                        																																		
	FIRST			62	35.43		2	1.14		0	0.00		2	1.14		1	0.57		0	0.00		0	0.00		0	0.00		107	61.14		1	0.57		175
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		62	35.43		2	1.14		0	0.00		2	1.14		1	0.57					0	0.00		0	0.00		107	61.14		1	0.57		175
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL		62	35.43		2	1.14		0	0.00		2	1.14								0	0.00		0	0.00		108	61.71		1	0.57		175
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		62	35.43		2	1.14		0	0.00		2	1.14											0	0.00		108	61.71		1	0.57		175
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		62	35.43		2	1.14					2	1.14											0	0.00		108	61.71		1	0.57		175
	SIXTH			0	0.00			Excluded					2	100.00											0	0.00		0	0.00		0	0.00		2
		TOTAL		62	35.43								4	2.29											0	0.00		108	61.71		1	0.57		175
	SEVENTH			0	0.00								0	0.00											1	100.00		0	0.00			Excluded		1
		TOTAL		62	35.43								4	2.29											1	0.57		108	61.71					175
	EIGHTH			3	75.00									Excluded											0	0.00		1	25.00					4
		TOTAL		65	37.14																				1	0.57		109	62.29					175
	NINTH			0	0.00																					Excluded		1	100.00					1
		TOTAL		65	37.14																							110	62.86					175
																												Elected						
																																		
ABSENT																																		
	FIRST			868	30.12		167	5.79		39	1.35		222	7.70		15	0.52		3	0.10		10	0.35		226	7.84		1212	42.05		120	4.16		2882
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		868	30.12		168	5.83		39	1.35		222	7.70		17	0.59					10	0.35		226	7.84		1212	42.05		120	4.16		2882
	THIRD			2	11.76		2	11.76		0	0.00		3	17.65			Excluded					6	35.29		2	11.76		1	5.88		1	5.88		17
		TOTAL		870	30.19		170	5.90		39	1.35		225	7.81								16	0.56		228	7.91		1213	42.09		121	4.20		2882
	FOURTH			2	12.50		0	0.00		2	12.50		1	6.25									Excluded		8	50.00		3	18.75		0	0.00		16
		TOTAL		872	30.26		170	5.90		41	1.42		226	7.84											236	8.19		1216	42.19		121	4.20		2882
	FIFTH			7	17.07		3	7.32			Excluded		5	12.20											7	17.07		17	41.46		2	4.88		41
		TOTAL		879	30.50		173	6.00					231	8.02											243	8.43		1233	42.78		123	4.27		2882
	SIXTH			53	30.64			Excluded					71	41.04											15	8.67		30	17.34		4	2.31		173
		TOTAL		932	32.34								302	10.48											258	8.95		1263	43.82		127	4.41		2882
	SEVENTH			35	27.56								19	14.96											30	23.62		43	33.86			Excluded		127
		TOTAL		967	33.55								321	11.14											288	9.99		1306	45.32					2882
	EIGHTH			197	61.37									Excluded											88	27.41		36	11.21					321
		TOTAL		1164	40.39																				376	13.05		1342	46.56					2882
	NINTH			154	40.96																					Excluded		222	59.04					376
		TOTAL		1318	45.73																							1564	54.27					2882
																												Elected						
																																		
POSTAL																																		
	FIRST			1110	31.01		99	2.77		33	0.92		127	3.55		11	0.31		8	0.22		10	0.28		298	8.33		1750	48.90		133	3.72		3579
	SECOND			1	12.50		0	0.00		0	0.00		2	25.00		1	12.50			Excluded		1	12.50		0	0.00		0	0.00		3	37.50		8
		TOTAL		1111	31.04		99	2.77		33	0.92		129	3.60		12	0.34					11	0.31		298	8.33		1750	48.90		136	3.80		3579
	THIRD			1	8.33		2	16.67		1	8.33		1	8.33			Excluded					4	33.33		1	8.33		1	8.33		1	8.33		12
		TOTAL		1112	31.07		101	2.82		34	0.95		130	3.63								15	0.42		299	8.35		1751	48.92		137	3.83		3579
	FOURTH			1	6.67		0	0.00		2	13.33		3	20.00									Excluded		4	26.67		1	6.67		4	26.67		15
		TOTAL		1113	31.10		101	2.82		36	1.01		133	3.72											303	8.47		1752	48.95		141	3.94		3579
	FIFTH			7	19.44		3	8.33			Excluded		2	5.56											4	11.11		17	47.22		3	8.33		36
		TOTAL		1120	31.29		104	2.91					135	3.77											307	8.58		1769	49.43		144	4.02		3579
	SIXTH			34	32.69			Excluded					41	39.42											13	12.50		11	10.58		5	4.81		104
		TOTAL		1154	32.24								176	4.92											320	8.94		1780	49.73		149	4.16		3579
	SEVENTH			41	27.52								15	10.07											48	32.21		45	30.20			Excluded		149
		TOTAL		1195	33.39								191	5.34											368	10.28		1825	50.99					3579
	EIGHTH			126	65.97									Excluded											46	24.08		19	9.95					191
		TOTAL		1321	36.91																				414	11.57		1844	51.52					3579
	NINTH			142	34.30																					Excluded		272	65.70					414
		TOTAL		1463	40.88																							2116	59.12					3579
																												Elected						
																																		
PRE POLL																																		
	FIRST			2487	36.05		276	4.00		95	1.38		330	4.78		21	0.30		14	0.20		22	0.32		537	7.78		2877	41.71		239	3.46		6898
	SECOND			2	14.29		2	14.29		0	0.00		1	7.14		0	0.00			Excluded		0	0.00		1	7.14		5	35.71		3	21.43		14
		TOTAL		2489	36.08		278	4.03		95	1.38		331	4.80		21	0.30					22	0.32		538	7.80		2882	41.78		242	3.51		6898
	THIRD			3	14.29		1	4.76		1	4.76		2	9.52			Excluded					8	38.10		2	9.52		2	9.52		2	9.52		21
		TOTAL		2492	36.13		279	4.04		96	1.39		333	4.83								30	0.43		540	7.83		2884	41.81		244	3.54		6898
	FOURTH			2	6.67		1	3.33		1	3.33		5	16.67									Excluded		17	56.67		2	6.67		2	6.67		30
		TOTAL		2494	36.16		280	4.06		97	1.41		338	4.90											557	8.07		2886	41.84		246	3.57		6898
	FIFTH			21	21.65		7	7.22			Excluded		10	10.31											12	12.37		38	39.18		9	9.28		97
		TOTAL		2515	36.46		287	4.16					348	5.04											569	8.25		2924	42.39		255	3.70		6898
	SIXTH			105	36.59			Excluded					109	37.98											30	10.45		38	13.24		5	1.74		287
		TOTAL		2620	37.98								457	6.63											599	8.68		2962	42.94		260	3.77		6898
	SEVENTH			58	22.31								23	8.85											101	38.85		78	30.00			Excluded		260
		TOTAL		2678	38.82								480	6.96											700	10.15		3040	44.07					6898
	EIGHTH			323	67.29									Excluded											112	23.33		45	9.38					480
		TOTAL		3001	43.51																				812	11.77		3085	44.72					6898
	NINTH			304	37.44																					Excluded		508	62.56					812
		TOTAL		3305	47.91																							3593	52.09					6898
																												Elected						
																																		
PROVISIONAL																																		
	FIRST			189	44.26		13	3.04		11	2.58		21	4.92		4	0.94		3	0.70		2	0.47		33	7.73		132	30.91		19	4.45		427
	SECOND			0	0.00		0	0.00		0	0.00		2	66.67		0	0.00			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		189	44.26		13	3.04		11	2.58		23	5.39		4	0.94					3	0.70		33	7.73		132	30.91		19	4.45		427
	THIRD			0	0.00		0	0.00		2	50.00		1	25.00			Excluded					0	0.00		1	25.00		0	0.00		0	0.00		4
		TOTAL		189	44.26		13	3.04		13	3.04		24	5.62								3	0.70		34	7.96		132	30.91		19	4.45		427
	FOURTH			1	33.33		0	0.00		1	33.33		0	0.00									Excluded		1	33.33		0	0.00		0	0.00		3
		TOTAL		190	44.50		13	3.04		14	3.28		24	5.62											35	8.20		132	30.91		19	4.45		427
	FIFTH			2	14.29		3	21.43			Excluded		0	0.00											2	14.29		7	50.00		0	0.00		14
		TOTAL		192	44.96		16	3.75					24	5.62											37	8.67		139	32.55		19	4.45		427
	SIXTH			7	43.75			Excluded					9	56.25											0	0.00		0	0.00		0	0.00		16
		TOTAL		199	46.60								33	7.73											37	8.67		139	32.55		19	4.45		427
	SEVENTH			7	36.84								3	15.79											5	26.32		4	21.05			Excluded		19
		TOTAL		206	48.24								36	8.43											42	9.84		143	33.49					427
	EIGHTH			22	61.11									Excluded											11	30.56		3	8.33					36
		TOTAL		228	53.40																				53	12.41		146	34.19					427
	NINTH			19	35.85																					Excluded		34	64.15					53
		TOTAL		247	57.85																							180	42.15					427
																												Elected						
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
