Senate - 1996 Election: New South Wales																																																																			
First Preference Votes by Group																																																																			
By Polling Place																																																																			


Banks (78925)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Ramsgate North		                             	29	1.51	 	801	41.7	 	26	1.35	 	6	0.31	 	8	0.42	 	30	1.56	 	798	41.54	 	169	8.8	 	2	0.1	 	18	0.94	 	0	0	 	7	0.36	 	0	0	 	2	0.1	 	3	0.16	 	0	0	 	5	0.26	 	10	0.52	 	7	0.36	 	1921	94.63	 	109	5.37	 	2030	2.61
Rockdale		                                   	21	1.01	 	379	18.28	 	37	1.78	 	21	1.01	 	4	0.19	 	22	1.06	 	1413	68.16	 	110	5.31	 	1	0.05	 	14	0.68	 	4	0.19	 	9	0.43	 	1	0.05	 	0	0	 	0	0	 	0	0	 	12	0.58	 	24	1.16	 	1	0.05	 	2073	92.5	 	168	7.5	 	2241	2.88
Rockdale Central		                           	8	0.93	 	212	24.65	 	19	2.21	 	9	1.05	 	4	0.47	 	16	1.86	 	503	58.49	 	46	5.35	 	2	0.23	 	8	0.93	 	0	0	 	6	0.7	 	0	0	 	0	0	 	0	0	 	1	0.12	 	6	0.7	 	19	2.21	 	1	0.12	 	860	93.17	 	63	6.83	 	923	1.18
Rockdale Park		                              	5	0.8	 	160	25.64	 	10	1.6	 	12	1.92	 	1	0.16	 	8	1.28	 	361	57.85	 	32	5.13	 	0	0	 	7	1.12	 	1	0.16	 	2	0.32	 	0	0	 	1	0.16	 	2	0.32	 	1	0.16	 	2	0.32	 	17	2.72	 	2	0.32	 	624	93.13	 	46	6.87	 	670	0.86
Rockdale West		                              	23	1.31	 	366	20.83	 	40	2.28	 	9	0.51	 	4	0.23	 	6	0.34	 	1127	64.14	 	121	6.89	 	1	0.06	 	12	0.68	 	0	0	 	11	0.63	 	0	0	 	1	0.06	 	0	0	 	1	0.06	 	9	0.51	 	25	1.42	 	1	0.06	 	1757	92.72	 	138	7.28	 	1895	2.43
St Cuthbert's		                              	33	1.63	 	750	37.11	 	36	1.78	 	4	0.2	 	1	0.05	 	31	1.53	 	884	43.74	 	190	9.4	 	3	0.15	 	24	1.19	 	0	0	 	4	0.2	 	0	0	 	3	0.15	 	1	0.05	 	0	0	 	6	0.3	 	43	2.13	 	8	0.4	 	2021	96.51	 	73	3.49	 	2094	2.69
St George Hospital		                         	2	1.32	 	40	26.32	 	1	0.66	 	2	1.32	 	0	0	 	2	1.32	 	77	50.66	 	15	9.87	 	1	0.66	 	3	1.97	 	0	0	 	0	0	 	0	0	 	1	0.66	 	2	1.32	 	0	0	 	1	0.66	 	5	3.29	 	0	0	 	152	96.2	 	6	3.8	 	158	0.2
Sans Souci		                                 	28	1.27	 	1076	48.91	 	33	1.5	 	2	0.09	 	8	0.36	 	31	1.41	 	709	32.23	 	199	9.05	 	2	0.09	 	35	1.59	 	0	0	 	4	0.18	 	0	0	 	0	0	 	4	0.18	 	0	0	 	10	0.45	 	44	2	 	15	0.68	 	2200	95.36	 	107	4.64	 	2307	2.96
Sans Souci North		                           	37	1.66	 	909	40.85	 	35	1.57	 	4	0.18	 	6	0.27	 	30	1.35	 	913	41.03	 	198	8.9	 	2	0.09	 	27	1.21	 	1	0.04	 	10	0.45	 	0	0	 	1	0.04	 	3	0.13	 	0	0	 	6	0.27	 	36	1.62	 	7	0.31	 	2225	94.12	 	139	5.88	 	2364	3.03
South Haven		                                	12	1.67	 	211	29.31	 	19	2.64	 	3	0.42	 	2	0.28	 	8	1.11	 	372	51.67	 	59	8.19	 	2	0.28	 	4	0.56	 	0	0	 	3	0.42	 	1	0.14	 	0	0	 	0	0	 	0	0	 	7	0.97	 	13	1.81	 	4	0.56	 	720	92.43	 	59	7.57	 	779	1
Sydney (Barton)		                            	2	1.55	 	34	26.36	 	2	1.55	 	1	0.78	 	1	0.78	 	0	0	 	64	49.61	 	17	13.18	 	0	0	 	2	1.55	 	0	0	 	1	0.78	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.78	 	4	3.1	 	0	0	 	129	93.48	 	9	6.52	 	138	0.18
The Mall		                                   	12	1.49	 	408	50.75	 	11	1.37	 	4	0.5	 	2	0.25	 	22	2.74	 	265	32.96	 	55	6.84	 	1	0.12	 	2	0.25	 	0	0	 	2	0.25	 	0	0	 	1	0.12	 	2	0.25	 	0	0	 	1	0.12	 	14	1.74	 	2	0.25	 	804	95.6	 	37	4.4	 	841	1.08
Turrella		                                   	13	1.31	 	189	19.01	 	14	1.41	 	6	0.6	 	2	0.2	 	10	1.01	 	642	64.59	 	86	8.65	 	2	0.2	 	6	0.6	 	0	0	 	6	0.6	 	0	0	 	0	0	 	1	0.1	 	1	0.1	 	4	0.4	 	11	1.11	 	1	0.1	 	994	90.45	 	105	9.55	 	1099	1.41
Special Hospitals		                          	2	0.41	 	263	53.35	 	1	0.2	 	0	0	 	3	0.61	 	1	0.2	 	179	36.31	 	19	3.85	 	1	0.2	 	0	0	 	1	0.2	 	1	0.2	 	0	0	 	0	0	 	3	0.61	 	0	0	 	0	0	 	18	3.65	 	1	0.2	 	493	97.05	 	15	2.95	 	508	0.65
Total Ordinary		                             	934	1.44	 	24185	37.41	 	1107	1.71	 	260	0.4	 	149	0.23	 	926	1.43	 	29058	44.95	 	5377	8.32	 	66	0.1	 	642	0.99	 	19	0.03	 	225	0.35	 	10	0.02	 	32	0.05	 	88	0.14	 	42	0.06	 	276	0.43	 	1086	1.68	 	161	0.25	 	64643	94.3	 	3910	5.7	 	68553	87.99
ABSENT		                                     	62	1.79	 	1266	36.46	 	140	4.03	 	15	0.43	 	6	0.17	 	79	2.28	 	1390	40.03	 	332	9.56	 	1	0.03	 	56	1.61	 	3	0.09	 	14	0.4	 	0	0	 	1	0.03	 	4	0.12	 	6	0.17	 	23	0.66	 	68	1.96	 	6	0.17	 	3472	97.83	 	77	2.17	 	3549	4.56
POSTAL		                                     	27	1.34	 	923	45.9	 	21	1.04	 	8	0.4	 	5	0.25	 	40	1.99	 	748	37.2	 	156	7.76	 	0	0	 	13	0.65	 	0	0	 	4	0.2	 	0	0	 	2	0.1	 	11	0.55	 	0	0	 	9	0.45	 	41	2.04	 	3	0.15	 	2011	97.72	 	47	2.28	 	2058	2.64
PRE_POLL		                                   	34	1.23	 	1171	42.29	 	65	2.35	 	11	0.4	 	8	0.29	 	41	1.48	 	1063	38.39	 	249	8.99	 	4	0.14	 	32	1.16	 	0	0	 	13	0.47	 	2	0.07	 	6	0.22	 	2	0.07	 	1	0.04	 	16	0.58	 	48	1.73	 	3	0.11	 	2769	98.68	 	37	1.32	 	2806	3.6
PROVISIONAL		                                	10	1.13	 	226	25.45	 	27	3.04	 	2	0.23	 	1	0.11	 	12	1.35	 	523	58.9	 	45	5.07	 	0	0	 	11	1.24	 	0	0	 	5	0.56	 	0	0	 	3	0.34	 	0	0	 	0	0	 	15	1.69	 	7	0.79	 	1	0.11	 	888	93.87	 	58	6.13	 	946	1.21
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	1067	1.45	 	27771	37.64	 	1360	1.84	 	296	0.4	 	169	0.23	 	1098	1.49	 	32782	44.43	 	6159	8.35	 	71	0.1	 	754	1.02	 	22	0.03	 	261	0.35	 	12	0.02	 	44	0.06	 	105	0.14	 	49	0.07	 	339	0.46	 	1250	1.69	 	174	0.24	 	73783	94.7	 	4129	5.3	 	77912	97.17
 																																																																			


Bennelong (81033)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Balaclava		                                  	13	0.58	 	1006	44.65	 	77	3.42	 	22	0.98	 	1	0.04	 	47	2.09	 	632	28.05	 	357	15.85	 	1	0.04	 	19	0.84	 	0	0	 	4	0.18	 	0	0	 	1	0.04	 	1	0.04	 	0	0	 	7	0.31	 	64	2.84	 	1	0.04	 	2253	97.62	 	55	2.38	 	2308	2.94
Boronia Park		                               	15	0.68	 	970	44.13	 	62	2.82	 	91	4.14	 	2	0.09	 	43	1.96	 	655	29.8	 	294	13.38	 	1	0.05	 	19	0.86	 	0	0	 	9	0.41	 	0	0	 	0	0	 	1	0.05	 	1	0.05	 	3	0.14	 	28	1.27	 	4	0.18	 	2198	96.32	 	84	3.68	 	2282	2.9
Denistone		                                  	9	1.08	 	396	47.31	 	13	1.55	 	0	0	 	2	0.24	 	24	2.87	 	238	28.43	 	104	12.43	 	1	0.12	 	4	0.48	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.12	 	41	4.9	 	4	0.48	 	837	96.43	 	31	3.57	 	868	1.1
Denistone East		                             	18	0.85	 	1055	49.91	 	43	2.03	 	11	0.52	 	5	0.24	 	65	3.07	 	564	26.68	 	259	12.25	 	4	0.19	 	20	0.95	 	2	0.09	 	5	0.24	 	2	0.09	 	0	0	 	2	0.09	 	2	0.09	 	5	0.24	 	50	2.37	 	2	0.09	 	2114	96.71	 	72	3.29	 	2186	2.78
Eastview		                                   	24	1.43	 	794	47.15	 	15	0.89	 	10	0.59	 	1	0.06	 	34	2.02	 	573	34.03	 	166	9.86	 	9	0.53	 	17	1.01	 	0	0	 	6	0.36	 	0	0	 	1	0.06	 	3	0.18	 	1	0.06	 	5	0.3	 	23	1.37	 	2	0.12	 	1684	94.71	 	94	5.29	 	1778	2.26
Eastwood		                                   	37	0.82	 	2115	46.61	 	130	2.86	 	23	0.51	 	9	0.2	 	131	2.89	 	1301	28.67	 	633	13.95	 	0	0	 	23	0.51	 	0	0	 	11	0.24	 	0	0	 	2	0.04	 	1	0.02	 	8	0.18	 	16	0.35	 	94	2.07	 	4	0.09	 	4538	96.97	 	142	3.03	 	4680	5.95
Eastwood Heights		                           	22	0.98	 	1132	50.45	 	55	2.45	 	7	0.31	 	3	0.13	 	59	2.63	 	562	25.04	 	303	13.5	 	3	0.13	 	13	0.58	 	2	0.09	 	3	0.13	 	0	0	 	1	0.04	 	2	0.09	 	2	0.09	 	7	0.31	 	65	2.9	 	3	0.13	 	2244	96.47	 	82	3.53	 	2326	2.96
Eastwood West		                              	11	2.58	 	219	51.29	 	3	0.7	 	0	0	 	0	0	 	16	3.75	 	93	21.78	 	63	14.75	 	0	0	 	2	0.47	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.47	 	0	0	 	1	0.23	 	16	3.75	 	1	0.23	 	427	96.39	 	16	3.61	 	443	0.56
Epping (Bennelong)		                         	14	0.7	 	965	48.01	 	51	2.54	 	5	0.25	 	3	0.15	 	60	2.99	 	491	24.43	 	327	16.27	 	0	0	 	9	0.45	 	0	0	 	7	0.35	 	0	0	 	3	0.15	 	0	0	 	1	0.05	 	1	0.05	 	68	3.38	 	5	0.25	 	2010	96.5	 	73	3.5	 	2083	2.65
Epping East		                                	24	0.9	 	1345	50.54	 	86	3.23	 	15	0.56	 	4	0.15	 	72	2.71	 	611	22.96	 	397	14.92	 	1	0.04	 	10	0.38	 	0	0	 	6	0.23	 	0	0	 	4	0.15	 	4	0.15	 	1	0.04	 	7	0.26	 	71	2.67	 	3	0.11	 	2661	96.55	 	95	3.45	 	2756	3.51
Epping North		                               	14	0.6	 	1275	54.7	 	66	2.83	 	6	0.26	 	2	0.09	 	78	3.35	 	425	18.23	 	377	16.17	 	3	0.13	 	10	0.43	 	0	0	 	8	0.34	 	0	0	 	1	0.04	 	0	0	 	4	0.17	 	2	0.09	 	55	2.36	 	5	0.21	 	2331	98.4	 	38	1.6	 	2369	3.01
Epping West (Bennelong)		                    	13	1.56	 	484	58.17	 	18	2.16	 	2	0.24	 	0	0	 	21	2.52	 	150	18.03	 	109	13.1	 	2	0.24	 	6	0.72	 	0	0	 	2	0.24	 	0	0	 	1	0.12	 	0	0	 	1	0.12	 	4	0.48	 	16	1.92	 	3	0.36	 	832	97.54	 	21	2.46	 	853	1.09
Ermington (Bennelong)		                      	10	0.85	 	552	46.78	 	15	1.27	 	5	0.42	 	1	0.08	 	25	2.12	 	380	32.2	 	142	12.03	 	0	0	 	7	0.59	 	0	0	 	2	0.17	 	0	0	 	1	0.08	 	2	0.17	 	0	0	 	2	0.17	 	29	2.46	 	7	0.59	 	1180	97.04	 	36	2.96	 	1216	1.55
Gladesville		                                	28	0.87	 	1450	45.03	 	75	2.33	 	55	1.71	 	4	0.12	 	45	1.4	 	1058	32.86	 	433	13.45	 	3	0.09	 	22	0.68	 	0	0	 	11	0.34	 	0	0	 	3	0.09	 	6	0.19	 	2	0.06	 	1	0.03	 	19	0.59	 	5	0.16	 	3220	93.93	 	208	6.07	 	3428	4.36
Gladesville Central		                        	5	0.78	 	283	44.01	 	12	1.87	 	14	2.18	 	0	0	 	13	2.02	 	211	32.81	 	69	10.73	 	0	0	 	3	0.47	 	1	0.16	 	2	0.31	 	0	0	 	0	0	 	0	0	 	0	0	 	7	1.09	 	22	3.42	 	1	0.16	 	643	96.26	 	25	3.74	 	668	0.85
Gladesville East		                           	3	0.88	 	158	46.61	 	6	1.77	 	5	1.47	 	0	0	 	3	0.88	 	104	30.68	 	54	15.93	 	0	0	 	0	0	 	0	0	 	1	0.29	 	0	0	 	1	0.29	 	1	0.29	 	1	0.29	 	0	0	 	2	0.59	 	0	0	 	339	97.98	 	7	2.02	 	346	0.44
Gladesville North		                          	18	1.15	 	724	46.44	 	31	1.99	 	40	2.57	 	1	0.06	 	24	1.54	 	500	32.07	 	163	10.46	 	0	0	 	14	0.9	 	2	0.13	 	9	0.58	 	0	0	 	1	0.06	 	3	0.19	 	3	0.19	 	9	0.58	 	16	1.03	 	1	0.06	 	1559	94.71	 	87	5.29	 	1646	2.09
Gladesville West		                           	15	1.43	 	556	52.85	 	13	1.24	 	22	2.09	 	2	0.19	 	27	2.57	 	311	29.56	 	80	7.6	 	2	0.19	 	3	0.29	 	0	0	 	2	0.19	 	0	0	 	2	0.19	 	1	0.1	 	1	0.1	 	3	0.29	 	10	0.95	 	2	0.19	 	1052	95.99	 	44	4.01	 	1096	1.39
Hunters Hill		                               	7	0.44	 	1103	68.68	 	35	2.18	 	56	3.49	 	2	0.12	 	14	0.87	 	191	11.89	 	161	10.02	 	1	0.06	 	8	0.5	 	0	0	 	9	0.56	 	0	0	 	1	0.06	 	0	0	 	1	0.06	 	4	0.25	 	10	0.62	 	3	0.19	 	1606	97.87	 	35	2.13	 	1641	2.09
Hunters Hill West		                          	7	0.59	 	699	59.04	 	19	1.6	 	42	3.55	 	3	0.25	 	5	0.42	 	245	20.69	 	151	12.75	 	0	0	 	5	0.42	 	0	0	 	1	0.08	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	5	0.42	 	2	0.17	 	1184	97.05	 	36	2.95	 	1220	1.55
Kent Road		                                  	25	1.22	 	911	44.4	 	48	2.34	 	22	1.07	 	2	0.1	 	66	3.22	 	672	32.75	 	255	12.43	 	3	0.15	 	18	0.88	 	0	0	 	1	0.05	 	0	0	 	1	0.05	 	1	0.05	 	2	0.1	 	9	0.44	 	9	0.44	 	7	0.34	 	2052	96.43	 	76	3.57	 	2128	2.71
Kittys Creek		                               	10	2.67	 	170	45.33	 	8	2.13	 	5	1.33	 	1	0.27	 	16	4.27	 	95	25.33	 	48	12.8	 	2	0.53	 	4	1.07	 	0	0	 	1	0.27	 	0	0	 	0	0	 	0	0	 	0	0	 	4	1.07	 	10	2.67	 	1	0.27	 	375	97.15	 	11	2.85	 	386	0.49
Lyon Park		                                  	27	2.11	 	461	35.99	 	39	3.04	 	11	0.86	 	2	0.16	 	15	1.17	 	457	35.68	 	196	15.3	 	0	0	 	6	0.47	 	0	0	 	5	0.39	 	0	0	 	3	0.23	 	1	0.08	 	2	0.16	 	5	0.39	 	50	3.9	 	1	0.08	 	1281	96.75	 	43	3.25	 	1324	1.68
Marsfield		                                  	16	0.77	 	1029	49.38	 	39	1.87	 	14	0.67	 	4	0.19	 	52	2.5	 	631	30.28	 	220	10.56	 	5	0.24	 	17	0.82	 	0	0	 	4	0.19	 	0	0	 	0	0	 	0	0	 	1	0.05	 	4	0.19	 	46	2.21	 	2	0.1	 	2084	95.42	 	100	4.58	 	2184	2.78
Meadowbank		                                 	11	1.55	 	295	41.49	 	20	2.81	 	1	0.14	 	0	0	 	17	2.39	 	265	37.27	 	84	11.81	 	0	0	 	2	0.28	 	0	0	 	1	0.14	 	0	0	 	1	0.14	 	1	0.14	 	1	0.14	 	2	0.28	 	6	0.84	 	4	0.56	 	711	95.95	 	30	4.05	 	741	0.94
Parkes Street		                              	18	1.22	 	647	43.72	 	34	2.3	 	4	0.27	 	0	0	 	36	2.43	 	522	35.27	 	150	10.14	 	0	0	 	17	1.15	 	1	0.07	 	7	0.47	 	0	0	 	1	0.07	 	4	0.27	 	2	0.14	 	4	0.27	 	31	2.09	 	2	0.14	 	1480	95.61	 	68	4.39	 	1548	1.97
Putney		                                     	23	0.94	 	1195	48.68	 	49	2	 	34	1.38	 	6	0.24	 	63	2.57	 	758	30.88	 	263	10.71	 	4	0.16	 	12	0.49	 	0	0	 	8	0.33	 	1	0.04	 	2	0.08	 	3	0.12	 	1	0.04	 	7	0.29	 	18	0.73	 	8	0.33	 	2455	96.09	 	100	3.91	 	2555	3.25
Royal Ryde Homes		                           	2	1.18	 	85	50.3	 	2	1.18	 	1	0.59	 	1	0.59	 	4	2.37	 	52	30.77	 	19	11.24	 	0	0	 	1	0.59	 	0	0	 	2	1.18	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	169	96.57	 	6	3.43	 	175	0.22
Ryde		                                       	36	1.14	 	1174	37.33	 	62	1.97	 	13	0.41	 	3	0.1	 	54	1.72	 	1357	43.15	 	345	10.97	 	4	0.13	 	25	0.79	 	3	0.1	 	8	0.25	 	0	0	 	2	0.06	 	2	0.06	 	0	0	 	14	0.45	 	41	1.3	 	2	0.06	 	3145	93.63	 	214	6.37	 	3359	4.27
Ryde Central		                               	20	1.61	 	533	42.91	 	27	2.17	 	8	0.64	 	2	0.16	 	34	2.74	 	417	33.57	 	120	9.66	 	3	0.24	 	14	1.13	 	3	0.24	 	2	0.16	 	1	0.08	 	1	0.08	 	2	0.16	 	0	0	 	6	0.48	 	46	3.7	 	3	0.24	 	1242	93.52	 	86	6.48	 	1328	1.69
Ryde East		                                  	26	0.85	 	1603	52.16	 	64	2.08	 	70	2.28	 	4	0.13	 	69	2.25	 	811	26.39	 	346	11.26	 	1	0.03	 	12	0.39	 	0	0	 	4	0.13	 	0	0	 	6	0.2	 	5	0.16	 	2	0.07	 	3	0.1	 	41	1.33	 	6	0.2	 	3073	96.88	 	99	3.12	 	3172	4.04
Ryde Heights		                               	10	1.6	 	260	41.67	 	14	2.24	 	1	0.16	 	1	0.16	 	6	0.96	 	228	36.54	 	73	11.7	 	0	0	 	7	1.12	 	1	0.16	 	4	0.64	 	0	0	 	0	0	 	0	0	 	2	0.32	 	2	0.32	 	13	2.08	 	2	0.32	 	624	94.4	 	37	5.6	 	661	0.84
Ryde Hospital		                              	10	1.48	 	335	49.7	 	11	1.63	 	3	0.45	 	2	0.3	 	15	2.23	 	185	27.45	 	90	13.35	 	0	0	 	2	0.3	 	0	0	 	1	0.15	 	0	0	 	1	0.15	 	2	0.3	 	2	0.3	 	2	0.3	 	12	1.78	 	1	0.15	 	674	96.98	 	21	3.02	 	695	0.88
Ryde North		                                 	26	0.86	 	1380	45.83	 	54	1.79	 	26	0.86	 	4	0.13	 	72	2.39	 	1018	33.81	 	320	10.63	 	2	0.07	 	29	0.96	 	1	0.03	 	11	0.37	 	0	0	 	0	0	 	4	0.13	 	0	0	 	12	0.4	 	50	1.66	 	2	0.07	 	3011	95.68	 	136	4.32	 	3147	4
Ryde South		                                 	9	1.36	 	323	48.94	 	7	1.06	 	4	0.61	 	0	0	 	13	1.97	 	227	34.39	 	60	9.09	 	1	0.15	 	5	0.76	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.61	 	0	0	 	2	0.3	 	4	0.61	 	1	0.15	 	660	96.35	 	25	3.65	 	685	0.87
Sydney (Bennelong)		                         	0	0	 	55	32.74	 	8	4.76	 	2	1.19	 	1	0.6	 	2	1.19	 	66	39.29	 	26	15.48	 	0	0	 	0	0	 	0	0	 	3	1.79	 	1	0.6	 	0	0	 	0	0	 	0	0	 	2	1.19	 	1	0.6	 	1	0.6	 	168	98.25	 	3	1.75	 	171	0.22
Truscott		                                   	29	1.81	 	801	49.88	 	20	1.25	 	17	1.06	 	2	0.12	 	36	2.24	 	486	30.26	 	166	10.34	 	1	0.06	 	8	0.5	 	1	0.06	 	4	0.25	 	0	0	 	0	0	 	3	0.19	 	0	0	 	4	0.25	 	22	1.37	 	6	0.37	 	1606	97.1	 	48	2.9	 	1654	2.1
Water Tanks		                                	10	1.23	 	359	44	 	19	2.33	 	7	0.86	 	4	0.49	 	17	2.08	 	268	32.84	 	91	11.15	 	2	0.25	 	8	0.98	 	8	0.98	 	1	0.12	 	0	0	 	1	0.12	 	4	0.49	 	1	0.12	 	1	0.12	 	14	1.72	 	1	0.12	 	816	95.77	 	36	4.23	 	852	1.08
West Ryde		                                  	45	1.26	 	1380	38.79	 	69	1.94	 	18	0.51	 	3	0.08	 	99	2.78	 	1391	39.09	 	409	11.5	 	1	0.03	 	23	0.65	 	0	0	 	12	0.34	 	0	0	 	7	0.2	 	5	0.14	 	3	0.08	 	15	0.42	 	63	1.77	 	15	0.42	 	3558	95.44	 	170	4.56	 	3728	4.74
Wicks		                                      	7	1.52	 	238	51.74	 	11	2.39	 	8	1.74	 	0	0	 	10	2.17	 	106	23.04	 	66	14.35	 	0	0	 	1	0.22	 	0	0	 	4	0.87	 	0	0	 	0	0	 	3	0.65	 	0	0	 	2	0.43	 	4	0.87	 	0	0	 	460	98.71	 	6	1.29	 	466	0.59
Woolwich		                                   	5	0.73	 	431	63.1	 	13	1.9	 	30	4.39	 	0	0	 	9	1.32	 	87	12.74	 	93	13.62	 	1	0.15	 	3	0.44	 	0	0	 	4	0.59	 	0	0	 	1	0.15	 	1	0.15	 	0	0	 	0	0	 	3	0.44	 	2	0.29	 	683	98.41	 	11	1.59	 	694	0.88
Special Hospitals		                          	5	0.79	 	412	64.88	 	3	0.47	 	2	0.31	 	1	0.16	 	0	0	 	132	20.79	 	28	4.41	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.16	 	2	0.31	 	49	7.72	 	0	0	 	635	96.5	 	23	3.5	 	658	0.84
Total Ordinary		                             	677	1.03	 	31358	47.6	 	1446	2.2	 	732	1.11	 	88	0.13	 	1511	2.29	 	19526	29.64	 	8110	12.31	 	61	0.09	 	428	0.65	 	25	0.04	 	185	0.28	 	5	0.01	 	50	0.08	 	74	0.11	 	49	0.07	 	187	0.28	 	1237	1.88	 	125	0.19	 	65874	96.16	 	2630	3.84	 	68504	87.15
ABSENT		                                     	50	1.17	 	1859	43.35	 	215	5.01	 	45	1.05	 	8	0.19	 	105	2.45	 	1216	28.36	 	582	13.57	 	3	0.07	 	41	0.96	 	1	0.02	 	28	0.65	 	0	0	 	11	0.26	 	3	0.07	 	7	0.16	 	22	0.51	 	89	2.08	 	3	0.07	 	4288	98.21	 	78	1.79	 	4366	5.55
POSTAL		                                     	19	0.76	 	1396	55.73	 	45	1.8	 	26	1.04	 	11	0.44	 	40	1.6	 	651	25.99	 	214	8.54	 	3	0.12	 	12	0.48	 	0	0	 	6	0.24	 	0	0	 	4	0.16	 	7	0.28	 	2	0.08	 	6	0.24	 	59	2.36	 	4	0.16	 	2505	98.27	 	44	1.73	 	2549	3.24
PRE_POLL		                                   	14	0.52	 	1292	48.01	 	80	2.97	 	38	1.41	 	4	0.15	 	39	1.45	 	834	30.99	 	296	11	 	1	0.04	 	20	0.74	 	0	0	 	12	0.45	 	0	0	 	5	0.19	 	1	0.04	 	4	0.15	 	6	0.22	 	44	1.64	 	1	0.04	 	2691	98.61	 	38	1.39	 	2729	3.47
PROVISIONAL		                                	5	1.13	 	167	37.87	 	21	4.76	 	5	1.13	 	1	0.23	 	13	2.95	 	170	38.55	 	39	8.84	 	0	0	 	6	1.36	 	0	0	 	2	0.45	 	0	0	 	0	0	 	0	0	 	0	0	 	7	1.59	 	5	1.13	 	0	0	 	441	96.92	 	14	3.08	 	455	0.58
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	765	1.01	 	36072	47.59	 	1807	2.38	 	846	1.12	 	112	0.15	 	1708	2.25	 	22397	29.55	 	9241	12.19	 	68	0.09	 	507	0.67	 	26	0.03	 	233	0.31	 	5	0.01	 	70	0.09	 	85	0.11	 	62	0.08	 	228	0.3	 	1434	1.89	 	133	0.18	 	75799	96.43	 	2804	3.57	 	78603	97
 																																																																			


Berowra (82360)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Arcadia		                                    	5	0.58	 	558	65.19	 	24	2.8	 	2	0.23	 	2	0.23	 	12	1.4	 	113	13.2	 	97	11.33	 	0	0	 	17	1.99	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.12	 	0	0	 	6	0.7	 	19	2.22	 	0	0	 	856	96.61	 	30	3.39	 	886	1.11
Asquith		                                    	30	1.48	 	952	47.08	 	70	3.46	 	7	0.35	 	13	0.64	 	48	2.37	 	558	27.6	 	257	12.71	 	1	0.05	 	23	1.14	 	0	0	 	7	0.35	 	0	0	 	4	0.2	 	8	0.4	 	2	0.1	 	10	0.49	 	30	1.48	 	2	0.1	 	2022	96.93	 	64	3.07	 	2086	2.61
