Senate -  1998 Election: Queensland																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												

The results in this table reflect the result of the count before the Court of Disputed Returns found Ms Hill ineligible to stand.																																																																												
For further information on this issue refer to the Table Notes 'Note on the Queensland Senate election – 1998’																																																																												

Blair (74211)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Walloon		                                    	5	0.36	 	1	0.07	 	0	0	 	7	0.51	 	64	4.66	 	0	0	 	7	0.51	 	1	0.07	 	493	35.93	 	0	0	 	9	0.66	 	1	0.07	 	2	0.15	 	78	5.69	 	3	0.22	 	391	28.5	 	266	19.39	 	10	0.73	 	1	0.07	 	3	0.22	 	28	2.04	 	2	0.15	 	1372	97.24	 	39	2.76	 	1411	1.99
Warrill View		                               	1	0.72	 	0	0	 	0	0	 	1	0.72	 	35	25.18	 	0	0	 	0	0	 	0	0	 	52	37.41	 	0	0	 	1	0.72	 	0	0	 	0	0	 	3	2.16	 	0	0	 	14	10.07	 	30	21.58	 	0	0	 	0	0	 	0	0	 	2	1.44	 	0	0	 	139	97.89	 	3	2.11	 	142	0.2
Withcott		                                   	3	0.27	 	0	0	 	1	0.09	 	4	0.36	 	104	9.35	 	1	0.09	 	25	2.25	 	1	0.09	 	332	29.86	 	0	0	 	3	0.27	 	1	0.09	 	4	0.36	 	85	7.64	 	2	0.18	 	211	18.97	 	301	27.07	 	5	0.45	 	1	0.09	 	2	0.18	 	25	2.25	 	1	0.09	 	1112	98.32	 	19	1.68	 	1131	1.6
Yarraman		                                   	3	0.5	 	0	0	 	0	0	 	2	0.34	 	91	15.24	 	1	0.17	 	4	0.67	 	0	0	 	248	41.54	 	0	0	 	2	0.34	 	2	0.34	 	3	0.5	 	36	6.03	 	1	0.17	 	97	16.25	 	97	16.25	 	0	0	 	0	0	 	2	0.34	 	8	1.34	 	0	0	 	597	95.06	 	31	4.94	 	628	0.89
Special Hospitals		                          	1	0.34	 	0	0	 	0	0	 	2	0.69	 	63	21.72	 	2	0.69	 	4	1.38	 	0	0	 	86	29.66	 	0	0	 	1	0.34	 	1	0.34	 	0	0	 	9	3.1	 	0	0	 	50	17.24	 	66	22.76	 	1	0.34	 	0	0	 	1	0.34	 	3	1.03	 	0	0	 	290	96.67	 	10	3.33	 	300	0.42
Total Ordinary		                             	245	0.42	 	58	0.1	 	21	0.04	 	250	0.43	 	5915	10.18	 	164	0.28	 	498	0.86	 	174	0.3	 	19346	33.29	 	71	0.12	 	312	0.54	 	40	0.07	 	106	0.18	 	3684	6.34	 	471	0.81	 	13715	23.6	 	11757	20.23	 	195	0.34	 	14	0.02	 	119	0.2	 	908	1.56	 	47	0.08	 	58110	96.63	 	2029	3.37	 	60139	84.88
ABSENT		                                     	25	0.5	 	3	0.06	 	0	0	 	23	0.46	 	503	10.05	 	15	0.3	 	74	1.48	 	10	0.2	 	1336	26.7	 	2	0.04	 	40	0.8	 	6	0.12	 	10	0.2	 	393	7.85	 	14	0.28	 	1281	25.6	 	1084	21.66	 	37	0.74	 	1	0.02	 	10	0.2	 	134	2.68	 	3	0.06	 	5004	98.54	 	74	1.46	 	5078	7.17
POSTAL		                                     	7	0.26	 	2	0.08	 	1	0.04	 	6	0.23	 	406	15.34	 	10	0.38	 	27	1.02	 	3	0.11	 	831	31.39	 	5	0.19	 	6	0.23	 	0	0	 	1	0.04	 	111	4.19	 	7	0.26	 	665	25.12	 	502	18.96	 	17	0.64	 	2	0.08	 	1	0.04	 	36	1.36	 	1	0.04	 	2647	98.66	 	36	1.34	 	2683	3.79
PRE_POLL		                                   	8	0.31	 	1	0.04	 	1	0.04	 	15	0.58	 	221	8.48	 	6	0.23	 	45	1.73	 	6	0.23	 	749	28.75	 	1	0.04	 	13	0.5	 	4	0.15	 	5	0.19	 	155	5.95	 	8	0.31	 	695	26.68	 	606	23.26	 	8	0.31	 	0	0	 	1	0.04	 	55	2.11	 	2	0.08	 	2605	98.6	 	37	1.4	 	2642	3.73
PROVISIONAL		                                	2	0.67	 	0	0	 	0	0	 	1	0.33	 	23	7.67	 	0	0	 	3	1	 	0	0	 	101	33.67	 	0	0	 	5	1.67	 	1	0.33	 	3	1	 	11	3.67	 	1	0.33	 	91	30.33	 	47	15.67	 	2	0.67	 	1	0.33	 	0	0	 	8	2.67	 	0	0	 	300	97.72	 	7	2.28	 	307	0.43
Division Summary		                           	287	0.42	 	64	0.09	 	23	0.03	 	295	0.43	 	7068	10.29	 	195	0.28	 	647	0.94	 	193	0.28	 	22363	32.57	 	79	0.12	 	376	0.55	 	51	0.07	 	125	0.18	 	4354	6.34	 	501	0.73	 	16447	23.95	 	13996	20.38	 	259	0.38	 	18	0.03	 	131	0.19	 	1141	1.66	 	53	0.08	 	68666	96.92	 	2183	3.08	 	70849	95.47


Bowman (80403)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alexandra Hills		                            	14	0.55	 	1	0.04	 	1	0.04	 	10	0.39	 	48	1.87	 	4	0.16	 	29	1.13	 	3	0.12	 	315	12.27	 	2	0.08	 	9	0.35	 	1	0.04	 	6	0.23	 	242	9.43	 	6	0.23	 	1109	43.2	 	712	27.74	 	5	0.19	 	0	0	 	10	0.39	 	40	1.56	 	0	0	 	2567	96.76	 	86	3.24	 	2653	3.48
Alexandra Park		                             	14	0.54	 	0	0	 	0	0	 	11	0.43	 	92	3.56	 	2	0.08	 	33	1.28	 	2	0.08	 	280	10.84	 	1	0.04	 	11	0.43	 	0	0	 	2	0.08	 	244	9.45	 	5	0.19	 	980	37.94	 	821	31.78	 	14	0.54	 	0	0	 	11	0.43	 	58	2.25	 	2	0.08	 	2583	96.85	 	84	3.15	 	2667	3.49
Amity Point		                                	2	0.66	 	0	0	 	0	0	 	0	0	 	4	1.33	 	0	0	 	2	0.66	 	0	0	 	62	20.6	 	0	0	 	2	0.66	 	0	0	 	0	0	 	21	6.98	 	1	0.33	 	125	41.53	 	73	24.25	 	0	0	 	0	0	 	1	0.33	 	8	2.66	 	0	0	 	301	96.17	 	12	3.83	 	313	0.41
Birkdale		                                   	10	0.27	 	2	0.05	 	1	0.03	 	20	0.55	 	89	2.43	 	5	0.14	 	37	1.01	 	6	0.16	 	417	11.39	 	2	0.05	 	10	0.27	 	3	0.08	 	2	0.05	 	474	12.95	 	9	0.25	 	1276	34.85	 	1236	33.76	 	10	0.27	 	0	0	 	5	0.14	 	46	1.26	 	1	0.03	 	3661	95.46	 	174	4.54	 	3835	5.02
Birkdale South		                             	14	0.45	 	0	0	 	1	0.03	 	7	0.23	 	42	1.36	 	3	0.1	 	39	1.26	 	3	0.1	 	356	11.5	 	1	0.03	 	7	0.23	 	0	0	 	6	0.19	 	341	11.02	 	5	0.16	 	1205	38.93	 	993	32.08	 	10	0.32	 	1	0.03	 	6	0.19	 	55	1.78	 	0	0	 	3095	96.72	 	105	3.28	 	3200	4.19
Brisbane City (Bowman)		                     	1	0.6	 	0	0	 	0	0	 	4	2.4	 	4	2.4	 	0	0	 	5	2.99	 	0	0	 	6	3.59	 	0	0	 	1	0.6	 	1	0.6	 	0	0	 	29	17.37	 	0	0	 	67	40.12	 	38	22.75	 	0	0	 	0	0	 	0	0	 	10	5.99	 	1	0.6	 	167	98.82	 	2	1.18	 	169	0.22
Capalaba		                                   	23	1.03	 	0	0	 	0	0	 	8	0.36	 	37	1.66	 	4	0.18	 	20	0.9	 	0	0	 	290	12.99	 	1	0.04	 	8	0.36	 	2	0.09	 	1	0.04	 	209	9.36	 	11	0.49	 	956	42.83	 	614	27.51	 	8	0.36	 	0	0	 	4	0.18	 	34	1.52	 	2	0.09	 	2232	97.04	 	68	2.96	 	2300	3.01
Capalaba School (Bowman)		                   	19	0.67	 	0	0	 	1	0.04	 	15	0.53	 	72	2.55	 	0	0	 	32	1.13	 	2	0.07	 	397	14.03	 	0	0	 	15	0.53	 	0	0	 	5	0.18	 	300	10.6	 	9	0.32	 	1100	38.88	 	779	27.54	 	15	0.53	 	1	0.04	 	10	0.35	 	55	1.94	 	2	0.07	 	2829	96.19	 	112	3.81	 	2941	3.85
Cleveland		                                  	4	0.22	 	1	0.05	 	0	0	 	5	0.27	 	98	5.38	 	4	0.22	 	15	0.82	 	1	0.05	 	224	12.29	 	1	0.05	 	4	0.22	 	1	0.05	 	2	0.11	 	200	10.98	 	3	0.16	 	557	30.57	 	663	36.39	 	1	0.05	 	0	0	 	5	0.27	 	31	1.7	 	2	0.11	 	1822	96.86	 	59	3.14	 	1881	2.46
Cleveland School		                           	15	0.39	 	3	0.08	 	1	0.03	 	17	0.45	 	209	5.48	 	7	0.18	 	27	0.71	 	1	0.03	 	402	10.54	 	0	0	 	8	0.21	 	1	0.03	 	4	0.1	 	351	9.2	 	5	0.13	 	1095	28.71	 	1598	41.9	 	10	0.26	 	0	0	 	3	0.08	 	57	1.49	 	0	0	 	3814	95.97	 	160	4.03	 	3974	5.21
Coolnwynpin		                                	12	0.52	 	1	0.04	 	0	0	 	10	0.44	 	88	3.83	 	2	0.09	 	22	0.96	 	1	0.04	 	248	10.8	 	0	0	 	5	0.22	 	0	0	 	0	0	 	204	8.88	 	5	0.22	 	838	36.48	 	814	35.44	 	5	0.22	 	1	0.04	 	7	0.3	 	33	1.44	 	1	0.04	 	2297	97.21	 	66	2.79	 	2363	3.1
Dunwich		                                    	5	0.9	 	0	0	 	2	0.36	 	3	0.54	 	13	2.35	 	2	0.36	 	9	1.62	 	0	0	 	73	13.18	 	3	0.54	 	4	0.72	 	0	0	 	3	0.54	 	37	6.68	 	1	0.18	 	256	46.21	 	128	23.1	 	6	1.08	 	0	0	 	1	0.18	 	7	1.26	 	1	0.18	 	554	95.52	 	26	4.48	 	580	0.76
Hemmant		                                    	5	0.58	 	0	0	 	0	0	 	3	0.35	 	8	0.93	 	2	0.23	 	4	0.47	 	1	0.12	 	133	15.47	 	0	0	 	2	0.23	 	0	0	 	1	0.12	 	78	9.07	 	3	0.35	 	432	50.23	 	159	18.49	 	5	0.58	 	1	0.12	 	2	0.23	 	20	2.33	 	1	0.12	 	860	97.73	 	20	2.27	 	880	1.15
Hilliard		                                   	7	0.39	 	1	0.06	 	0	0	 	4	0.23	 	34	1.92	 	1	0.06	 	25	1.41	 	4	0.23	 	142	8	 	0	0	 	6	0.34	 	0	0	 	3	0.17	 	196	11.05	 	4	0.23	 	567	31.96	 	736	41.49	 	6	0.34	 	0	0	 	6	0.34	 	32	1.8	 	0	0	 	1774	97.9	 	38	2.1	 	1812	2.37
Lake Sherrin		                               	1	0.16	 	0	0	 	0	0	 	0	0	 	58	9.42	 	0	0	 	5	0.81	 	0	0	 	105	17.05	 	0	0	 	3	0.49	 	0	0	 	1	0.16	 	48	7.79	 	1	0.16	 	168	27.27	 	210	34.09	 	1	0.16	 	0	0	 	4	0.65	 	11	1.79	 	0	0	 	616	96.25	 	24	3.75	 	640	0.84
Lindum		                                     	6	0.59	 	0	0	 	1	0.1	 	2	0.2	 	78	7.68	 	0	0	 	18	1.77	 	0	0	 	106	10.44	 	0	0	 	3	0.3	 	0	0	 	2	0.2	 	81	7.98	 	1	0.1	 	486	47.88	 	198	19.51	 	5	0.49	 	0	0	 	1	0.1	 	27	2.66	 	0	0	 	1015	96.57	 	36	3.43	 	1051	1.38
Lota		                                       	9	0.63	 	0	0	 	0	0	 	1	0.07	 	41	2.88	 	2	0.14	 	16	1.12	 	1	0.07	 	157	11.01	 	0	0	 	5	0.35	 	2	0.14	 	0	0	 	158	11.08	 	1	0.07	 	627	43.97	 	360	25.25	 	6	0.42	 	0	0	 	5	0.35	 	35	2.45	 	0	0	 	1426	96.03	 	59	3.97	 	1485	1.95
Manly		                                      	10	1.07	 	0	0	 	0	0	 	4	0.43	 	54	5.78	 	1	0.11	 	12	1.28	 	2	0.21	 	99	10.59	 	1	0.11	 	3	0.32	 	0	0	 	1	0.11	 	77	8.24	 	2	0.21	 	327	34.97	 	314	33.58	 	4	0.43	 	0	0	 	3	0.32	 	21	2.25	 	0	0	 	935	95.41	 	45	4.59	 	980	1.28
Manly School		                               	5	0.36	 	0	0	 	1	0.07	 	9	0.64	 	51	3.64	 	4	0.29	 	16	1.14	 	1	0.07	 	144	10.29	 	0	0	 	8	0.57	 	0	0	 	0	0	 	167	11.93	 	6	0.43	 	433	30.93	 	499	35.64	 	3	0.21	 	2	0.14	 	2	0.14	 	48	3.43	 	1	0.07	 	1400	96.55	 	50	3.45	 	1450	1.9
Manly West		                                 	6	0.29	 	0	0	 	1	0.05	 	7	0.34	 	83	3.98	 	4	0.19	 	45	2.16	 	0	0	 	226	10.84	 	1	0.05	 	9	0.43	 	1	0.05	 	1	0.05	 	193	9.26	 	4	0.19	 	821	39.4	 	630	30.23	 	8	0.38	 	0	0	 	7	0.34	 	37	1.78	 	0	0	 	2084	96.8	 	69	3.2	 	2153	2.82
Ormiston		                                   	11	0.5	 	0	0	 	0	0	 	5	0.23	 	93	4.2	 	3	0.14	 	34	1.54	 	1	0.05	 	208	9.4	 	0	0	 	8	0.36	 	1	0.05	 	2	0.09	 	275	12.43	 	2	0.09	 	579	26.16	 	939	42.43	 	6	0.27	 	0	0	 	6	0.27	 	40	1.81	 	0	0	 	2213	96.39	 	83	3.61	 	2296	3.01
Point Lookout		                              	1	0.2	 	0	0	 	0	0	 	0	0	 	10	2.02	 	0	0	 	4	0.81	 	2	0.4	 	44	8.91	 	0	0	 	0	0	 	2	0.4	 	0	0	 	46	9.31	 	0	0	 	201	40.69	 	157	31.78	 	3	0.61	 	0	0	 	1	0.2	 	23	4.66	 	0	0	 	494	97.05	 	15	2.95	 	509	0.67
Roles Hill		                                 	12	0.88	 	0	0	 	1	0.07	 	6	0.44	 	63	4.61	 	3	0.22	 	18	1.32	 	0	0	 	125	9.14	 	1	0.07	 	4	0.29	 	0	0	 	0	0	 	121	8.85	 	5	0.37	 	622	45.5	 	340	24.87	 	8	0.59	 	0	0	 	6	0.44	 	32	2.34	 	0	0	 	1367	96.13	 	55	3.87	 	1422	1.86
Tangalooma		                                 	0	0	 	0	0	 	0	0	 	0	0	 	2	3.45	 	0	0	 	0	0	 	0	0	 	8	13.79	 	0	0	 	0	0	 	0	0	 	0	0	 	2	3.45	 	0	0	 	20	34.48	 	21	36.21	 	1	1.72	 	0	0	 	0	0	 	4	6.9	 	0	0	 	58	98.31	 	1	1.69	 	59	0.08
Thorneside		                                 	6	0.45	 	0	0	 	1	0.08	 	7	0.53	 	32	2.42	 	2	0.15	 	9	0.68	 	0	0	 	157	11.87	 	1	0.08	 	8	0.6	 	1	0.08	 	1	0.08	 	147	11.11	 	3	0.23	 	523	39.53	 	381	28.8	 	11	0.83	 	0	0	 	5	0.38	 	28	2.12	 	0	0	 	1323	97.35	 	36	2.65	 	1359	1.78
Thornlands		                                 	6	0.17	 	2	0.06	 	0	0	 	10	0.28	 	160	4.41	 	7	0.19	 	35	0.96	 	5	0.14	 	439	12.1	 	0	0	 	12	0.33	 	2	0.06	 	11	0.3	 	399	10.99	 	5	0.14	 	1105	30.45	 	1336	36.81	 	11	0.3	 	0	0	 	8	0.22	 	76	2.09	 	0	0	 	3629	97.32	 	100	2.68	 	3729	4.89
Vienna Woods		                               	22	0.95	 	1	0.04	 	0	0	 	13	0.56	 	51	2.2	 	0	0	 	22	0.95	 	1	0.04	 	259	11.17	 	1	0.04	 	7	0.3	 	2	0.09	 	3	0.13	 	244	10.52	 	9	0.39	 	916	39.5	 	702	30.27	 	11	0.47	 	0	0	 	4	0.17	 	51	2.2	 	0	0	 	2319	97.97	 	48	2.03	 	2367	3.1
Wellington Point		                           	12	0.41	 	0	0	 	0	0	 	4	0.14	 	140	4.83	 	6	0.21	 	33	1.14	 	0	0	 	318	10.98	 	1	0.03	 	5	0.17	 	1	0.03	 	4	0.14	 	357	12.33	 	5	0.17	 	985	34.01	 	955	32.98	 	6	0.21	 	1	0.03	 	8	0.28	 	53	1.83	 	2	0.07	 	2896	96.08	 	118	3.92	 	3014	3.95
Wellington Point High		                      	3	0.32	 	0	0	 	0	0	 	6	0.63	 	22	2.32	 	2	0.21	 	10	1.05	 	0	0	 	103	10.86	 	0	0	 	8	0.84	 	0	0	 	2	0.21	 	129	13.61	 	1	0.11	 	312	32.91	 	327	34.49	 	3	0.32	 	0	0	 	4	0.42	 	16	1.69	 	0	0	 	948	98.44	 	15	1.56	 	963	1.26
Wondall Heights		                            	8	0.3	 	0	0	 	0	0	 	4	0.15	 	93	3.53	 	1	0.04	 	31	1.18	 	5	0.19	 	294	11.17	 	0	0	 	6	0.23	 	0	0	 	4	0.15	 	301	11.44	 	6	0.23	 	1043	39.64	 	767	29.15	 	11	0.42	 	0	0	 	4	0.15	 	53	2.01	 	0	0	 	2631	96.62	 	92	3.38	 	2723	3.57
Wynnum		                                     	13	0.89	 	2	0.14	 	0	0	 	1	0.07	 	82	5.62	 	2	0.14	 	15	1.03	 	0	0	 	118	8.08	 	2	0.14	 	2	0.14	 	0	0	 	2	0.14	 	178	12.19	 	1	0.07	 	604	41.37	 	389	26.64	 	4	0.27	 	2	0.14	 	4	0.27	 	37	2.53	 	2	0.14	 	1460	94.81	 	80	5.19	 	1540	2.02
Wynnum Central		                             	17	1.26	 	0	0	 	0	0	 	1	0.07	 	43	3.2	 	7	0.52	 	15	1.12	 	0	0	 	145	10.78	 	0	0	 	4	0.3	 	3	0.22	 	3	0.22	 	83	6.17	 	1	0.07	 	694	51.6	 	296	22.01	 	2	0.15	 	0	0	 	4	0.3	 	27	2.01	 	0	0	 	1345	93.02	 	101	6.98	 	1446	1.89
Wynnum North		                               	16	0.78	 	1	0.05	 	0	0	 	9	0.44	 	69	3.38	 	3	0.15	 	26	1.27	 	1	0.05	 	237	11.62	 	7	0.34	 	7	0.34	 	1	0.05	 	0	0	 	179	8.77	 	6	0.29	 	913	44.75	 	518	25.39	 	5	0.25	 	1	0.05	 	3	0.15	 	38	1.86	 	0	0	 	2040	95.15	 	104	4.85	 	2144	2.81
Wynnum North High		                          	17	1.49	 	0	0	 	0	0	 	2	0.17	 	34	2.97	 	3	0.26	 	10	0.87	 	0	0	 	130	11.37	 	0	0	 	4	0.35	 	1	0.09	 	0	0	 	140	12.25	 	0	0	 	537	46.98	 	237	20.73	 	4	0.35	 	0	0	 	3	0.26	 	20	1.75	 	1	0.09	 	1143	95.89	 	49	4.11	 	1192	1.56
Wynnum West		                                	25	0.96	 	2	0.08	 	0	0	 	11	0.42	 	107	4.13	 	5	0.19	 	38	1.47	 	3	0.12	 	277	10.69	 	2	0.08	 	6	0.23	 	1	0.04	 	3	0.12	 	226	8.72	 	13	0.5	 	1255	48.44	 	550	21.23	 	16	0.62	 	1	0.04	 	10	0.39	 	39	1.51	 	1	0.04	 	2591	96.28	 	100	3.72	 	2691	3.53
Special Hospitals		                          	3	0.69	 	0	0	 	0	0	 	0	0	 	10	2.3	 	2	0.46	 	4	0.92	 	0	0	 	12	2.76	 	0	0	 	1	0.23	 	0	0	 	0	0	 	11	2.53	 	0	0	 	207	47.7	 	182	41.94	 	2	0.46	 	0	0	 	0	0	 	0	0	 	0	0	 	434	91.95	 	38	8.05	 	472	0.62
Total Ordinary		                             	354	0.56	 	17	0.03	 	12	0.02	 	219	0.35	 	2214	3.52	 	93	0.15	 	715	1.14	 	46	0.07	 	7056	11.21	 	28	0.04	 	205	0.33	 	27	0.04	 	75	0.12	 	6488	10.31	 	139	0.22	 	23941	38.05	 	19672	31.26	 	226	0.36	 	11	0.02	 	163	0.26	 	1202	1.91	 	20	0.03	 	62923	96.43	 	2330	3.57	 	65253	85.49
ABSENT		                                     	12	0.29	 	3	0.07	 	4	0.1	 	23	0.56	 	134	3.29	 	10	0.25	 	70	1.72	 	3	0.07	 	458	11.24	 	0	0	 	12	0.29	 	3	0.07	 	1	0.02	 	382	9.38	 	13	0.32	 	1412	34.67	 	1337	32.83	 	37	0.91	 	0	0	 	21	0.52	 	136	3.34	 	2	0.05	 	4073	98.33	 	69	1.67	 	4142	5.43
POSTAL		                                     	10	0.33	 	0	0	 	0	0	 	10	0.33	 	113	3.77	 	2	0.07	 	45	1.5	 	0	0	 	311	10.38	 	0	0	 	5	0.17	 	1	0.03	 	6	0.2	 	180	6.01	 	7	0.23	 	1304	43.54	 	938	31.32	 	8	0.27	 	0	0	 	5	0.17	 	48	1.6	 	2	0.07	 	2995	98.39	 	49	1.61	 	3044	3.99
PRE_POLL		                                   	17	0.48	 	6	0.17	 	0	0	 	14	0.4	 	98	2.79	 	5	0.14	 	47	1.34	 	4	0.11	 	402	11.43	 	0	0	 	10	0.28	 	4	0.11	 	7	0.2	 	275	7.82	 	4	0.11	 	1162	33.04	 	1346	38.27	 	17	0.48	 	0	0	 	10	0.28	 	89	2.53	 	0	0	 	3517	99.1	 	32	0.9	 	3549	4.65
PROVISIONAL		                                	0	0	 	0	0	 	0	0	 	3	0.89	 	8	2.38	 	1	0.3	 	7	2.08	 	1	0.3	 	36	10.71	 	1	0.3	 	1	0.3	 	0	0	 	1	0.3	 	13	3.87	 	0	0	 	155	46.13	 	90	26.79	 	1	0.3	 	0	0	 	1	0.3	 	17	5.06	 	0	0	 	336	98.25	 	6	1.75	 	342	0.45
Division Summary		                           	393	0.53	 	26	0.04	 	16	0.02	 	269	0.36	 	2567	3.48	 	111	0.15	 	884	1.2	 	54	0.07	 	8263	11.19	 	29	0.04	 	233	0.32	 	35	0.05	 	90	0.12	 	7338	9.94	 	163	0.22	 	27974	37.88	 	23383	31.67	 	289	0.39	 	11	0.01	 	200	0.27	 	1492	2.02	 	24	0.03	 	73844	96.74	 	2486	3.26	 	76330	94.93


Brisbane (89164)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alderley		                                   	14	0.69	 	2	0.1	 	0	0	 	6	0.3	 	81	4.02	 	4	0.2	 	17	0.84	 	0	0	 	181	8.98	 	1	0.05	 	5	0.25	 	0	0	 	0	0	 	237	11.76	 	1	0.05	 	814	40.4	 	589	29.23	 	11	0.55	 	1	0.05	 	5	0.25	 	43	2.13	 	3	0.15	 	2015	96.32	 	77	3.68	 	2092	2.52
Ashgrove		                                   	14	0.48	 	0	0	 	1	0.03	 	17	0.59	 	127	4.39	 	7	0.24	 	10	0.35	 	1	0.03	 	130	4.49	 	0	0	 	3	0.1	 	3	0.1	 	2	0.07	 	432	14.93	 	3	0.1	 	940	32.49	 	1087	37.57	 	9	0.31	 	0	0	 	5	0.17	 	100	3.46	 	2	0.07	 	2893	97.44	 	76	2.56	 	2969	3.57
Ashgrove West		                              	32	1.54	 	0	0	 	1	0.05	 	8	0.39	 	73	3.51	 	0	0	 	6	0.29	 	0	0	 	87	4.19	 	1	0.05	 	3	0.14	 	1	0.05	 	1	0.05	 	310	14.93	 	2	0.1	 	629	30.28	 	849	40.88	 	7	0.34	 	1	0.05	 	3	0.14	 	62	2.99	 	1	0.05	 	2077	97.51	 	53	2.49	 	2130	2.56
Auchenflower		                               	2	0.13	 	1	0.06	 	0	0	 	8	0.52	 	76	4.94	 	1	0.06	 	4	0.26	 	0	0	 	80	5.19	 	0	0	 	3	0.19	 	1	0.06	 	0	0	 	240	15.58	 	1	0.06	 	464	30.13	 	584	37.92	 	9	0.58	 	0	0	 	12	0.78	 	53	3.44	 	1	0.06	 	1540	98.09	 	30	1.91	 	1570	1.89
Ballymore		                                  	1	0.16	 	0	0	 	0	0	 	6	0.96	 	12	1.92	 	2	0.32	 	8	1.28	 	0	0	 	40	6.41	 	0	0	 	1	0.16	 	0	0	 	0	0	 	92	14.74	 	1	0.16	 	202	32.37	 	227	36.38	 	4	0.64	 	0	0	 	1	0.16	 	25	4.01	 	2	0.32	 	624	95.56	 	29	4.44	 	653	0.79
Bardon		                                     	2	0.15	 	1	0.08	 	0	0	 	7	0.53	 	67	5.11	 	0	0	 	7	0.53	 	0	0	 	49	3.74	 	0	0	 	2	0.15	 	1	0.08	 	0	0	 	218	16.64	 	1	0.08	 	429	32.75	 	448	34.2	 	18	1.37	 	0	0	 	0	0	 	58	4.43	 	2	0.15	 	1310	96.25	 	51	3.75	 	1361	1.64
Brisbane City (Brisbane)		                   	12	0.58	 	2	0.1	 	0	0	 	22	1.06	 	56	2.69	 	5	0.24	 	3	0.14	 	1	0.05	 	95	4.57	 	0	0	 	1	0.05	 	4	0.19	 	0	0	 	319	15.34	 	2	0.1	 	777	37.36	 	599	28.8	 	16	0.77	 	2	0.1	 	18	0.87	 	140	6.73	 	6	0.29	 	2080	97.47	 	54	2.53	 	2134	2.57
Buranda		                                    	1	0.26	 	0	0	 	0	0	 	4	1.04	 	2	0.52	 	0	0	 	4	1.04	 	0	0	 	36	9.4	 	0	0	 	3	0.78	 	0	0	 	1	0.26	 	54	14.1	 	1	0.26	 	165	43.08	 	89	23.24	 	4	1.04	 	1	0.26	 	2	0.52	 	16	4.18	 	0	0	 	383	96.23	 	15	3.77	 	398	0.48
Dorrington		                                 	6	0.53	 	0	0	 	0	0	 	7	0.62	 	51	4.49	 	0	0	 	4	0.35	 	0	0	 	82	7.22	 	0	0	 	4	0.35	 	0	0	 	2	0.18	 	153	13.48	 	0	0	 	397	34.98	 	394	34.71	 	6	0.53	 	0	0	 	4	0.35	 	23	2.03	 	2	0.18	 	1135	95.22	 	57	4.78	 	1192	1.43
Dutton Park		                                	3	0.32	 	0	0	 	0	0	 	8	0.86	 	9	0.97	 	6	0.65	 	10	1.08	 	2	0.22	 	49	5.28	 	2	0.22	 	1	0.11	 	0	0	 	0	0	 	134	14.44	 	1	0.11	 	424	45.69	 	219	23.6	 	9	0.97	 	0	0	 	6	0.65	 	45	4.85	 	0	0	 	928	97.27	 	26	2.73	 	954	1.15
