House of Representatives - 2001 Election: Victoria																																
Distribution of Preferences																																
By Polling Place																																
Indi																																
				ADAMS			MURDOCH			BENNETTS			CHUCK			SEYMOUR			WARDLE			CHAMBERS			PANOPOULOS			MCINTOSH				
	SIXTH						50	37.88												Excluded		10	7.58		17	12.88		55	41.67		132	
		TOTAL					713	32.22														222	10.03		959	43.33		319	14.41		2213	
	SEVENTH						100	31.35														146	45.77		73	22.88			Excluded		319	
		TOTAL					813	36.74														368	16.63		1032	46.63					2213	
	EIGHTH						80	21.74															Excluded		288	78.26					368	
		TOTAL					893	40.35																	1320	59.65					2213	
																									Elected							
																																
Wooragee                                                       																																
	FIRST			0	0.00		41	20.30		9	4.46		8	3.96		2	0.99		11	5.45		37	18.32		54	26.73		40	19.80		202	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL		0	0.00		41	20.30		9	4.46		8	3.96					12	5.94		37	18.32		54	26.73		41	20.30		202	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					41	20.30		9	4.46		8	3.96					12	5.94		37	18.32		54	26.73		41	20.30		202	
	FOURTH						0	0.00		0	0.00			Excluded					4	50.00		3	37.50		0	0.00		1	12.50		8	
		TOTAL					41	20.30		9	4.46								16	7.92		40	19.80		54	26.73		42	20.79		202	
	FIFTH						1	11.11			Excluded								2	22.22		0	0.00		3	33.33		3	33.33		9	
		TOTAL					42	20.79											18	8.91		40	19.80		57	28.22		45	22.28		202	
	SIXTH						8	44.44												Excluded		0	0.00		0	0.00		10	55.56		18	
		TOTAL					50	24.75														40	19.80		57	28.22		55	27.23		202	
	SEVENTH						12	21.82														26	47.27		17	30.91			Excluded		55	
		TOTAL					62	30.69														66	32.67		74	36.63					202	
	EIGHTH						4	6.06															Excluded		62	93.94					66	
		TOTAL					66	32.67																	136	67.33					202	
																									Elected							
																																
Yackandandah                                                   																																
	FIRST			4	0.37		267	24.56		27	2.48		53	4.88		10	0.92		54	4.97		68	6.26		326	29.99		278	25.57		1087	
	SECOND			1	10.00		1	10.00		0	0.00		1	10.00			Excluded		1	10.00		2	20.00		0	0.00		4	40.00		10	
		TOTAL		5	0.46		268	24.66		27	2.48		54	4.97					55	5.06		70	6.44		326	29.99		282	25.94		1087	
	THIRD				Excluded		2	40.00		0	0.00		1	20.00					0	0.00		1	20.00		0	0.00		1	20.00		5	
		TOTAL					270	24.84		27	2.48		55	5.06					55	5.06		71	6.53		326	29.99		283	26.03		1087	
	FOURTH						8	14.55		1	1.82			Excluded					37	67.27		4	7.27		0	0.00		5	9.09		55	
		TOTAL					278	25.57		28	2.58								92	8.46		75	6.90		326	29.99		288	26.49		1087	
	FIFTH						3	10.71			Excluded								1	3.57		3	10.71		3	10.71		18	64.29		28	
		TOTAL					281	25.85											93	8.56		78	7.18		329	30.27		306	28.15		1087	
	SIXTH						56	60.22												Excluded		8	8.60		3	3.23		26	27.96		93	
		TOTAL					337	31.00														86	7.91		332	30.54		332	30.54		1087	
	SEVENTH						73	21.99														156	46.99		103	31.02			Excluded		332	
		TOTAL					410	37.72														242	22.26		435	40.02					1087	
	EIGHTH						55	22.73															Excluded		187	77.27					242	
		TOTAL					465	42.78																	622	57.22					1087	
																									Elected							
																																
Yarrawonga                                                     																																
	FIRST			8	0.57		501	35.56		53	3.76		25	1.77		5	0.35		22	1.56		193	13.70		575	40.81		27	1.92		1409	
	SECOND			0	0.00		1	20.00		1	20.00		0	0.00			Excluded		0	0.00		2	40.00		1	20.00		0	0.00		5	
		TOTAL		8	0.57		502	35.63		54	3.83		25	1.77					22	1.56		195	13.84		576	40.88		27	1.92		1409	
	THIRD				Excluded		6	75.00		2	25.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		8	
		TOTAL					508	36.05		56	3.97		25	1.77					22	1.56		195	13.84		576	40.88		27	1.92		1409	
	FOURTH						6	24.00		4	16.00			Excluded					9	36.00		3	12.00		1	4.00		2	8.00		25	
		TOTAL					514	36.48		60	4.26								31	2.20		198	14.05		577	40.95		29	2.06		1409	
	FIFTH						13	21.67			Excluded								3	5.00		7	11.67		18	30.00		19	31.67		60	
		TOTAL					527	37.40											34	2.41		205	14.55		595	42.23		48	3.41		1409	
	SIXTH						11	32.35												Excluded		5	14.71		5	14.71		13	38.24		34	
		TOTAL					538	38.18														210	14.90		600	42.58		61	4.33		1409	
	SEVENTH						10	16.39														21	34.43		30	49.18			Excluded		61	
		TOTAL					548	38.89														231	16.39		630	44.71					1409	
	EIGHTH						26	11.26															Excluded		205	88.74					231	
		TOTAL					574	40.74																	835	59.26					1409	
																									Elected							
																																
Yarrawonga West                                                																																
	FIRST			19	1.18		461	28.65		32	1.99		26	1.62		6	0.37		38	2.36		232	14.42		756	46.99		39	2.42		1609	
	SECOND			1	16.67		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	16.67		3	50.00		1	16.67		6	
		TOTAL		20	1.24		461	28.65		32	1.99		26	1.62					38	2.36		233	14.48		759	47.17		40	2.49		1609	
	THIRD				Excluded		17	85.00		1	5.00		0	0.00					0	0.00		1	5.00		0	0.00		1	5.00		20	
		TOTAL					478	29.71		33	2.05		26	1.62					38	2.36		234	14.54		759	47.17		41	2.55		1609	
	FOURTH						5	19.23		3	11.54			Excluded					11	42.31		2	7.69		1	3.85		4	15.38		26	
		TOTAL					483	30.02		36	2.24								49	3.05		236	14.67		760	47.23		45	2.80		1609	
	FIFTH						8	22.22			Excluded								2	5.56		7	19.44		9	25.00		10	27.78		36	
		TOTAL					491	30.52											51	3.17		243	15.10		769	47.79		55	3.42		1609	
	SIXTH						27	52.94												Excluded		6	11.76		4	7.84		14	27.45		51	
		TOTAL					518	32.19														249	15.48		773	48.04		69	4.29		1609	
	SEVENTH						22	31.88														30	43.48		17	24.64			Excluded		69	
		TOTAL					540	33.56														279	17.34		790	49.10					1609	
	EIGHTH						19	6.81															Excluded		260	93.19					279	
		TOTAL					559	34.74																	1050	65.26					1609	
																									Elected							
																																
Yarrunga                                                       																																
	FIRST			52	1.56		1166	34.95		147	4.41		157	4.71		41	1.23		83	2.49		372	11.15		1156	34.65		162	4.86		3336	
	SECOND			1	2.44		3	7.32		0	0.00		4	9.76			Excluded		4	9.76		4	9.76		6	14.63		19	46.34		41	
		TOTAL		53	1.59		1169	35.04		147	4.41		161	4.83					87	2.61		376	11.27		1162	34.83		181	5.43		3336	
	THIRD				Excluded		32	60.38		10	18.87		3	5.66					3	5.66		0	0.00		3	5.66		2	3.77		53	
		TOTAL					1201	36.00		157	4.71		164	4.92					90	2.70		376	11.27		1165	34.92		183	5.49		3336	
	FOURTH						27	16.46		7	4.27			Excluded					84	51.22		14	8.54		20	12.20		12	7.32		164	
		TOTAL					1228	36.81		164	4.92								174	5.22		390	11.69		1185	35.52		195	5.85		3336	
	FIFTH						47	28.66			Excluded								21	12.80		21	12.80		26	15.85		49	29.88		164	
		TOTAL					1275	38.22											195	5.85		411	12.32		1211	36.30		244	7.31		3336	
	SIXTH						65	33.33												Excluded		29	14.87		11	5.64		90	46.15		195	
		TOTAL					1340	40.17														440	13.19		1222	36.63		334	10.01		3336	
	SEVENTH						81	24.25														185	55.39		68	20.36			Excluded		334	
		TOTAL					1421	42.60														625	18.74		1290	38.67					3336	
	EIGHTH						137	21.92															Excluded		488	78.08					625	
		TOTAL					1558	46.70																	1778	53.30					3336	
																									Elected							
																																
Special Hospital Team 1                                        																																
	FIRST			4	1.93		48	23.19		4	1.93		0	0.00		0	0.00		0	0.00		38	18.36		112	54.11		1	0.48		207	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	1.93		48	23.19		4	1.93		0	0.00					0	0.00		38	18.36		112	54.11		1	0.48		207	
	THIRD				Excluded		4	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL					52	25.12		4	1.93		0	0.00					0	0.00		38	18.36		112	54.11		1	0.48		207	
	FOURTH						0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					52	25.12		4	1.93								0	0.00		38	18.36		112	54.11		1	0.48		207	
	FIFTH						1	25.00			Excluded								0	0.00		0	0.00		1	25.00		2	50.00		4	
		TOTAL					53	25.60											0	0.00		38	18.36		113	54.59		3	1.45		207	
	SIXTH						0	0.00												Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL					53	25.60														38	18.36		113	54.59		3	1.45		207	
	SEVENTH						1	33.33														1	33.33		1	33.33			Excluded		3	
		TOTAL					54	26.09														39	18.84		114	55.07					207	
	EIGHTH						4	10.26															Excluded		35	89.74					39	
		TOTAL					58	28.02																	149	71.98					207	
																									Elected							
																																
ABSENT																																
	FIRST			65	1.81		906	25.22		110	3.06		270	7.52		67	1.87		309	8.60		364	10.13		1354	37.69		147	4.09		3592	
	SECOND			1	1.49		7	10.45		11	16.42		5	7.46			Excluded		7	10.45		9	13.43		17	25.37		10	14.93		67	
		TOTAL		66	1.84		913	25.42		121	3.37		275	7.66					316	8.80		373	10.38		1371	38.17		157	4.37		3592	
	THIRD				Excluded		36	54.55		6	9.09		7	10.61					4	6.06		2	3.03		7	10.61		4	6.06		66	
		TOTAL					949	26.42		127	3.54		282	7.85					320	8.91		375	10.44		1378	38.36		161	4.48		3592	
	FOURTH						74	26.24		18	6.38			Excluded					101	35.82		24	8.51		36	12.77		29	10.28		282	
		TOTAL					1023	28.48		145	4.04								421	11.72		399	11.11		1414	39.37		190	5.29		3592	
	FIFTH						38	26.21			Excluded								21	14.48		25	17.24		24	16.55		37	25.52		145	
		TOTAL					1061	29.54											442	12.31		424	11.80		1438	40.03		227	6.32		3592	
	SIXTH						211	47.74												Excluded		42	9.50		53	11.99		136	30.77		442	
		TOTAL					1272	35.41														466	12.97		1491	41.51		363	10.11		3592	
	SEVENTH						128	35.26														133	36.64		102	28.10			Excluded		363	
		TOTAL					1400	38.98														599	16.68		1593	44.35					3592	
	EIGHTH						127	21.20															Excluded		472	78.80					599	
		TOTAL					1527	42.51																	2065	57.49					3592	
																									Elected							
																																
POSTAL																																
	FIRST			18	0.65		618	22.43		144	5.23		97	3.52		25	0.91		65	2.36		361	13.10		1303	47.30		124	4.50		2755	
	SECOND			0	0.00		4	16.00		1	4.00		2	8.00			Excluded		5	20.00		4	16.00		4	16.00		5	20.00		25	
		TOTAL		18	0.65		622	22.58		145	5.26		99	3.59					70	2.54		365	13.25		1307	47.44		129	4.68		2755	
	THIRD				Excluded		11	61.11		0	0.00		0	0.00					1	5.56		1	5.56		0	0.00		5	27.78		18	
		TOTAL					633	22.98		145	5.26		99	3.59					71	2.58		366	13.28		1307	47.44		134	4.86		2755	
	FOURTH						25	25.25		6	6.06			Excluded					27	27.27		12	12.12		9	9.09		20	20.20		99	
		TOTAL					658	23.88		151	5.48								98	3.56		378	13.72		1316	47.77		154	5.59		2755	
	FIFTH						33	21.85			Excluded								14	9.27		21	13.91		28	18.54		55	36.42		151	
		TOTAL					691	25.08											112	4.07		399	14.48		1344	48.78		209	7.59		2755	
	SIXTH						43	38.39												Excluded		17	15.18		12	10.71		40	35.71		112	
		TOTAL					734	26.64														416	15.10		1356	49.22		249	9.04		2755	
	SEVENTH						78	31.33														95	38.15		76	30.52			Excluded		249	
		TOTAL					812	29.47														511	18.55		1432	51.98					2755	
	EIGHTH						94	18.40															Excluded		417	81.60					511	
		TOTAL					906	32.89																	1849	67.11					2755	
																									Elected							
																																
PRE POLL																																
	FIRST			81	1.23		1823	27.60		308	4.66		221	3.35		77	1.17		235	3.56		823	12.46		2656	40.21		381	5.77		6605	
	SECOND			2	2.60		10	12.99		4	5.19		3	3.90			Excluded		6	7.79		16	20.78		19	24.68		17	22.08		77	
		TOTAL		83	1.26		1833	27.75		312	4.72		224	3.39					241	3.65		839	12.70		2675	40.50		398	6.03		6605	
	THIRD				Excluded		45	54.22		8	9.64		7	8.43					5	6.02		2	2.41		3	3.61		13	15.66		83	
		TOTAL					1878	28.43		320	4.84		231	3.50					246	3.72		841	12.73		2678	40.55		411	6.22		6605	
	FOURTH						72	31.17		20	8.66			Excluded					72	31.17		21	9.09		27	11.69		19	8.23		231	
		TOTAL					1950	29.52		340	5.15								318	4.81		862	13.05		2705	40.95		430	6.51		6605	
	FIFTH						84	24.71			Excluded								40	11.76		44	12.94		66	19.41		106	31.18		340	
		TOTAL					2034	30.79											358	5.42		906	13.72		2771	41.95		536	8.12		6605	
	SIXTH						161	44.97												Excluded		57	15.92		34	9.50		106	29.61		358	
		TOTAL					2195	33.23														963	14.58		2805	42.47		642	9.72		6605	
	SEVENTH						226	35.20														264	41.12		152	23.68			Excluded		642	
		TOTAL					2421	36.65														1227	18.58		2957	44.77					6605	
	EIGHTH						199	16.22															Excluded		1028	83.78					1227	
		TOTAL					2620	39.67																	3985	60.33					6605	
																									Elected							
																																
PROVISIONAL																																
	FIRST			11	3.23		108	31.67		20	5.87		12	3.52		3	0.88		15	4.40		35	10.26		114	33.43		23	6.74		341	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		2	66.67		3	
		TOTAL		11	3.23		108	31.67		20	5.87		13	3.81					15	4.40		35	10.26		114	33.43		25	7.33		341	
	THIRD				Excluded		2	18.18		5	45.45		2	18.18					1	9.09		0	0.00		0	0.00		1	9.09		11	
		TOTAL					110	32.26		25	7.33		15	4.40					16	4.69		35	10.26		114	33.43		26	7.62		341	
	FOURTH						5	33.33		1	6.67			Excluded					4	26.67		0	0.00		4	26.67		1	6.67		15	
		TOTAL					115	33.72		26	7.62								20	5.87		35	10.26		118	34.60		27	7.92		341	
	FIFTH						12	46.15			Excluded								1	3.85		4	15.38		5	19.23		4	15.38		26	
		TOTAL					127	37.24											21	6.16		39	11.44		123	36.07		31	9.09		341	
	SIXTH						10	47.62												Excluded		2	9.52		1	4.76		8	38.10		21	
		TOTAL					137	40.18														41	12.02		124	36.36		39	11.44		341	
	SEVENTH						16	41.03														13	33.33		10	25.64			Excluded		39	
		TOTAL					153	44.87														54	15.84		134	39.30					341	
	EIGHTH						18	33.33															Excluded		36	66.67					54	
		TOTAL					171	50.15																	170	49.85					341	
																									Elected							
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
