House of Representatives - 2001 Election: Victoria																																									
Distribution of Preferences																																									
By Polling Place																																									
Gippsland																																									
				JAGO			FRESHWATER			MCCUBBIN			EVANS			BUCKLEY			THORPE			WILLIAMS			BOLITHO			TREASURE			MCGAURAN			ROBINSON			AITKEN				
	NINTH							Excluded																	1	14.29		4	57.14		2	28.57					0	0.00		7	
		TOTAL																							8	13.56		6	10.17		30	50.85					15	25.42		59	
	TENTH																								7	46.67		8	53.33		0	0.00						Excluded		15	
		TOTAL																							15	25.42		14	23.73		30	50.85								59	
	ELEVENTH																								8	57.14			Excluded		6	42.86								14	
		TOTAL																							23	38.98					36	61.02								59	
																															Elected										
																																									
Briagolong                                                     																																									
	FIRST			11	2.17		24	4.73		32	6.31		4	0.79		15	2.96		1	0.20		1	0.20		120	23.67		50	9.86		182	35.90		2	0.39		65	12.82		507	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		11	2.17		24	4.73		32	6.31		4	0.79		15	2.96		1	0.20					120	23.67		50	9.86		182	35.90		2	0.39		66	13.02		507	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		11	2.17		24	4.73		32	6.31		4	0.79		17	3.35		1	0.20					120	23.67		50	9.86		182	35.90					66	13.02		507	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		11	2.17		24	4.73		32	6.31		4	0.79		17	3.35								121	23.87		50	9.86		182	35.90					66	13.02		507	
	FIFTH			4	23.53		1	5.88		2	11.76		2	11.76			Excluded								0	0.00		5	29.41		2	11.76					1	5.88		17	
		TOTAL		15	2.96		25	4.93		34	6.71		6	1.18											121	23.87		55	10.85		184	36.29					67	13.21		507	
	SIXTH			1	16.67		0	0.00		0	0.00			Excluded											0	0.00		4	66.67		0	0.00					1	16.67		6	
		TOTAL		16	3.16		25	4.93		34	6.71														121	23.87		59	11.64		184	36.29					68	13.41		507	
	SEVENTH				Excluded		5	31.25		4	25.00														2	12.50		4	25.00		1	6.25					0	0.00		16	
		TOTAL					30	5.92		38	7.50														123	24.26		63	12.43		185	36.49					68	13.41		507	
	EIGHTH						7	18.42			Excluded														7	18.42		7	18.42		3	7.89					14	36.84		38	
		TOTAL					37	7.30																	130	25.64		70	13.81		188	37.08					82	16.17		507	
	NINTH							Excluded																	12	32.43		11	29.73		8	21.62					6	16.22		37	
		TOTAL																							142	28.01		81	15.98		196	38.66					88	17.36		507	
	TENTH																								60	68.18		17	19.32		11	12.50						Excluded		88	
		TOTAL																							202	39.84		98	19.33		207	40.83								507	
	ELEVENTH																								51	52.04			Excluded		47	47.96								98	
		TOTAL																							253	49.90					254	50.10								507	
																															Elected										
																																									
Bruthen                                                        																																									
	FIRST			4	0.57		56	7.95		21	2.98		31	4.40		31	4.40		17	2.41		2	0.28		204	28.98		41	5.82		233	33.10		12	1.70		52	7.39		704	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL		4	0.57		56	7.95		21	2.98		31	4.40		32	4.55		17	2.41					204	28.98		41	5.82		233	33.10		12	1.70		53	7.53		704	
	THIRD			5	41.67		1	8.33		0	0.00		0	0.00		3	25.00		1	8.33					0	0.00		0	0.00		1	8.33			Excluded		1	8.33		12	
		TOTAL		9	1.28		57	8.10		21	2.98		31	4.40		35	4.97		18	2.56					204	28.98		41	5.82		234	33.24					54	7.67		704	
	FOURTH			6	33.33		1	5.56		0	0.00		0	0.00		3	16.67			Excluded					4	22.22		1	5.56		2	11.11					1	5.56		18	
		TOTAL		15	2.13		58	8.24		21	2.98		31	4.40		38	5.40								208	29.55		42	5.97		236	33.52					55	7.81		704	
	FIFTH			7	18.42		2	5.26		2	5.26		6	15.79			Excluded								5	13.16		8	21.05		7	18.42					1	2.63		38	
		TOTAL		22	3.13		60	8.52		23	3.27		37	5.26											213	30.26		50	7.10		243	34.52					56	7.95		704	
	SIXTH			4	10.81		1	2.70		5	13.51			Excluded											6	16.22		13	35.14		4	10.81					4	10.81		37	
		TOTAL		26	3.69		61	8.66		28	3.98														219	31.11		63	8.95		247	35.09					60	8.52		704	
	SEVENTH				Excluded		5	19.23		5	19.23														2	7.69		10	38.46		0	0.00					4	15.38		26	
		TOTAL					66	9.38		33	4.69														221	31.39		73	10.37		247	35.09					64	9.09		704	
	EIGHTH						6	18.18			Excluded														8	24.24		8	24.24		4	12.12					7	21.21		33	
		TOTAL					72	10.23																	229	32.53		81	11.51		251	35.65					71	10.09		704	
	NINTH							Excluded																	18	25.00		45	62.50		5	6.94					4	5.56		72	
		TOTAL																							247	35.09		126	17.90		256	36.36					75	10.65		704	
	TENTH																								44	58.67		20	26.67		11	14.67						Excluded		75	
		TOTAL																							291	41.34		146	20.74		267	37.93								704	
	ELEVENTH																								86	58.90			Excluded		60	41.10								146	
		TOTAL																							377	53.55					327	46.45								704	
																															Elected										
																																									
Buchan                                                         																																									
	FIRST			2	0.85		13	5.56		7	2.99		5	2.14		4	1.71		7	2.99		0	0.00		84	35.90		15	6.41		88	37.61		0	0.00		9	3.85		234	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	0.85		13	5.56		7	2.99		5	2.14		4	1.71		7	2.99					84	35.90		15	6.41		88	37.61		0	0.00		9	3.85		234	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	0.85		13	5.56		7	2.99		5	2.14		4	1.71		7	2.99					84	35.90		15	6.41		88	37.61					9	3.85		234	
	FOURTH			2	28.57		0	0.00		0	0.00		0	0.00		2	28.57			Excluded					0	0.00		0	0.00		2	28.57					1	14.29		7	
		TOTAL		4	1.71		13	5.56		7	2.99		5	2.14		6	2.56								84	35.90		15	6.41		90	38.46					10	4.27		234	
	FIFTH			0	0.00		2	33.33		0	0.00		2	33.33			Excluded								1	16.67		1	16.67		0	0.00					0	0.00		6	
		TOTAL		4	1.71		15	6.41		7	2.99		7	2.99											85	36.32		16	6.84		90	38.46					10	4.27		234	
	SIXTH			2	28.57		2	28.57		0	0.00			Excluded											0	0.00		3	42.86		0	0.00					0	0.00		7	
		TOTAL		6	2.56		17	7.26		7	2.99														85	36.32		19	8.12		90	38.46					10	4.27		234	
	SEVENTH				Excluded		0	0.00		0	0.00														1	16.67		3	50.00		0	0.00					2	33.33		6	
		TOTAL					17	7.26		7	2.99														86	36.75		22	9.40		90	38.46					12	5.13		234	
	EIGHTH						0	0.00			Excluded														5	71.43		0	0.00		1	14.29					1	14.29		7	
		TOTAL					17	7.26																	91	38.89		22	9.40		91	38.89					13	5.56		234	
	NINTH							Excluded																	1	5.88		12	70.59		3	17.65					1	5.88		17	
		TOTAL																							92	39.32		34	14.53		94	40.17					14	5.98		234	
	TENTH																								5	35.71		8	57.14		1	7.14						Excluded		14	
		TOTAL																							97	41.45		42	17.95		95	40.60								234	
	ELEVENTH																								15	35.71			Excluded		27	64.29								42	
		TOTAL																							112	47.86					122	52.14								234	
																															Elected										
																																									
Bundalaguah                                                    																																									
	FIRST			8	2.90		12	4.35		16	5.80		6	2.17		3	1.09		2	0.72		1	0.36		43	15.58		26	9.42		154	55.80		0	0.00		5	1.81		276	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		8	2.90		12	4.35		16	5.80		7	2.54		3	1.09		2	0.72					43	15.58		26	9.42		154	55.80		0	0.00		5	1.81		276	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		8	2.90		12	4.35		16	5.80		7	2.54		3	1.09		2	0.72					43	15.58		26	9.42		154	55.80					5	1.81		276	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		8	2.90		12	4.35		16	5.80		7	2.54		5	1.81								43	15.58		26	9.42		154	55.80					5	1.81		276	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded								1	20.00		1	20.00		2	40.00					1	20.00		5	
		TOTAL		8	2.90		12	4.35		16	5.80		7	2.54											44	15.94		27	9.78		156	56.52					6	2.17		276	
	SIXTH			0	0.00		0	0.00		1	14.29			Excluded											1	14.29		4	57.14		0	0.00					1	14.29		7	
		TOTAL		8	2.90		12	4.35		17	6.16														45	16.30		31	11.23		156	56.52					7	2.54		276	
	SEVENTH				Excluded		1	12.50		3	37.50														1	12.50		2	25.00		0	0.00					1	12.50		8	
		TOTAL					13	4.71		20	7.25														46	16.67		33	11.96		156	56.52					8	2.90		276	
	EIGHTH						0	0.00			Excluded														4	20.00		5	25.00		4	20.00					7	35.00		20	
		TOTAL					13	4.71																	50	18.12		38	13.77		160	57.97					15	5.43		276	
	NINTH							Excluded																	2	15.38		9	69.23		2	15.38					0	0.00		13	
		TOTAL																							52	18.84		47	17.03		162	58.70					15	5.43		276	
	TENTH																								4	26.67		5	33.33		6	40.00						Excluded		15	
		TOTAL																							56	20.29		52	18.84		168	60.87								276	
	ELEVENTH																								17	32.69			Excluded		35	67.31								52	
		TOTAL																							73	26.45					203	73.55								276	
																															Elected										
																																									
Cann River                                                     																																									
	FIRST			6	2.58		12	5.15		4	1.72		9	3.86		12	5.15		3	1.29		0	0.00		55	23.61		18	7.73		100	42.92		2	0.86		12	5.15		233	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		6	2.58		12	5.15		4	1.72		9	3.86		12	5.15		3	1.29					55	23.61		18	7.73		100	42.92		2	0.86		12	5.15		233	
	THIRD			0	0.00		0	0.00		0	0.00		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		6	2.58		12	5.15		4	1.72		11	4.72		12	5.15		3	1.29					55	23.61		18	7.73		100	42.92					12	5.15		233	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		2	66.67			Excluded					0	0.00		1	33.33		0	0.00					0	0.00		3	
		TOTAL		6	2.58		12	5.15		4	1.72		11	4.72		14	6.01								55	23.61		19	8.15		100	42.92					12	5.15		233	
	FIFTH			0	0.00		1	7.14		0	0.00		3	21.43			Excluded								0	0.00		7	50.00		3	21.43					0	0.00		14	
		TOTAL		6	2.58		13	5.58		4	1.72		14	6.01											55	23.61		26	11.16		103	44.21					12	5.15		233	
	SIXTH			0	0.00		3	21.43		4	28.57			Excluded											1	7.14		4	28.57		1	7.14					1	7.14		14	
		TOTAL		6	2.58		16	6.87		8	3.43														56	24.03		30	12.88		104	44.64					13	5.58		233	
	SEVENTH				Excluded		2	33.33		1	16.67														1	16.67		1	16.67		1	16.67					0	0.00		6	
		TOTAL					18	7.73		9	3.86														57	24.46		31	13.30		105	45.06					13	5.58		233	
	EIGHTH						2	22.22			Excluded														3	33.33		2	22.22		1	11.11					1	11.11		9	
		TOTAL					20	8.58																	60	25.75		33	14.16		106	45.49					14	6.01		233	
	NINTH							Excluded																	7	35.00		10	50.00		1	5.00					2	10.00		20	
		TOTAL																							67	28.76		43	18.45		107	45.92					16	6.87		233	
	TENTH																								7	43.75		8	50.00		1	6.25						Excluded		16	
		TOTAL																							74	31.76		51	21.89		108	46.35								233	
	ELEVENTH																								28	54.90			Excluded		23	45.10								51	
		TOTAL																							102	43.78					131	56.22								233	
																															Elected										
																																									
Cape Paterson                                                  																																									
	FIRST			4	0.96		8	1.91		20	4.78		7	1.67		3	0.72		1	0.24		0	0.00		179	42.82		14	3.35		127	30.38		0	0.00		55	13.16		418	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	0.96		8	1.91		20	4.78		7	1.67		3	0.72		1	0.24					179	42.82		14	3.35		127	30.38		0	0.00		55	13.16		418	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	0.96		8	1.91		20	4.78		7	1.67		3	0.72		1	0.24					179	42.82		14	3.35		127	30.38					55	13.16		418	
	FOURTH			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		4	0.96		8	1.91		21	5.02		7	1.67		3	0.72								179	42.82		14	3.35		127	30.38					55	13.16		418	
	FIFTH			0	0.00		0	0.00		0	0.00		2	66.67			Excluded								0	0.00		0	0.00		1	33.33					0	0.00		3	
		TOTAL		4	0.96		8	1.91		21	5.02		9	2.15											179	42.82		14	3.35		128	30.62					55	13.16		418	
	SIXTH			3	33.33		0	0.00		0	0.00			Excluded											0	0.00		5	55.56		0	0.00					1	11.11		9	
		TOTAL		7	1.67		8	1.91		21	5.02														179	42.82		19	4.55		128	30.62					56	13.40		418	
	SEVENTH				Excluded		2	28.57		0	0.00														1	14.29		4	57.14		0	0.00					0	0.00		7	
		TOTAL					10	2.39		21	5.02														180	43.06		23	5.50		128	30.62					56	13.40		418	
	EIGHTH						2	9.52			Excluded														6	28.57		3	14.29		0	0.00					10	47.62		21	
		TOTAL					12	2.87																	186	44.50		26	6.22		128	30.62					66	15.79		418	
	NINTH							Excluded																	2	16.67		4	33.33		2	16.67					4	33.33		12	
		TOTAL																							188	44.98		30	7.18		130	31.10					70	16.75		418	
	TENTH																								46	65.71		10	14.29		14	20.00						Excluded		70	
		TOTAL																							234	55.98		40	9.57		144	34.45								418	
	ELEVENTH																								24	60.00			Excluded		16	40.00								40	
		TOTAL																							258	61.72					160	38.28								418	
																															Elected										
																																									
Carrajung South                                                																																									
	FIRST			2	1.71		6	5.13		6	5.13		0	0.00		3	2.56		1	0.85		0	0.00		20	17.09		17	14.53		48	41.03		0	0.00		14	11.97		117	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	1.71		6	5.13		6	5.13		0	0.00		3	2.56		1	0.85					20	17.09		17	14.53		48	41.03		0	0.00		14	11.97		117	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.71		6	5.13		6	5.13		0	0.00		3	2.56		1	0.85					20	17.09		17	14.53		48	41.03					14	11.97		117	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		2	1.71		6	5.13		6	5.13		0	0.00		4	3.42								20	17.09		17	14.53		48	41.03					14	11.97		117	
	FIFTH			0	0.00		0	0.00		1	25.00		0	0.00			Excluded								1	25.00		1	25.00		0	0.00					1	25.00		4	
		TOTAL		2	1.71		6	5.13		7	5.98		0	0.00											21	17.95		18	15.38		48	41.03					15	12.82		117	
	SIXTH			0	0.00		0	0.00		0	0.00			Excluded											0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	1.71		6	5.13		7	5.98														21	17.95		18	15.38		48	41.03					15	12.82		117	
	SEVENTH				Excluded		0	0.00		0	0.00														0	0.00		2	100.00		0	0.00					0	0.00		2	
		TOTAL					6	5.13		7	5.98														21	17.95		20	17.09		48	41.03					15	12.82		117	
	EIGHTH						1	14.29			Excluded														2	28.57		0	0.00		0	0.00					4	57.14		7	
		TOTAL					7	5.98																	23	19.66		20	17.09		48	41.03					19	16.24		117	
	NINTH							Excluded																	1	14.29		3	42.86		1	14.29					2	28.57		7	
		TOTAL																							24	20.51		23	19.66		49	41.88					21	17.95		117	
	TENTH																								10	47.62		7	33.33		4	19.05						Excluded		21	
		TOTAL																							34	29.06		30	25.64		53	45.30								117	
	ELEVENTH																								13	43.33			Excluded		17	56.67								30	
		TOTAL																							47	40.17					70	59.83								117	
																															Elected										
																																									
Cobains                                                        																																									
	FIRST			5	2.44		7	3.41		5	2.44		7	3.41		9	4.39		1	0.49		0	0.00		20	9.76		39	19.02		111	54.15		0	0.00		1	0.49		205	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		5	2.44		7	3.41		5	2.44		7	3.41		9	4.39		1	0.49					20	9.76		39	19.02		111	54.15		0	0.00		1	0.49		205	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	2.44		7	3.41		5	2.44		7	3.41		9	4.39		1	0.49					20	9.76		39	19.02		111	54.15					1	0.49		205	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		5	2.44		7	3.41		5	2.44		7	3.41		9	4.39								20	9.76		40	19.51		111	54.15					1	0.49		205	
	FIFTH			1	11.11		1	11.11		2	22.22		0	0.00			Excluded								1	11.11		0	0.00		4	44.44					0	0.00		9	
		TOTAL		6	2.93		8	3.90		7	3.41		7	3.41											21	10.24		40	19.51		115	56.10					1	0.49		205	
	SIXTH			1	14.29		0	0.00		0	0.00			Excluded											1	14.29		4	57.14		1	14.29					0	0.00		7	
		TOTAL		7	3.41		8	3.90		7	3.41														22	10.73		44	21.46		116	56.59					1	0.49		205	
	SEVENTH				Excluded		1	14.29		1	14.29														0	0.00		4	57.14		0	0.00					1	14.29		7	
		TOTAL					9	4.39		8	3.90														22	10.73		48	23.41		116	56.59					2	0.98		205	
	EIGHTH						1	12.50			Excluded														2	25.00		2	25.00		1	12.50					2	25.00		8	
		TOTAL					10	4.88																	24	11.71		50	24.39		117	57.07					4	1.95		205	
	NINTH							Excluded																	3	30.00		5	50.00		1	10.00					1	10.00		10	
		TOTAL																							27	13.17		55	26.83		118	57.56					5	2.44		205	
	TENTH																								2	40.00		2	40.00		1	20.00						Excluded		5	
		TOTAL																							29	14.15		57	27.80		119	58.05								205	
	ELEVENTH																								26	45.61			Excluded		31	54.39								57	
		TOTAL																							55	26.83					150	73.17								205	
																															Elected										
																																									
Coongulla                                                      																																									
	FIRST			3	2.73		7	6.36		4	3.64		2	1.82		2	1.82		1	0.91		0	0.00		39	35.45		8	7.27		40	36.36		0	0.00		4	3.64		110	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	2.73		7	6.36		4	3.64		2	1.82		2	1.82		1	0.91					39	35.45		8	7.27		40	36.36		0	0.00		4	3.64		110	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	2.73		7	6.36		4	3.64		2	1.82		2	1.82		1	0.91					39	35.45		8	7.27		40	36.36					4	3.64		110	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		4	3.64		7	6.36		4	3.64		2	1.82		2	1.82								39	35.45		8	7.27		40	36.36					4	3.64		110	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded								0	0.00		2	100.00		0	0.00					0	0.00		2	
		TOTAL		4	3.64		7	6.36		4	3.64		2	1.82											39	35.45		10	9.09		40	36.36					4	3.64		110	
	SIXTH			0	0.00		1	50.00		0	0.00			Excluded											1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		4	3.64		8	7.27		4	3.64														40	36.36		10	9.09		40	36.36					4	3.64		110	
	SEVENTH				Excluded		2	50.00		1	25.00														0	0.00		1	25.00		0	0.00					0	0.00		4	
		TOTAL					10	9.09		5	4.55														40	36.36		11	10.00		40	36.36					4	3.64		110	
	EIGHTH						2	40.00			Excluded														0	0.00		1	20.00		1	20.00					1	20.00		5	
		TOTAL					12	10.91																	40	36.36		12	10.91		41	37.27					5	4.55		110	
