Senate - 1993 Election: Queensland																																														
First Preference Votes by Group																																														
By Polling Place																																														


Bowman (75360)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Archer Park		                                	9	2.05	 	72	16.44	 	72	16.44	 	0	0	 	2	0.46	 	9	2.05	 	227	51.83	 	1	0.23	 	4	0.91	 	3	0.68	 	39	8.9	 	0	0	 	438	97.33	 	12	2.67	 	450	0.58
Bajool		                                     	11	5.5	 	57	28.5	 	41	20.5	 	1	0.5	 	0	0	 	9	4.5	 	72	36	 	0	0	 	2	1	 	0	0	 	5	2.5	 	2	1	 	200	99.5	 	1	0.5	 	201	0.26
Baralaba		                                   	21	7	 	137	45.67	 	52	17.33	 	1	0.33	 	1	0.33	 	2	0.67	 	74	24.67	 	0	0	 	0	0	 	0	0	 	11	3.67	 	1	0.33	 	300	97.72	 	7	2.28	 	307	0.4
Baree		                                      	8	2.35	 	39	11.47	 	38	11.18	 	0	0	 	2	0.59	 	4	1.18	 	226	66.47	 	0	0	 	1	0.29	 	0	0	 	22	6.47	 	0	0	 	340	96.05	 	14	3.95	 	354	0.46
Bauhinia Downs		                             	4	2.68	 	113	75.84	 	14	9.4	 	7	4.7	 	0	0	 	1	0.67	 	7	4.7	 	0	0	 	1	0.67	 	0	0	 	2	1.34	 	0	0	 	149	98.68	 	2	1.32	 	151	0.19
Berserker		                                  	62	2.13	 	406	13.94	 	520	17.85	 	24	0.82	 	9	0.31	 	68	2.33	 	1580	54.24	 	8	0.27	 	22	0.76	 	10	0.34	 	198	6.8	 	6	0.21	 	2913	98.28	 	51	1.72	 	2964	3.82
Blackwater		                                 	31	1.7	 	251	13.79	 	264	14.51	 	9	0.49	 	6	0.33	 	39	2.14	 	1116	61.32	 	3	0.16	 	5	0.27	 	5	0.27	 	81	4.45	 	10	0.55	 	1820	98.27	 	32	1.73	 	1852	2.39
Blackwater Central		                         	34	3.32	 	81	7.92	 	142	13.88	 	4	0.39	 	1	0.1	 	12	1.17	 	682	66.67	 	1	0.1	 	1	0.1	 	3	0.29	 	60	5.87	 	2	0.2	 	1023	98.84	 	12	1.16	 	1035	1.33
Bluff		                                      	4	1.61	 	57	22.89	 	19	7.63	 	0	0	 	0	0	 	4	1.61	 	156	62.65	 	0	0	 	0	0	 	0	0	 	9	3.61	 	0	0	 	249	99.6	 	1	0.4	 	250	0.32
Bouldercombe		                               	26	5.99	 	84	19.35	 	93	21.43	 	1	0.23	 	1	0.23	 	17	3.92	 	166	38.25	 	1	0.23	 	2	0.46	 	2	0.46	 	41	9.45	 	0	0	 	434	99.09	 	4	0.91	 	438	0.56
Brisbane City (Capricornia)		                	3	3.66	 	20	24.39	 	22	26.83	 	0	0	 	0	0	 	3	3.66	 	28	34.15	 	0	0	 	1	1.22	 	0	0	 	4	4.88	 	1	1.22	 	82	100	 	0	0	 	82	0.11
Burnett Street		                             	11	2.15	 	88	17.22	 	102	19.96	 	7	1.37	 	0	0	 	13	2.54	 	241	47.16	 	1	0.2	 	7	1.37	 	2	0.39	 	39	7.63	 	0	0	 	511	97.71	 	12	2.29	 	523	0.67
Capella		                                    	40	5.87	 	289	42.38	 	118	17.3	 	4	0.59	 	1	0.15	 	18	2.64	 	179	26.25	 	1	0.15	 	2	0.29	 	0	0	 	30	4.4	 	0	0	 	682	97.85	 	15	2.15	 	697	0.9
Cawarral		                                   	19	3.44	 	143	25.91	 	101	18.3	 	4	0.72	 	0	0	 	23	4.17	 	212	38.41	 	0	0	 	1	0.18	 	0	0	 	49	8.88	 	0	0	 	552	99.46	 	3	0.54	 	555	0.72
Clarke Creek		                               	2	3.77	 	29	54.72	 	21	39.62	 	0	0	 	0	0	 	0	0	 	1	1.89	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	53	98.15	 	1	1.85	 	54	0.07
Clermont		                                   	9	5.08	 	34	19.21	 	21	11.86	 	1	0.56	 	0	0	 	2	1.13	 	103	58.19	 	1	0.56	 	2	1.13	 	1	0.56	 	3	1.69	 	0	0	 	177	99.44	 	1	0.56	 	178	0.23
Clermont Central		                           	64	6.25	 	386	37.7	 	116	11.33	 	4	0.39	 	2	0.2	 	10	0.98	 	394	38.48	 	2	0.2	 	2	0.2	 	1	0.1	 	41	4	 	2	0.2	 	1024	97.9	 	22	2.1	 	1046	1.35
Clermont Hospital		                          	26	5.04	 	199	38.57	 	41	7.95	 	4	0.78	 	1	0.19	 	5	0.97	 	216	41.86	 	1	0.19	 	1	0.19	 	0	0	 	22	4.26	 	0	0	 	516	95.91	 	22	4.09	 	538	0.69
Cooee Bay		                                  	63	3.96	 	331	20.79	 	463	29.08	 	9	0.57	 	2	0.13	 	71	4.46	 	538	33.79	 	4	0.25	 	3	0.19	 	0	0	 	107	6.72	 	1	0.06	 	1592	98.7	 	21	1.3	 	1613	2.08
Crescent Lagoon		                            	25	1.98	 	198	15.69	 	239	18.94	 	8	0.63	 	2	0.16	 	38	3.01	 	619	49.05	 	6	0.48	 	7	0.55	 	0	0	 	118	9.35	 	2	0.16	 	1262	97.75	 	29	2.25	 	1291	1.67
Depot Hill		                                 	13	1.85	 	40	5.7	 	90	12.82	 	3	0.43	 	3	0.43	 	20	2.85	 	486	69.23	 	3	0.43	 	2	0.28	 	2	0.28	 	39	5.56	 	1	0.14	 	702	97.64	 	17	2.36	 	719	0.93
Dingo		                                      	3	1.32	 	108	47.37	 	53	23.25	 	1	0.44	 	0	0	 	2	0.88	 	55	24.12	 	0	0	 	0	0	 	0	0	 	5	2.19	 	1	0.44	 	228	98.28	 	4	1.72	 	232	0.3
Duaringa		                                   	11	4.44	 	116	46.77	 	45	18.15	 	0	0	 	1	0.4	 	2	0.81	 	61	24.6	 	0	0	 	2	0.81	 	0	0	 	8	3.23	 	2	0.81	 	248	94.66	 	14	5.34	 	262	0.34
Dululu		                                     	9	7.26	 	85	68.55	 	12	9.68	 	0	0	 	0	0	 	2	1.61	 	11	8.87	 	0	0	 	0	0	 	0	0	 	5	4.03	 	0	0	 	124	99.2	 	1	0.8	 	125	0.16
Dysart		                                     	114	5.95	 	165	8.61	 	235	12.26	 	2	0.1	 	2	0.1	 	35	1.83	 	1251	65.26	 	1	0.05	 	3	0.16	 	2	0.1	 	100	5.22	 	7	0.37	 	1917	98.76	 	24	1.24	 	1941	2.5
Emu Park		                                   	46	2.76	 	328	19.68	 	326	19.56	 	15	0.9	 	3	0.18	 	52	3.12	 	753	45.17	 	1	0.06	 	3	0.18	 	5	0.3	 	133	7.98	 	2	0.12	 	1667	98.41	 	27	1.59	 	1694	2.18
Farnborough		                                	47	5.3	 	215	24.24	 	248	27.96	 	4	0.45	 	0	0	 	46	5.19	 	263	29.65	 	0	0	 	3	0.34	 	0	0	 	59	6.65	 	2	0.23	 	887	97.79	 	20	2.21	 	907	1.17
Frenchville		                                	30	1.46	 	425	20.62	 	556	26.98	 	25	1.21	 	1	0.05	 	50	2.43	 	807	39.16	 	2	0.1	 	1	0.05	 	3	0.15	 	158	7.67	 	3	0.15	 	2061	98.85	 	24	1.15	 	2085	2.69
Glenmore		                                   	81	2.19	 	544	14.74	 	842	22.81	 	21	0.57	 	9	0.24	 	132	3.58	 	1748	47.36	 	9	0.24	 	13	0.35	 	11	0.3	 	280	7.59	 	1	0.03	 	3691	98.51	 	56	1.49	 	3747	4.83
Gogango		                                    	1	1.37	 	55	75.34	 	9	12.33	 	0	0	 	0	0	 	0	0	 	7	9.59	 	0	0	 	0	0	 	0	0	 	1	1.37	 	0	0	 	73	100	 	0	0	 	73	0.09
Gracemere		                                  	48	2.08	 	516	22.41	 	465	20.19	 	20	0.87	 	2	0.09	 	54	2.34	 	998	43.33	 	2	0.09	 	4	0.17	 	4	0.17	 	188	8.16	 	2	0.09	 	2303	98.67	 	31	1.33	 	2334	3.01
Jericho		                                    	2	1.48	 	58	42.96	 	28	20.74	 	1	0.74	 	0	0	 	2	1.48	 	40	29.63	 	1	0.74	 	0	0	 	0	0	 	2	1.48	 	1	0.74	 	135	97.12	 	4	2.88	 	139	0.18
Keppel Sands		                               	17	4.93	 	76	22.03	 	46	13.33	 	2	0.58	 	1	0.29	 	6	1.74	 	175	50.72	 	1	0.29	 	4	1.16	 	0	0	 	17	4.93	 	0	0	 	345	99.14	 	3	0.86	 	348	0.45
Kilcummin		                                  	1	1.08	 	78	83.87	 	12	12.9	 	0	0	 	0	0	 	0	0	 	2	2.15	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	93	100	 	0	0	 	93	0.12
Lakes Creek		                                	25	2.78	 	135	15.03	 	138	15.37	 	5	0.56	 	0	0	 	19	2.12	 	501	55.79	 	0	0	 	4	0.45	 	0	0	 	71	7.91	 	0	0	 	898	98.68	 	12	1.32	 	910	1.17
Marian (St Stanislaus)		                     	13	1.52	 	136	15.91	 	216	25.26	 	13	1.52	 	0	0	 	28	3.27	 	373	43.63	 	1	0.12	 	3	0.35	 	2	0.23	 	69	8.07	 	1	0.12	 	855	98.62	 	12	1.38	 	867	1.12
Marlborough		                                	9	5.59	 	86	53.42	 	33	20.5	 	0	0	 	0	0	 	0	0	 	30	18.63	 	1	0.62	 	0	0	 	0	0	 	2	1.24	 	0	0	 	161	99.38	 	1	0.62	 	162	0.21
Marmor		                                     	6	4.48	 	42	31.34	 	33	24.63	 	1	0.75	 	0	0	 	1	0.75	 	43	32.09	 	0	0	 	1	0.75	 	0	0	 	7	5.22	 	0	0	 	134	100	 	0	0	 	134	0.17
Middlemount		                                	48	3.96	 	146	12.05	 	149	12.29	 	8	0.66	 	1	0.08	 	22	1.82	 	782	64.52	 	1	0.08	 	0	0	 	0	0	 	55	4.54	 	0	0	 	1212	98.7	 	16	1.3	 	1228	1.58
Moranbah		                                   	154	8.11	 	139	7.32	 	181	9.54	 	6	0.32	 	2	0.11	 	31	1.63	 	1304	68.7	 	0	0	 	4	0.21	 	0	0	 	75	3.95	 	2	0.11	 	1898	98.7	 	25	1.3	 	1923	2.48
Moranbah West		                              	121	7.9	 	140	9.14	 	194	12.66	 	12	0.78	 	1	0.07	 	22	1.44	 	970	63.32	 	0	0	 	5	0.33	 	2	0.13	 	64	4.18	 	1	0.07	 	1532	98.58	 	22	1.42	 	1554	2
Mount Archer		                               	32	1.88	 	270	15.86	 	381	22.39	 	14	0.82	 	5	0.29	 	47	2.76	 	784	46.06	 	0	0	 	3	0.18	 	5	0.29	 	158	9.28	 	3	0.18	 	1702	98.78	 	21	1.22	 	1723	2.22
Mount Morgan		                               	39	2.69	 	119	8.22	 	208	14.36	 	6	0.41	 	6	0.41	 	28	1.93	 	923	63.74	 	0	0	 	21	1.45	 	2	0.14	 	92	6.35	 	4	0.28	 	1448	96.99	 	45	3.01	 	1493	1.93
North Rockhampton High School		              	57	1.63	 	569	16.28	 	760	21.74	 	18	0.51	 	5	0.14	 	99	2.83	 	1677	47.97	 	8	0.23	 	11	0.31	 	5	0.14	 	277	7.92	 	10	0.29	 	3496	98.09	 	68	1.91	 	3564	4.6
Ogmore		                                     	5	5.49	 	37	40.66	 	10	10.99	 	2	2.2	 	0	0	 	1	1.1	 	33	36.26	 	0	0	 	1	1.1	 	0	0	 	2	2.2	 	0	0	 	91	100	 	0	0	 	91	0.12
Park Avenue		                                	58	2	 	392	13.55	 	516	17.83	 	25	0.86	 	11	0.38	 	88	3.04	 	1558	53.84	 	6	0.21	 	20	0.69	 	5	0.17	 	214	7.39	 	1	0.03	 	2894	98.37	 	48	1.63	 	2942	3.79
Parkhurst		                                  	26	2.77	 	252	26.84	 	220	23.43	 	7	0.75	 	2	0.21	 	17	1.81	 	341	36.32	 	1	0.11	 	6	0.64	 	2	0.21	 	64	6.82	 	1	0.11	 	939	97.91	 	20	2.09	 	959	1.24
Port Curtis		                                	2	0.73	 	47	17.22	 	52	19.05	 	4	1.47	 	0	0	 	4	1.47	 	139	50.92	 	0	0	 	3	1.1	 	2	0.73	 	20	7.33	 	0	0	 	273	96.13	 	11	3.87	 	284	0.37
Ridgelands		                                 	3	1.52	 	136	69.04	 	20	10.15	 	0	0	 	0	0	 	2	1.02	 	26	13.2	 	1	0.51	 	0	0	 	0	0	 	8	4.06	 	1	0.51	 	197	98.01	 	4	1.99	 	201	0.26
Rockhampton		                                	21	3.24	 	107	16.49	 	156	24.04	 	7	1.08	 	3	0.46	 	10	1.54	 	299	46.07	 	1	0.15	 	2	0.31	 	1	0.15	 	42	6.47	 	0	0	 	649	97.89	 	14	2.11	 	663	0.86
Rockhampton Central		                        	6	1.1	 	124	22.79	 	98	18.01	 	2	0.37	 	1	0.18	 	11	2.02	 	265	48.71	 	0	0	 	4	0.74	 	0	0	 	33	6.07	 	0	0	 	544	97.67	 	13	2.33	 	557	0.72
Rockhampton General Hospital		               	18	2.14	 	138	16.41	 	230	27.35	 	10	1.19	 	2	0.24	 	24	2.85	 	344	40.9	 	0	0	 	2	0.24	 	1	0.12	 	68	8.09	 	4	0.48	 	841	98.71	 	11	1.29	 	852	1.1
Rockhampton North Special School		           	18	1.65	 	167	15.31	 	269	24.66	 	9	0.82	 	4	0.37	 	27	2.47	 	480	44	 	1	0.09	 	6	0.55	 	1	0.09	 	109	9.99	 	0	0	 	1091	98.55	 	16	1.45	 	1107	1.43
Rockhampton South		                          	30	1.92	 	402	25.67	 	500	31.93	 	12	0.77	 	3	0.19	 	38	2.43	 	459	29.31	 	0	0	 	2	0.13	 	1	0.06	 	119	7.6	 	0	0	 	1566	98.55	 	23	1.45	 	1589	2.05
Rockonia		                                   	33	3.31	 	140	14.06	 	154	15.46	 	4	0.4	 	3	0.3	 	11	1.1	 	557	55.92	 	1	0.1	 	4	0.4	 	3	0.3	 	86	8.63	 	0	0	 	996	98.42	 	16	1.58	 	1012	1.31
St Lawrence		                                	8	5.97	 	44	32.84	 	24	17.91	 	0	0	 	0	0	 	3	2.24	 	45	33.58	 	1	0.75	 	0	0	 	1	0.75	 	8	5.97	 	0	0	 	134	97.1	 	4	2.9	 	138	0.18
Stanwell		                                   	15	6.05	 	93	37.5	 	49	19.76	 	3	1.21	 	0	0	 	6	2.42	 	63	25.4	 	0	0	 	2	0.81	 	0	0	 	16	6.45	 	1	0.4	 	248	97.64	 	6	2.36	 	254	0.33
The Caves		                                  	20	3.31	 	220	36.42	 	140	23.18	 	4	0.66	 	1	0.17	 	13	2.15	 	158	26.16	 	0	0	 	4	0.66	 	1	0.17	 	38	6.29	 	5	0.83	 	604	98.21	 	11	1.79	 	615	0.79
The Hall		                                   	18	2.07	 	164	18.87	 	210	24.17	 	2	0.23	 	5	0.58	 	23	2.65	 	372	42.81	 	0	0	 	6	0.69	 	4	0.46	 	61	7.02	 	4	0.46	 	869	98.08	 	17	1.92	 	886	1.14
Tieri		                                      	18	2.12	 	84	9.91	 	107	12.62	 	6	0.71	 	1	0.12	 	15	1.77	 	552	65.09	 	3	0.35	 	0	0	 	1	0.12	 	60	7.08	 	1	0.12	 	848	98.6	 	12	1.4	 	860	1.11
Wandal		                                     	38	1.67	 	369	16.18	 	538	23.59	 	12	0.53	 	3	0.13	 	77	3.38	 	1033	45.29	 	11	0.48	 	7	0.31	 	3	0.13	 	189	8.29	 	1	0.04	 	2281	97.98	 	47	2.02	 	2328	3
Westwood		                                   	5	4.31	 	53	45.69	 	7	6.03	 	1	0.86	 	0	0	 	4	3.45	 	39	33.62	 	0	0	 	1	0.86	 	0	0	 	6	5.17	 	0	0	 	116	100	 	0	0	 	116	0.15
Woorabinda		                                 	2	0.57	 	34	9.74	 	26	7.45	 	1	0.29	 	1	0.29	 	18	5.16	 	255	73.07	 	1	0.29	 	9	2.58	 	2	0.57	 	0	0	 	0	0	 	349	97.21	 	10	2.79	 	359	0.46
Wowan		                                      	7	2.78	 	155	61.51	 	38	15.08	 	0	0	 	2	0.79	 	7	2.78	 	32	12.7	 	1	0.4	 	2	0.79	 	1	0.4	 	7	2.78	 	0	0	 	252	98.05	 	5	1.95	 	257	0.33
Yaamba		                                     	6	4.14	 	77	53.1	 	29	20	 	1	0.69	 	1	0.69	 	3	2.07	 	19	13.1	 	0	0	 	0	0	 	0	0	 	9	6.21	 	0	0	 	145	99.32	 	1	0.68	 	146	0.19
Yeppoon		                                    	156	4.32	 	722	20	 	888	24.6	 	18	0.5	 	5	0.14	 	145	4.02	 	1383	38.31	 	10	0.28	 	10	0.28	 	6	0.17	 	266	7.37	 	1	0.03	 	3610	98.15	 	68	1.85	 	3678	4.74
Special Hospitals		                          	11	2.25	 	90	18.4	 	144	29.45	 	2	0.41	 	6	1.23	 	6	1.23	 	215	43.97	 	0	0	 	4	0.82	 	1	0.2	 	10	2.04	 	0	0	 	489	94.22	 	30	5.78	 	519	0.67
Prison Mobiles		                             	1	12.5	 	1	12.5	 	1	12.5	 	0	0	 	0	0	 	0	0	 	5	62.5	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	8	88.89	 	1	11.11	 	9	0.01
Total Ordinary		                             	1981	3.01	 	12461	18.93	 	13018	19.77	 	425	0.65	 	141	0.21	 	1694	2.57	 	31125	47.28	 	102	0.15	 	278	0.42	 	113	0.17	 	4400	6.68	 	96	0.15	 	65834	98.24	 	1181	1.76	 	67015	86.44
ABSENT		                                     	218	4.5	 	931	19.22	 	1011	20.87	 	35	0.72	 	12	0.25	 	161	3.32	 	2135	44.08	 	5	0.1	 	7	0.14	 	6	0.12	 	311	6.42	 	12	0.25	 	4844	99.12	 	43	0.88	 	4887	6.3
POSTAL		                                     	90	2.59	 	1185	34.11	 	563	16.21	 	32	0.92	 	5	0.14	 	46	1.32	 	1369	39.41	 	1	0.03	 	9	0.26	 	4	0.12	 	161	4.63	 	9	0.26	 	3474	98.5	 	53	1.5	 	3527	4.55
PRE_POLL		                                   	40	2.12	 	373	19.74	 	448	23.7	 	20	1.06	 	8	0.42	 	74	3.92	 	767	40.58	 	3	0.16	 	7	0.37	 	2	0.11	 	144	7.62	 	4	0.21	 	1890	99.16	 	16	0.84	 	1906	2.46
PROVISIONAL		                                	9	4.69	 	27	14.06	 	31	16.15	 	1	0.52	 	0	0	 	6	3.13	 	108	56.25	 	0	0	 	2	1.04	 	0	0	 	8	4.17	 	0	0	 	192	98.46	 	3	1.54	 	195	0.25
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	2338	3.07	 	14977	19.65	 	15071	19.77	 	513	0.67	 	166	0.22	 	1981	2.6	 	35504	46.57	 	111	0.15	 	303	0.4	 	125	0.16	 	5024	6.59	 	121	0.16	 	76234	98.33	 	1296	1.67	 	77530	96.37
 																																														


Dawson (81072)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Airlie Beach		                               	40	6.55	 	128	20.95	 	225	36.82	 	3	0.49	 	0	0	 	45	7.36	 	147	24.06	 	0	0	 	1	0.16	 	1	0.16	 	21	3.44	 	0	0	 	611	98.55	 	9	1.45	 	620	0.8
Airville		                                   	21	5.85	 	189	52.65	 	72	20.06	 	1	0.28	 	2	0.56	 	2	0.56	 	56	15.6	 	0	0	 	4	1.11	 	1	0.28	 	11	3.06	 	0	0	 	359	97.55	 	9	2.45	 	368	0.47
Alligator Creek		                            	115	13.17	 	245	28.06	 	135	15.46	 	2	0.23	 	1	0.11	 	16	1.83	 	301	34.48	 	0	0	 	1	0.11	 	2	0.23	 	55	6.3	 	0	0	 	873	98.09	 	17	1.91	 	890	1.14
Andergrove		                                 	297	12.01	 	487	19.7	 	393	15.9	 	14	0.57	 	1	0.04	 	89	3.6	 	1028	41.59	 	2	0.08	 	6	0.24	 	0	0	 	153	6.19	 	2	0.08	 	2472	98.84	 	29	1.16	 	2501	3.22
Ayr		                                        	106	5.3	 	527	26.36	 	487	24.36	 	15	0.75	 	1	0.05	 	42	2.1	 	718	35.92	 	1	0.05	 	9	0.45	 	2	0.1	 	90	4.5	 	1	0.05	 	1999	96.99	 	62	3.01	 	2061	2.65
Ayr Hospital		                               	72	5.1	 	314	22.24	 	301	21.32	 	12	0.85	 	2	0.14	 	38	2.69	 	593	42	 	4	0.28	 	15	1.06	 	2	0.14	 	59	4.18	 	0	0	 	1412	98.06	 	28	1.94	 	1440	1.85
Bloomsbury		                                 	12	4.62	 	129	49.62	 	32	12.31	 	1	0.38	 	2	0.77	 	6	2.31	 	63	24.23	 	1	0.38	 	2	0.77	 	0	0	 	12	4.62	 	0	0	 	260	97.74	 	6	2.26	 	266	0.34
Bowen		                                      	165	5.7	 	764	26.37	 	259	8.94	 	9	0.31	 	2	0.07	 	81	2.8	 	1499	51.74	 	2	0.07	 	11	0.38	 	4	0.14	 	99	3.42	 	2	0.07	 	2897	97.97	 	60	2.03	 	2957	3.8
Bowen Hospital		                             	11	4.51	 	55	22.54	 	28	11.48	 	3	1.23	 	0	0	 	8	3.28	 	130	53.28	 	0	0	 	0	0	 	0	0	 	9	3.69	 	0	0	 	244	99.59	 	1	0.41	 	245	0.32
Brandon		                                    	43	5.37	 	280	34.96	 	163	20.35	 	3	0.37	 	1	0.12	 	12	1.5	 	266	33.21	 	0	0	 	3	0.37	 	1	0.12	 	29	3.62	 	0	0	 	801	97.56	 	20	2.44	 	821	1.06
Brisbane City (Dawson)		                     	7	8.43	 	23	27.71	 	25	30.12	 	0	0	 	0	0	 	2	2.41	 	17	20.48	 	0	0	 	0	0	 	1	1.2	 	8	9.64	 	0	0	 	83	97.65	 	2	2.35	 	85	0.11
Bucasia		                                    	105	8.87	 	274	23.14	 	239	20.19	 	10	0.84	 	1	0.08	 	35	2.96	 	460	38.85	 	0	0	 	1	0.08	 	0	0	 	59	4.98	 	0	0	 	1184	98.58	 	17	1.42	 	1201	1.54
Calen		                                      	60	14.46	 	171	41.2	 	47	11.33	 	0	0	 	0	0	 	7	1.69	 	109	26.27	 	0	0	 	0	0	 	1	0.24	 	20	4.82	 	0	0	 	415	98.34	 	7	1.66	 	422	0.54
Cannonvale Beach		                           	85	5.99	 	309	21.78	 	440	31.01	 	9	0.63	 	1	0.07	 	88	6.2	 	425	29.95	 	1	0.07	 	1	0.07	 	3	0.21	 	56	3.95	 	1	0.07	 	1419	98.61	 	20	1.39	 	1439	1.85
Carmila		                                    	42	16.47	 	110	43.14	 	14	5.49	 	0	0	 	0	0	 	6	2.35	 	73	28.63	 	1	0.39	 	0	0	 	1	0.39	 	8	3.14	 	0	0	 	255	98.08	 	5	1.92	 	260	0.33
Chelona		                                    	51	12.26	 	199	47.84	 	35	8.41	 	0	0	 	1	0.24	 	5	1.2	 	105	25.24	 	0	0	 	1	0.24	 	1	0.24	 	18	4.33	 	0	0	 	416	98.35	 	7	1.65	 	423	0.54
Clare		                                      	6	1.89	 	155	48.9	 	75	23.66	 	0	0	 	0	0	 	4	1.26	 	66	20.82	 	0	0	 	0	0	 	0	0	 	11	3.47	 	0	0	 	317	97.84	 	7	2.16	 	324	0.42
Collinsville		                               	33	3.19	 	124	12	 	58	5.61	 	1	0.1	 	0	0	 	20	1.94	 	752	72.8	 	1	0.1	 	8	0.77	 	1	0.1	 	35	3.39	 	0	0	 	1033	97.18	 	30	2.82	 	1063	1.37
Collinsville Hospital		                      	16	7.69	 	23	11.06	 	10	4.81	 	0	0	 	0	0	 	6	2.88	 	144	69.23	 	0	0	 	0	0	 	0	0	 	9	4.33	 	0	0	 	208	99.05	 	2	0.95	 	210	0.27
Coningsby		                                  	50	9.65	 	208	40.15	 	62	11.97	 	2	0.39	 	0	0	 	17	3.28	 	150	28.96	 	0	0	 	0	0	 	0	0	 	29	5.6	 	0	0	 	518	97.74	 	12	2.26	 	530	0.68
Conway Beach		                               	18	12.33	 	55	37.67	 	19	13.01	 	0	0	 	0	0	 	6	4.11	 	42	28.77	 	0	0	 	1	0.68	 	0	0	 	5	3.42	 	0	0	 	146	97.33	 	4	2.67	 	150	0.19
Coppabella		                                 	15	13.89	 	15	13.89	 	3	2.78	 	0	0	 	0	0	 	4	3.7	 	70	64.81	 	0	0	 	0	0	 	0	0	 	1	0.93	 	0	0	 	108	97.3	 	3	2.7	 	111	0.14
Cunningham Home		                            	19	4.5	 	129	30.57	 	48	11.37	 	1	0.24	 	1	0.24	 	5	1.18	 	204	48.34	 	0	0	 	2	0.47	 	0	0	 	13	3.08	 	0	0	 	422	96.57	 	15	3.43	 	437	0.56
Dalbeg		                                     	2	3.92	 	28	54.9	 	8	15.69	 	2	3.92	 	0	0	 	1	1.96	 	6	11.76	 	0	0	 	0	0	 	1	1.96	 	3	5.88	 	0	0	 	51	100	 	0	0	 	51	0.07
Dows Creek		                                 	7	10.77	 	44	67.69	 	4	6.15	 	1	1.54	 	0	0	 	0	0	 	6	9.23	 	0	0	 	0	0	 	1	1.54	 	2	3.08	 	0	0	 	65	97.01	 	2	2.99	 	67	0.09
Dundula		                                    	86	12.61	 	167	24.49	 	64	9.38	 	3	0.44	 	1	0.15	 	20	2.93	 	316	46.33	 	0	0	 	4	0.59	 	1	0.15	 	20	2.93	 	0	0	 	682	96.74	 	23	3.26	 	705	0.91
East Ayr		                                   	62	5.71	 	251	23.11	 	262	24.13	 	4	0.37	 	1	0.09	 	28	2.58	 	399	36.74	 	3	0.28	 	3	0.28	 	3	0.28	 	70	6.45	 	0	0	 	1086	97.49	 	28	2.51	 	1114	1.43
Eimeo		                                      	131	10.91	 	298	24.81	 	232	19.32	 	5	0.42	 	2	0.17	 	44	3.66	 	390	32.47	 	2	0.17	 	4	0.33	 	2	0.17	 	90	7.49	 	1	0.08	 	1201	98.04	 	24	1.96	 	1225	1.58
Emmanuel		                                   	143	9.32	 	416	27.1	 	318	20.72	 	5	0.33	 	0	0	 	35	2.28	 	511	33.29	 	0	0	 	3	0.2	 	0	0	 	103	6.71	 	1	0.07	 	1535	99.1	 	14	0.9	 	1549	1.99
Eton		                                       	64	15.46	 	176	42.51	 	32	7.73	 	0	0	 	0	0	 	4	0.97	 	116	28.02	 	0	0	 	0	0	 	1	0.24	 	21	5.07	 	0	0	 	414	97.18	 	12	2.82	 	426	0.55
Eungella		                                   	10	6.02	 	75	45.18	 	21	12.65	 	0	0	 	1	0.6	 	5	3.01	 	43	25.9	 	0	0	 	0	0	 	2	1.2	 	8	4.82	 	1	0.6	 	166	98.81	 	2	1.19	 	168	0.22
Farleigh		                                   	38	9.13	 	183	43.99	 	35	8.41	 	3	0.72	 	0	0	 	4	0.96	 	120	28.85	 	0	0	 	3	0.72	 	0	0	 	29	6.97	 	1	0.24	 	416	96.74	 	14	3.26	 	430	0.55
Finch Hatton		                               	48	12.4	 	151	39.02	 	24	6.2	 	1	0.26	 	0	0	 	9	2.33	 	131	33.85	 	1	0.26	 	1	0.26	 	2	0.52	 	19	4.91	 	0	0	 	387	98.98	 	4	1.02	 	391	0.5
Fitzgerald		                                 	201	9.53	 	444	21.05	 	400	18.97	 	5	0.24	 	5	0.24	 	57	2.7	 	859	40.73	 	2	0.09	 	4	0.19	 	1	0.05	 	130	6.16	 	1	0.05	 	2109	98.83	 	25	1.17	 	2134	2.74
