Senate - 1993 Election: New South Wales																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												


Banks (79242)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Hurstville South		                           	5	0.96	 	3	0.58	 	1	0.19	 	0	0	 	3	0.58	 	0	0	 	4	0.77	 	1	0.19	 	222	42.69	 	0	0	 	25	4.81	 	234	45	 	0	0	 	4	0.77	 	11	2.12	 	7	1.35	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	520	98.86	 	6	1.14	 	526	0.68
Jubilee		                                    	51	1.66	 	2	0.06	 	1	0.03	 	7	0.23	 	16	0.52	 	1	0.03	 	17	0.55	 	2	0.06	 	1087	35.29	 	5	0.16	 	142	4.61	 	1608	52.21	 	1	0.03	 	67	2.18	 	41	1.33	 	19	0.62	 	0	0	 	8	0.26	 	2	0.06	 	0	0	 	0	0	 	3	0.1	 	3080	95.71	 	138	4.29	 	3218	4.15
Kogarah		                                    	11	0.99	 	4	0.36	 	1	0.09	 	2	0.18	 	4	0.36	 	1	0.09	 	7	0.63	 	0	0	 	339	30.38	 	0	0	 	59	5.29	 	645	57.8	 	0	0	 	9	0.81	 	18	1.61	 	9	0.81	 	0	0	 	5	0.45	 	0	0	 	0	0	 	1	0.09	 	1	0.09	 	1116	97.3	 	31	2.7	 	1147	1.48
Kogarah Bay		                                	16	1.5	 	5	0.47	 	1	0.09	 	2	0.19	 	4	0.38	 	1	0.09	 	8	0.75	 	1	0.09	 	502	47.09	 	1	0.09	 	50	4.69	 	451	42.31	 	1	0.09	 	6	0.56	 	8	0.75	 	4	0.38	 	1	0.09	 	3	0.28	 	0	0	 	1	0.09	 	0	0	 	0	0	 	1066	96.47	 	39	3.53	 	1105	1.42
Kogarah Central		                            	14	1.33	 	4	0.38	 	2	0.19	 	2	0.19	 	7	0.67	 	0	0	 	11	1.05	 	2	0.19	 	254	24.19	 	0	0	 	39	3.71	 	667	63.52	 	0	0	 	22	2.1	 	8	0.76	 	4	0.38	 	0	0	 	7	0.67	 	0	0	 	0	0	 	2	0.19	 	5	0.48	 	1050	97.31	 	29	2.69	 	1079	1.39
Kyeemagh		                                   	10	1.44	 	0	0	 	1	0.14	 	1	0.14	 	1	0.14	 	4	0.58	 	0	0	 	0	0	 	243	35.06	 	2	0.29	 	21	3.03	 	391	56.42	 	0	0	 	5	0.72	 	1	0.14	 	4	0.58	 	0	0	 	2	0.29	 	0	0	 	0	0	 	0	0	 	7	1.01	 	693	94.41	 	41	5.59	 	734	0.95
Monterey		                                   	24	1.18	 	3	0.15	 	0	0	 	0	0	 	9	0.44	 	0	0	 	13	0.64	 	0	0	 	751	36.89	 	1	0.05	 	58	2.85	 	1107	54.37	 	0	0	 	27	1.33	 	5	0.25	 	18	0.88	 	0	0	 	4	0.2	 	2	0.1	 	1	0.05	 	2	0.1	 	11	0.54	 	2036	95.86	 	88	4.14	 	2124	2.74
Moorefield		                                 	10	1.14	 	2	0.23	 	1	0.11	 	2	0.23	 	3	0.34	 	1	0.11	 	2	0.23	 	0	0	 	300	34.17	 	1	0.11	 	28	3.19	 	504	57.4	 	1	0.11	 	3	0.34	 	11	1.25	 	3	0.34	 	0	0	 	3	0.34	 	0	0	 	0	0	 	1	0.11	 	2	0.23	 	878	97.02	 	27	2.98	 	905	1.17
Mortdale East		                              	14	1.34	 	1	0.1	 	1	0.1	 	0	0	 	4	0.38	 	1	0.1	 	4	0.38	 	0	0	 	388	37.27	 	0	0	 	55	5.28	 	525	50.43	 	1	0.1	 	14	1.34	 	19	1.83	 	6	0.58	 	0	0	 	6	0.58	 	0	0	 	0	0	 	0	0	 	2	0.19	 	1041	97.29	 	29	2.71	 	1070	1.38
Oatley (Barton)		                            	25	1.06	 	3	0.13	 	3	0.13	 	3	0.13	 	15	0.63	 	0	0	 	23	0.97	 	4	0.17	 	1132	47.82	 	1	0.04	 	149	6.29	 	849	35.87	 	1	0.04	 	70	2.96	 	58	2.45	 	20	0.84	 	0	0	 	6	0.25	 	0	0	 	0	0	 	0	0	 	5	0.21	 	2367	97.81	 	53	2.19	 	2420	3.12
Ramsgate North		                             	31	1.6	 	0	0	 	2	0.1	 	1	0.05	 	3	0.15	 	3	0.15	 	12	0.62	 	2	0.1	 	761	39.29	 	1	0.05	 	57	2.94	 	994	51.32	 	0	0	 	22	1.14	 	14	0.72	 	19	0.98	 	0	0	 	4	0.21	 	0	0	 	0	0	 	1	0.05	 	10	0.52	 	1937	96.85	 	63	3.15	 	2000	2.58
Rockdale		                                   	34	1.8	 	2	0.11	 	1	0.05	 	3	0.16	 	9	0.48	 	1	0.05	 	9	0.48	 	5	0.26	 	361	19.11	 	4	0.21	 	73	3.86	 	1325	70.14	 	2	0.11	 	28	1.48	 	11	0.58	 	7	0.37	 	1	0.05	 	6	0.32	 	0	0	 	0	0	 	0	0	 	7	0.37	 	1889	94.45	 	111	5.55	 	2000	2.58
Rockdale Central		                           	23	2.4	 	2	0.21	 	0	0	 	1	0.1	 	8	0.84	 	1	0.1	 	5	0.52	 	0	0	 	201	21	 	0	0	 	30	3.13	 	635	66.35	 	0	0	 	12	1.25	 	14	1.46	 	8	0.84	 	0	0	 	12	1.25	 	0	0	 	0	0	 	1	0.1	 	4	0.42	 	957	94.94	 	51	5.06	 	1008	1.3
Rockdale Park		                              	16	2.34	 	2	0.29	 	0	0	 	1	0.15	 	3	0.44	 	10	1.46	 	6	0.88	 	0	0	 	192	28.11	 	2	0.29	 	20	2.93	 	413	60.47	 	0	0	 	6	0.88	 	4	0.59	 	2	0.29	 	0	0	 	2	0.29	 	0	0	 	0	0	 	0	0	 	4	0.59	 	683	95.39	 	33	4.61	 	716	0.92
Rockdale West		                              	21	1.2	 	1	0.06	 	3	0.17	 	3	0.17	 	5	0.29	 	1	0.06	 	4	0.23	 	0	0	 	398	22.72	 	1	0.06	 	48	2.74	 	1217	69.46	 	0	0	 	18	1.03	 	17	0.97	 	7	0.4	 	0	0	 	1	0.06	 	0	0	 	0	0	 	2	0.11	 	5	0.29	 	1752	96.16	 	70	3.84	 	1822	2.35
St Cuthbert's		                              	21	1.14	 	3	0.16	 	1	0.05	 	2	0.11	 	7	0.38	 	0	0	 	15	0.82	 	2	0.11	 	719	39.14	 	1	0.05	 	92	5.01	 	908	49.43	 	0	0	 	27	1.47	 	19	1.03	 	12	0.65	 	0	0	 	2	0.11	 	0	0	 	0	0	 	3	0.16	 	3	0.16	 	1837	96.94	 	58	3.06	 	1895	2.44
St George Hospital		                         	4	3.88	 	0	0	 	0	0	 	0	0	 	1	0.97	 	1	0.97	 	1	0.97	 	0	0	 	36	34.95	 	0	0	 	1	0.97	 	55	53.4	 	0	0	 	0	0	 	1	0.97	 	2	1.94	 	0	0	 	1	0.97	 	0	0	 	0	0	 	0	0	 	0	0	 	103	99.04	 	1	0.96	 	104	0.13
St Raphael's		                               	23	2.22	 	3	0.29	 	2	0.19	 	1	0.1	 	8	0.77	 	0	0	 	5	0.48	 	1	0.1	 	303	29.25	 	2	0.19	 	46	4.44	 	600	57.92	 	0	0	 	12	1.16	 	16	1.54	 	6	0.58	 	2	0.19	 	3	0.29	 	0	0	 	0	0	 	2	0.19	 	1	0.1	 	1036	96.55	 	37	3.45	 	1073	1.38
Sans Souci		                                 	27	1.17	 	2	0.09	 	2	0.09	 	1	0.04	 	12	0.52	 	2	0.09	 	28	1.22	 	1	0.04	 	1035	45.02	 	6	0.26	 	85	3.7	 	1031	44.85	 	2	0.09	 	29	1.26	 	12	0.52	 	12	0.52	 	0	0	 	5	0.22	 	0	0	 	0	0	 	1	0.04	 	6	0.26	 	2299	96.31	 	88	3.69	 	2387	3.08
Sans Souci North		                           	31	1.35	 	3	0.13	 	0	0	 	3	0.13	 	3	0.13	 	2	0.09	 	21	0.91	 	0	0	 	848	36.93	 	3	0.13	 	82	3.57	 	1228	53.48	 	2	0.09	 	24	1.05	 	29	1.26	 	10	0.44	 	0	0	 	3	0.13	 	1	0.04	 	0	0	 	1	0.04	 	2	0.09	 	2296	95.95	 	97	4.05	 	2393	3.08
South Haven		                                	11	1.58	 	0	0	 	0	0	 	1	0.14	 	6	0.86	 	0	0	 	1	0.14	 	0	0	 	187	26.83	 	1	0.14	 	35	5.02	 	435	62.41	 	0	0	 	6	0.86	 	5	0.72	 	4	0.57	 	0	0	 	1	0.14	 	0	0	 	0	0	 	1	0.14	 	3	0.43	 	697	93.94	 	45	6.06	 	742	0.96
Sydney (Barton)		                            	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	30	29.13	 	0	0	 	6	5.83	 	60	58.25	 	0	0	 	5	4.85	 	2	1.94	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	103	98.1	 	2	1.9	 	105	0.14
Special Hospitals		                          	2	0.37	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	296	55.22	 	0	0	 	7	1.31	 	227	42.35	 	0	0	 	0	0	 	2	0.37	 	1	0.19	 	0	0	 	1	0.19	 	0	0	 	0	0	 	0	0	 	0	0	 	536	97.1	 	16	2.9	 	552	0.71
Total Ordinary		                             	954	1.45	 	114	0.17	 	51	0.08	 	76	0.12	 	323	0.49	 	49	0.07	 	437	0.66	 	50	0.08	 	23706	35.97	 	59	0.09	 	2718	4.12	 	34897	52.95	 	22	0.03	 	872	1.32	 	764	1.16	 	435	0.66	 	8	0.01	 	192	0.29	 	18	0.03	 	6	0.01	 	26	0.04	 	132	0.2	 	65909	96.28	 	2549	3.72	 	68458	88.22
ABSENT		                                     	42	1.08	 	14	0.36	 	5	0.13	 	4	0.1	 	20	0.51	 	4	0.1	 	33	0.85	 	3	0.08	 	1385	35.47	 	3	0.08	 	191	4.89	 	1963	50.27	 	3	0.08	 	107	2.74	 	66	1.69	 	46	1.18	 	2	0.05	 	9	0.23	 	0	0	 	0	0	 	0	0	 	5	0.13	 	3905	97.85	 	86	2.15	 	3991	5.14
POSTAL		                                     	11	0.57	 	2	0.1	 	2	0.1	 	4	0.21	 	8	0.41	 	4	0.21	 	8	0.41	 	0	0	 	823	42.38	 	3	0.15	 	71	3.66	 	913	47.01	 	0	0	 	15	0.77	 	35	1.8	 	18	0.93	 	0	0	 	20	1.03	 	0	0	 	1	0.05	 	0	0	 	4	0.21	 	1942	98.63	 	27	1.37	 	1969	2.54
PRE_POLL		                                   	32	1.29	 	10	0.4	 	4	0.16	 	2	0.08	 	8	0.32	 	2	0.08	 	26	1.04	 	2	0.08	 	1032	41.45	 	2	0.08	 	129	5.18	 	1133	45.5	 	0	0	 	51	2.05	 	26	1.04	 	20	0.8	 	0	0	 	8	0.32	 	0	0	 	0	0	 	0	0	 	3	0.12	 	2490	97.95	 	52	2.05	 	2542	3.28
PROVISIONAL		                                	12	2.01	 	7	1.17	 	0	0	 	1	0.17	 	2	0.34	 	0	0	 	5	0.84	 	0	0	 	154	25.84	 	0	0	 	13	2.18	 	376	63.09	 	2	0.34	 	13	2.18	 	2	0.34	 	6	1.01	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.5	 	596	93.27	 	43	6.73	 	639	0.82
ADJUSTMENT		                                 	2		       	0		       	-1		       	0		       	0		       	-3		       	8		       	-4		       	-5		       	0		       	0		       	3		       	0		       	1		       	0		       	0		       	6		       	-6		       	0		       	0		       	0		       	0		       	1		       	2		       	3	
Division Summary		                           	1053	1.41	 	147	0.2	 	61	0.08	 	87	0.12	 	361	0.48	 	56	0.07	 	517	0.69	 	51	0.07	 	27095	36.2	 	67	0.09	 	3122	4.17	 	39285	52.49	 	27	0.04	 	1059	1.41	 	893	1.19	 	525	0.7	 	16	0.02	 	223	0.3	 	18	0.02	 	7	0.01	 	26	0.03	 	147	0.2	 	74843	96.44	 	2759	3.56	 	77602	96.78


Bennelong (79036)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Balaclava		                                  	13	0.63	 	6	0.29	 	1	0.05	 	4	0.2	 	33	1.61	 	0	0	 	11	0.54	 	1	0.05	 	961	46.9	 	3	0.15	 	182	8.88	 	725	35.38	 	0	0	 	48	2.34	 	35	1.71	 	16	0.78	 	1	0.05	 	9	0.44	 	0	0	 	0	0	 	0	0	 	0	0	 	2049	98.56	 	30	1.44	 	2079	2.72
Boronia Park		                               	46	2.06	 	10	0.45	 	6	0.27	 	2	0.09	 	21	0.94	 	1	0.04	 	10	0.45	 	0	0	 	919	41.12	 	3	0.13	 	195	8.72	 	927	41.48	 	2	0.09	 	35	1.57	 	26	1.16	 	18	0.81	 	2	0.09	 	9	0.4	 	0	0	 	0	0	 	0	0	 	3	0.13	 	2235	96.5	 	81	3.5	 	2316	3.03
Denistone		                                  	16	1.31	 	7	0.57	 	2	0.16	 	4	0.33	 	11	0.9	 	0	0	 	8	0.65	 	0	0	 	624	50.9	 	0	0	 	70	5.71	 	404	32.95	 	1	0.08	 	21	1.71	 	33	2.69	 	18	1.47	 	0	0	 	4	0.33	 	2	0.16	 	0	0	 	0	0	 	1	0.08	 	1226	97.53	 	31	2.47	 	1257	1.64
Denistone East		                             	27	1.35	 	5	0.25	 	1	0.05	 	3	0.15	 	13	0.65	 	3	0.15	 	14	0.7	 	1	0.05	 	931	46.5	 	3	0.15	 	144	7.19	 	732	36.56	 	0	0	 	34	1.7	 	56	2.8	 	21	1.05	 	3	0.15	 	4	0.2	 	0	0	 	0	0	 	1	0.05	 	6	0.3	 	2002	97.56	 	50	2.44	 	2052	2.68
Eastview		                                   	27	1.77	 	3	0.2	 	2	0.13	 	2	0.13	 	9	0.59	 	0	0	 	11	0.72	 	2	0.13	 	592	38.9	 	0	0	 	76	4.99	 	736	48.36	 	0	0	 	15	0.99	 	14	0.92	 	14	0.92	 	4	0.26	 	5	0.33	 	0	0	 	0	0	 	4	0.26	 	6	0.39	 	1522	97.07	 	46	2.93	 	1568	2.05
Eastwood		                                   	51	1.19	 	14	0.33	 	4	0.09	 	8	0.19	 	34	0.79	 	1	0.02	 	14	0.33	 	3	0.07	 	1940	45.35	 	6	0.14	 	332	7.76	 	1627	38.03	 	0	0	 	98	2.29	 	78	1.82	 	38	0.89	 	4	0.09	 	10	0.23	 	9	0.21	 	0	0	 	1	0.02	 	6	0.14	 	4278	97.85	 	94	2.15	 	4372	5.72
Eastwood Heights		                           	36	1.53	 	6	0.25	 	1	0.04	 	4	0.17	 	12	0.51	 	1	0.04	 	13	0.55	 	1	0.04	 	1202	51.06	 	4	0.17	 	163	6.92	 	803	34.11	 	0	0	 	23	0.98	 	54	2.29	 	15	0.64	 	1	0.04	 	11	0.47	 	1	0.04	 	0	0	 	0	0	 	3	0.13	 	2354	97.68	 	56	2.32	 	2410	3.15
Eastwood West		                              	5	0.75	 	1	0.15	 	0	0	 	0	0	 	4	0.6	 	2	0.3	 	6	0.9	 	0	0	 	333	50.15	 	0	0	 	60	9.04	 	227	34.19	 	0	0	 	6	0.9	 	14	2.11	 	2	0.3	 	0	0	 	3	0.45	 	0	0	 	0	0	 	0	0	 	1	0.15	 	664	98.22	 	12	1.78	 	676	0.88
Epping (Bennelong)		                         	21	1.32	 	4	0.25	 	1	0.06	 	3	0.19	 	10	0.63	 	0	0	 	14	0.88	 	0	0	 	817	51.55	 	2	0.13	 	139	8.77	 	482	30.41	 	1	0.06	 	26	1.64	 	42	2.65	 	14	0.88	 	0	0	 	4	0.25	 	1	0.06	 	0	0	 	2	0.13	 	2	0.13	 	1585	97.96	 	33	2.04	 	1618	2.12
Epping East		                                	35	1.3	 	2	0.07	 	0	0	 	4	0.15	 	13	0.48	 	2	0.07	 	13	0.48	 	1	0.04	 	1397	51.95	 	5	0.19	 	215	8	 	799	29.71	 	0	0	 	60	2.23	 	89	3.31	 	22	0.82	 	2	0.07	 	12	0.45	 	17	0.63	 	0	0	 	0	0	 	1	0.04	 	2689	98.03	 	54	1.97	 	2743	3.59
Epping North		                               	27	1.15	 	3	0.13	 	1	0.04	 	1	0.04	 	16	0.68	 	1	0.04	 	13	0.55	 	0	0	 	1219	51.85	 	1	0.04	 	252	10.72	 	667	28.37	 	0	0	 	44	1.87	 	72	3.06	 	12	0.51	 	0	0	 	10	0.43	 	8	0.34	 	0	0	 	0	0	 	4	0.17	 	2351	98.12	 	45	1.88	 	2396	3.13
Epping West (Bennelong)		                    	21	1.84	 	2	0.18	 	0	0	 	1	0.09	 	8	0.7	 	2	0.18	 	4	0.35	 	2	0.18	 	546	47.85	 	0	0	 	130	11.39	 	351	30.76	 	1	0.09	 	25	2.19	 	32	2.8	 	12	1.05	 	1	0.09	 	2	0.18	 	0	0	 	0	0	 	0	0	 	1	0.09	 	1141	98.28	 	20	1.72	 	1161	1.52
Ermington (Bennelong)		                      	13	1.17	 	5	0.45	 	0	0	 	1	0.09	 	3	0.27	 	3	0.27	 	7	0.63	 	0	0	 	481	43.41	 	2	0.18	 	75	6.77	 	457	41.25	 	0	0	 	19	1.71	 	26	2.35	 	7	0.63	 	2	0.18	 	1	0.09	 	2	0.18	 	0	0	 	1	0.09	 	3	0.27	 	1108	98.4	 	18	1.6	 	1126	1.47
Gladesville		                                	43	1.46	 	6	0.2	 	3	0.1	 	12	0.41	 	19	0.64	 	1	0.03	 	20	0.68	 	1	0.03	 	1104	37.45	 	5	0.17	 	189	6.41	 	1324	44.91	 	1	0.03	 	151	5.12	 	30	1.02	 	15	0.51	 	3	0.1	 	8	0.27	 	2	0.07	 	0	0	 	1	0.03	 	10	0.34	 	2948	95.47	 	140	4.53	 	3088	4.04
Gladesville Central		                        	13	1.63	 	2	0.25	 	1	0.13	 	2	0.25	 	5	0.63	 	1	0.13	 	7	0.88	 	0	0	 	285	35.71	 	2	0.25	 	59	7.39	 	375	46.99	 	0	0	 	17	2.13	 	17	2.13	 	8	1	 	1	0.13	 	2	0.25	 	0	0	 	0	0	 	0	0	 	1	0.13	 	798	95.45	 	38	4.55	 	836	1.09
Gladesville East		                           	4	1	 	2	0.5	 	1	0.25	 	1	0.25	 	3	0.75	 	0	0	 	1	0.25	 	0	0	 	178	44.5	 	0	0	 	21	5.25	 	167	41.75	 	0	0	 	9	2.25	 	7	1.75	 	5	1.25	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.25	 	400	97.8	 	9	2.2	 	409	0.53
Gladesville North		                          	27	1.8	 	4	0.27	 	0	0	 	1	0.07	 	12	0.8	 	1	0.07	 	13	0.87	 	1	0.07	 	608	40.53	 	1	0.07	 	94	6.27	 	678	45.2	 	0	0	 	22	1.47	 	18	1.2	 	5	0.33	 	2	0.13	 	2	0.13	 	0	0	 	0	0	 	0	0	 	11	0.73	 	1500	96.84	 	49	3.16	 	1549	2.03
Gladesville West		                           	17	1.74	 	1	0.1	 	2	0.2	 	1	0.1	 	2	0.2	 	0	0	 	14	1.43	 	0	0	 	409	41.86	 	2	0.2	 	55	5.63	 	428	43.81	 	0	0	 	15	1.54	 	14	1.43	 	8	0.82	 	1	0.1	 	6	0.61	 	0	0	 	0	0	 	2	0.2	 	0	0	 	977	95.97	 	41	4.03	 	1018	1.33
Hunters Hill		                               	21	1.36	 	1	0.06	 	1	0.06	 	1	0.06	 	11	0.71	 	3	0.19	 	16	1.04	 	0	0	 	1030	66.75	 	2	0.13	 	95	6.16	 	296	19.18	 	0	0	 	43	2.79	 	13	0.84	 	3	0.19	 	1	0.06	 	5	0.32	 	1	0.06	 	0	0	 	0	0	 	0	0	 	1543	97.29	 	43	2.71	 	1586	2.07
Hunters Hill West		                          	19	1.59	 	2	0.17	 	2	0.17	 	3	0.25	 	6	0.5	 	0	0	 	9	0.75	 	0	0	 	624	52.17	 	2	0.17	 	93	7.78	 	374	31.27	 	0	0	 	23	1.92	 	14	1.17	 	12	1	 	0	0	 	11	0.92	 	1	0.08	 	0	0	 	0	0	 	1	0.08	 	1196	98.44	 	19	1.56	 	1215	1.59
Kent Road		                                  	27	1.28	 	3	0.14	 	1	0.05	 	3	0.14	 	17	0.81	 	3	0.14	 	11	0.52	 	2	0.1	 	821	39	 	1	0.05	 	140	6.65	 	979	46.51	 	0	0	 	32	1.52	 	29	1.38	 	21	1	 	5	0.24	 	6	0.29	 	0	0	 	0	0	 	2	0.1	 	2	0.1	 	2105	97.59	 	52	2.41	 	2157	2.82
Kittys Creek		                               	5	1.42	 	0	0	 	0	0	 	2	0.57	 	1	0.28	 	0	0	 	4	1.14	 	0	0	 	156	44.44	 	0	0	 	14	3.99	 	150	42.74	 	0	0	 	6	1.71	 	7	1.99	 	5	1.42	 	1	0.28	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	351	98.04	 	7	1.96	 	358	0.47
Lyon Park		                                  	15	1.48	 	2	0.2	 	2	0.2	 	2	0.2	 	10	0.99	 	3	0.3	 	6	0.59	 	0	0	 	335	33.04	 	0	0	 	84	8.28	 	474	46.75	 	1	0.1	 	23	2.27	 	49	4.83	 	5	0.49	 	1	0.1	 	0	0	 	0	0	 	0	0	 	1	0.1	 	1	0.1	 	1014	97.59	 	25	2.41	 	1039	1.36
Marsfield		                                  	25	1.35	 	7	0.38	 	3	0.16	 	8	0.43	 	11	0.59	 	1	0.05	 	7	0.38	 	0	0	 	922	49.7	 	3	0.16	 	103	5.55	 	676	36.44	 	0	0	 	20	1.08	 	44	2.37	 	10	0.54	 	3	0.16	 	6	0.32	 	1	0.05	 	0	0	 	0	0	 	5	0.27	 	1855	96.06	 	76	3.94	 	1931	2.52
Meadowbank		                                 	13	1.65	 	6	0.76	 	1	0.13	 	0	0	 	12	1.52	 	0	0	 	4	0.51	 	0	0	 	281	35.66	 	2	0.25	 	54	6.85	 	376	47.72	 	0	0	 	10	1.27	 	12	1.52	 	6	0.76	 	3	0.38	 	3	0.38	 	2	0.25	 	1	0.13	 	0	0	 	2	0.25	 	788	96.45	 	29	3.55	 	817	1.07
Parkes Street		                              	21	1.53	 	0	0	 	3	0.22	 	2	0.15	 	12	0.88	 	0	0	 	13	0.95	 	0	0	 	505	36.86	 	0	0	 	93	6.79	 	653	47.66	 	0	0	 	23	1.68	 	24	1.75	 	8	0.58	 	1	0.07	 	5	0.36	 	1	0.07	 	0	0	 	0	0	 	6	0.44	 	1370	97.3	 	38	2.7	 	1408	1.84
Putney		                                     	25	1.07	 	5	0.21	 	0	0	 	6	0.26	 	24	1.03	 	0	0	 	19	0.81	 	0	0	 	980	41.9	 	4	0.17	 	138	5.9	 	981	41.94	 	1	0.04	 	44	1.88	 	30	1.28	 	27	1.15	 	24	1.03	 	16	0.68	 	0	0	 	0	0	 	1	0.04	 	14	0.6	 	2339	96.81	 	77	3.19	 	2416	3.16
Royal Ryde Homes		                           	4	2.58	 	0	0	 	0	0	 	1	0.65	 	0	0	 	0	0	 	1	0.65	 	0	0	 	67	43.23	 	0	0	 	5	3.23	 	70	45.16	 	0	0	 	3	1.94	 	1	0.65	 	1	0.65	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	1.29	 	155	97.48	 	4	2.52	 	159	0.21
Ryde		                                       	58	1.87	 	7	0.23	 	6	0.19	 	5	0.16	 	19	0.61	 	3	0.1	 	17	0.55	 	2	0.06	 	993	32	 	4	0.13	 	200	6.45	 	1643	52.95	 	1	0.03	 	46	1.48	 	29	0.93	 	23	0.74	 	18	0.58	 	8	0.26	 	1	0.03	 	0	0	 	1	0.03	 	19	0.61	 	3103	96.37	 	117	3.63	 	3220	4.21
Ryde Central		                               	23	1.84	 	0	0	 	0	0	 	1	0.08	 	8	0.64	 	0	0	 	14	1.12	 	0	0	 	491	39.31	 	1	0.08	 	62	4.96	 	581	46.52	 	0	0	 	14	1.12	 	35	2.8	 	6	0.48	 	2	0.16	 	6	0.48	 	0	0	 	0	0	 	1	0.08	 	4	0.32	 	1249	95.71	 	56	4.29	 	1305	1.71
Ryde East		                                  	46	1.45	 	13	0.41	 	3	0.09	 	5	0.16	 	25	0.79	 	5	0.16	 	25	0.79	 	2	0.06	 	1395	43.98	 	3	0.09	 	244	7.69	 	1210	38.15	 	0	0	 	47	1.48	 	54	1.7	 	35	1.1	 	38	1.2	 	10	0.32	 	1	0.03	 	0	0	 	0	0	 	11	0.35	 	3172	97.66	 	76	2.34	 	3248	4.25
Ryde Heights		                               	16	2.68	 	3	0.5	 	0	0	 	2	0.33	 	4	0.67	 	0	0	 	4	0.67	 	1	0.17	 	201	33.61	 	0	0	 	46	7.69	 	279	46.66	 	0	0	 	13	2.17	 	14	2.34	 	14	2.34	 	0	0	 	1	0.17	 	0	0	 	0	0	 	0	0	 	0	0	 	598	96.45	 	22	3.55	 	620	0.81
Ryde Hospital		                              	4	0.58	 	0	0	 	0	0	 	2	0.29	 	3	0.44	 	0	0	 	4	0.58	 	1	0.15	 	334	48.83	 	0	0	 	44	6.43	 	239	34.94	 	0	0	 	18	2.63	 	16	2.34	 	7	1.02	 	2	0.29	 	4	0.58	 	2	0.29	 	0	0	 	0	0	 	4	0.58	 	684	96.34	 	26	3.66	 	710	0.93
Ryde North		                                 	42	1.31	 	4	0.12	 	4	0.12	 	5	0.16	 	26	0.81	 	0	0	 	16	0.5	 	1	0.03	 	1310	40.81	 	7	0.22	 	173	5.39	 	1464	45.61	 	1	0.03	 	54	1.68	 	34	1.06	 	24	0.75	 	24	0.75	 	10	0.31	 	0	0	 	0	0	 	0	0	 	11	0.34	 	3210	96.8	 	106	3.2	 	3316	4.34
Ryde South		                                 	13	1.79	 	3	0.41	 	0	0	 	2	0.27	 	2	0.27	 	5	0.69	 	1	0.14	 	0	0	 	312	42.86	 	1	0.14	 	36	4.95	 	321	44.09	 	0	0	 	8	1.1	 	6	0.82	 	7	0.96	 	5	0.69	 	3	0.41	 	0	0	 	0	0	 	1	0.14	 	2	0.27	 	728	96.04	 	30	3.96	 	758	0.99
Sydney (Bennelong)		                         	4	3.45	 	0	0	 	0	0	 	0	0	 	2	1.72	 	0	0	 	1	0.86	 	0	0	 	48	41.38	 	0	0	 	9	7.76	 	42	36.21	 	0	0	 	6	5.17	 	2	1.72	 	1	0.86	 	0	0	 	0	0	 	1	0.86	 	0	0	 	0	0	 	0	0	 	116	97.48	 	3	2.52	 	119	0.16
