House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Kalgoorlie																																			
					HODDY			HAASE			BROWNING			SCOTT			MILLER			BURT			BUTSON			SMITH			PAYNE			MCCUMSTIE			
		TOTAL		4	4.76		42	50.00		21	25.00		7	8.33		7	8.33					0	0.00		2	2.38					1	1.19		84	
	FOURTH			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00					0	0.00			Excluded					0	0.00		2	
		TOTAL		4	4.76		42	50.00		21	25.00		8	9.52		8	9.52					0	0.00								1	1.19		84	
	FIFTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		1	
		TOTAL		5	5.95		42	50.00		21	25.00		8	9.52		8	9.52					0	0.00											84	
	SIXTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded											0	
		TOTAL		5	5.95		42	50.00		21	25.00		8	9.52		8	9.52																	84	
	SEVENTH				Excluded		2	40.00		2	40.00		0	0.00		1	20.00																	5	
		TOTAL					44	52.38		23	27.38		8	9.52		9	10.71																	84	
	EIGHTH						3	33.33		3	33.33		3	33.33			Excluded																	9	
		TOTAL					47	55.95		26	30.95		11	13.10																				84	
	NINTH						7	63.64		4	36.36			Excluded																				11	
		TOTAL					54	64.29		30	35.71																							84	
							Elected																												
																																			
Cue                                                            																																			
	FIRST			7	4.96		58	41.13		47	33.33		21	14.89		1	0.71		0	0.00		4	2.84		0	0.00		1	0.71		2	1.42		141	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		7	4.96		58	41.13		47	33.33		21	14.89		1	0.71		0	0.00		5	3.55		0	0.00					2	1.42		141	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		7	4.96		58	41.13		47	33.33		21	14.89		1	0.71					5	3.55		0	0.00					2	1.42		141	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		7	4.96		58	41.13		47	33.33		21	14.89		1	0.71					5	3.55								2	1.42		141	
	FIFTH			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00					0	0.00									Excluded		2	
		TOTAL		7	4.96		59	41.84		48	34.04		21	14.89		1	0.71					5	3.55											141	
	SIXTH			1	20.00		1	20.00		0	0.00		2	40.00		1	20.00						Excluded											5	
		TOTAL		8	5.67		60	42.55		48	34.04		23	16.31		2	1.42																	141	
	SEVENTH				Excluded		3	37.50		3	37.50		1	12.50		1	12.50																	8	
		TOTAL					63	44.68		51	36.17		24	17.02		3	2.13																	141	
	EIGHTH						0	0.00		2	66.67		1	33.33			Excluded																	3	
		TOTAL					63	44.68		53	37.59		25	17.73																				141	
	NINTH						15	60.00		10	40.00			Excluded																				25	
		TOTAL					78	55.32		63	44.68																							141	
							Elected																												
																																			
Dalyup                                                         																																			
	FIRST			0	0.00		83	74.77		6	5.41		9	8.11		4	3.60		0	0.00		1	0.90		0	0.00		1	0.90		7	6.31		111	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		0	0.00		84	75.68		6	5.41		9	8.11		4	3.60		0	0.00		1	0.90		0	0.00					7	6.31		111	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		84	75.68		6	5.41		9	8.11		4	3.60					1	0.90		0	0.00					7	6.31		111	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		0	0.00		84	75.68		6	5.41		9	8.11		4	3.60					1	0.90								7	6.31		111	
	FIFTH			0	0.00		7	100.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		7	
		TOTAL		0	0.00		91	81.98		6	5.41		9	8.11		4	3.60					1	0.90											111	
	SIXTH			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00						Excluded											1	
		TOTAL		0	0.00		91	81.98		7	6.31		9	8.11		4	3.60																	111	
	SEVENTH				Excluded		0	0.00		0	0.00		0	0.00		0	0.00																	0	
		TOTAL					91	81.98		7	6.31		9	8.11		4	3.60																	111	
	EIGHTH						1	25.00		2	50.00		1	25.00			Excluded																	4	
		TOTAL					92	82.88		9	8.11		10	9.01																				111	
	NINTH						8	80.00		2	20.00			Excluded																				10	
		TOTAL					100	90.09		11	9.91																							111	
							Elected																												
																																			
Dampier                                                        																																			
	FIRST			23	3.06		293	39.01		288	38.35		66	8.79		35	4.66		3	0.40		36	4.79		4	0.53		0	0.00		3	0.40		751	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		23	3.06		293	39.01		288	38.35		66	8.79		35	4.66		3	0.40		36	4.79		4	0.53					3	0.40		751	
	THIRD			0	0.00		0	0.00		2	66.67		0	0.00		0	0.00			Excluded		1	33.33		0	0.00					0	0.00		3	
		TOTAL		23	3.06		293	39.01		290	38.62		66	8.79		35	4.66					37	4.93		4	0.53					3	0.40		751	
	FOURTH			0	0.00		1	25.00		0	0.00		0	0.00		0	0.00					1	25.00			Excluded					2	50.00		4	
		TOTAL		23	3.06		294	39.15		290	38.62		66	8.79		35	4.66					38	5.06								5	0.67		751	
	FIFTH			0	0.00		1	20.00		0	0.00		0	0.00		2	40.00					2	40.00									Excluded		5	
		TOTAL		23	3.06		295	39.28		290	38.62		66	8.79		37	4.93					40	5.33											751	
	SIXTH			2	5.00		4	10.00		10	25.00		7	17.50		17	42.50						Excluded											40	
		TOTAL		25	3.33		299	39.81		300	39.95		73	9.72		54	7.19																	751	
	SEVENTH				Excluded		10	40.00		7	28.00		0	0.00		8	32.00																	25	
		TOTAL					309	41.15		307	40.88		73	9.72		62	8.26																	751	
	EIGHTH						16	25.81		20	32.26		26	41.94			Excluded																	62	
		TOTAL					325	43.28		327	43.54		99	13.18																				751	
	NINTH						48	48.48		51	51.52			Excluded																				99	
		TOTAL					373	49.67		378	50.33																							751	
							Elected																												
																																			
Denham                                                         																																			
	FIRST			3	0.90		189	56.59		88	26.35		34	10.18		9	2.69		2	0.60		6	1.80		0	0.00		1	0.30		2	0.60		334	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		3	0.90		189	56.59		88	26.35		35	10.48		9	2.69		2	0.60		6	1.80		0	0.00					2	0.60		334	
	THIRD			0	0.00		0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		2	
		TOTAL		3	0.90		189	56.59		88	26.35		37	11.08		9	2.69					6	1.80		0	0.00					2	0.60		334	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		3	0.90		189	56.59		88	26.35		37	11.08		9	2.69					6	1.80								2	0.60		334	
	FIFTH			1	50.00		1	50.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		2	
		TOTAL		4	1.20		190	56.89		88	26.35		37	11.08		9	2.69					6	1.80											334	
	SIXTH			0	0.00		4	66.67		0	0.00		1	16.67		1	16.67						Excluded											6	
		TOTAL		4	1.20		194	58.08		88	26.35		38	11.38		10	2.99																	334	
	SEVENTH				Excluded		1	25.00		2	50.00		0	0.00		1	25.00																	4	
		TOTAL					195	58.38		90	26.95		38	11.38		11	3.29																	334	
	EIGHTH						0	0.00		8	72.73		3	27.27			Excluded																	11	
		TOTAL					195	58.38		98	29.34		41	12.28																				334	
	NINTH						23	56.10		18	43.90			Excluded																				41	
		TOTAL					218	65.27		116	34.73																							334	
							Elected																												
																																			
Derby                                                          																																			
	FIRST			23	1.96		372	31.77		497	42.44		81	6.92		44	3.76		13	1.11		14	1.20		1	0.09		1	0.09		125	10.67		1171	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		23	1.96		372	31.77		497	42.44		81	6.92		45	3.84		13	1.11		14	1.20		1	0.09					125	10.67		1171	
	THIRD			1	7.69		1	7.69		1	7.69		0	0.00		3	23.08			Excluded		1	7.69		1	7.69					5	38.46		13	
		TOTAL		24	2.05		373	31.85		498	42.53		81	6.92		48	4.10					15	1.28		2	0.17					130	11.10		1171	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					2	100.00		2	
		TOTAL		24	2.05		373	31.85		498	42.53		81	6.92		48	4.10					15	1.28								132	11.27		1171	
	FIFTH			14	10.61		55	41.67		25	18.94		10	7.58		18	13.64					10	7.58									Excluded		132	
		TOTAL		38	3.25		428	36.55		523	44.66		91	7.77		66	5.64					25	2.13											1171	
	SIXTH			3	12.00		1	4.00		7	28.00		7	28.00		7	28.00						Excluded											25	
		TOTAL		41	3.50		429	36.64		530	45.26		98	8.37		73	6.23																	1171	
	SEVENTH				Excluded		17	41.46		11	26.83		1	2.44		12	29.27																	41	
		TOTAL					446	38.09		541	46.20		99	8.45		85	7.26																	1171	
	EIGHTH						15	17.65		52	61.18		18	21.18			Excluded																	85	
		TOTAL					461	39.37		593	50.64		117	9.99																				1171	
	NINTH						76	64.96		41	35.04			Excluded																				117	
		TOTAL					537	45.86		634	54.14																							1171	
							Elected																												
																																			
Esperance                                                      																																			
	FIRST			67	2.94		1240	54.48		538	23.64		194	8.52		109	4.79		8	0.35		32	1.41		14	0.62		4	0.18		70	3.08		2276	
	SECOND			0	0.00		0	0.00		0	0.00		1	25.00		1	25.00		1	25.00		1	25.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		67	2.94		1240	54.48		538	23.64		195	8.57		110	4.83		9	0.40		33	1.45		14	0.62					70	3.08		2276	
	THIRD			0	0.00		1	11.11		1	11.11		3	33.33		2	22.22			Excluded		2	22.22		0	0.00					0	0.00		9	
		TOTAL		67	2.94		1241	54.53		539	23.68		198	8.70		112	4.92					35	1.54		14	0.62					70	3.08		2276	
	FOURTH			0	0.00		2	14.29		1	7.14		1	7.14		2	14.29					6	42.86			Excluded					2	14.29		14	
		TOTAL		67	2.94		1243	54.61		540	23.73		199	8.74		114	5.01					41	1.80								72	3.16		2276	
	FIFTH			1	1.39		53	73.61		4	5.56		3	4.17		6	8.33					5	6.94									Excluded		72	
		TOTAL		68	2.99		1296	56.94		544	23.90		202	8.88		120	5.27					46	2.02											2276	
	SIXTH			5	10.87		14	30.43		5	10.87		7	15.22		15	32.61						Excluded											46	
		TOTAL		73	3.21		1310	57.56		549	24.12		209	9.18		135	5.93																	2276	
	SEVENTH				Excluded		24	32.88		16	21.92		9	12.33		24	32.88																	73	
		TOTAL					1334	58.61		565	24.82		218	9.58		159	6.99																	2276	
	EIGHTH						26	16.35		90	56.60		43	27.04			Excluded																	159	
		TOTAL					1360	59.75		655	28.78		261	11.47																				2276	
	NINTH						160	61.30		101	38.70			Excluded																				261	
		TOTAL					1520	66.78		756	33.22																							2276	
							Elected																												
																																			
Exmouth                                                        																																			
	FIRST			31	3.06		530	52.27		261	25.74		79	7.79		65	6.41		1	0.10		32	3.16		6	0.59		0	0.00		9	0.89		1014	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		31	3.06		530	52.27		261	25.74		79	7.79		65	6.41		1	0.10		32	3.16		6	0.59					9	0.89		1014	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1	
		TOTAL		31	3.06		530	52.27		261	25.74		79	7.79		65	6.41					33	3.25		6	0.59					9	0.89		1014	
	FOURTH			0	0.00		1	16.67		0	0.00		0	0.00		1	16.67					3	50.00			Excluded					1	16.67		6	
		TOTAL		31	3.06		531	52.37		261	25.74		79	7.79		66	6.51					36	3.55								10	0.99		1014	
	FIFTH			2	20.00		3	30.00		1	10.00		1	10.00		1	10.00					2	20.00									Excluded		10	
		TOTAL		33	3.25		534	52.66		262	25.84		80	7.89		67	6.61					38	3.75											1014	
	SIXTH			8	21.05		12	31.58		7	18.42		4	10.53		7	18.42						Excluded											38	
		TOTAL		41	4.04		546	53.85		269	26.53		84	8.28		74	7.30																	1014	
	SEVENTH				Excluded		12	29.27		10	24.39		3	7.32		16	39.02																	41	
		TOTAL					558	55.03		279	27.51		87	8.58		90	8.88																	1014	
	EIGHTH						21	23.33		47	52.22		22	24.44			Excluded																	90	
		TOTAL					579	57.10		326	32.15		109	10.75																				1014	
	NINTH						49	44.95		60	55.05			Excluded																				109	
		TOTAL					628	61.93		386	38.07																							1014	
							Elected																												
																																			
Fitzroy Crossing                                               																																			
	FIRST			11	2.93		79	21.01		243	64.63		9	2.39		8	2.13		7	1.86		3	0.80		1	0.27		1	0.27		14	3.72		376	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		11	2.93		79	21.01		243	64.63		9	2.39		8	2.13		7	1.86		3	0.80		1	0.27					15	3.99		376	
	THIRD			1	14.29		0	0.00		2	28.57		0	0.00		3	42.86			Excluded		0	0.00		0	0.00					1	14.29		7	
		TOTAL		12	3.19		79	21.01		245	65.16		9	2.39		11	2.93					3	0.80		1	0.27					16	4.26		376	
	FOURTH			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		1	
		TOTAL		12	3.19		80	21.28		245	65.16		9	2.39		11	2.93					3	0.80								16	4.26		376	
	FIFTH			3	18.75		7	43.75		1	6.25		1	6.25		1	6.25					3	18.75									Excluded		16	
		TOTAL		15	3.99		87	23.14		246	65.43		10	2.66		12	3.19					6	1.60											376	
	SIXTH			1	16.67		2	33.33		1	16.67		1	16.67		1	16.67						Excluded											6	
		TOTAL		16	4.26		89	23.67		247	65.69		11	2.93		13	3.46																	376	
	SEVENTH				Excluded		11	68.75		4	25.00		1	6.25		0	0.00																	16	
		TOTAL					100	26.60		251	66.76		12	3.19		13	3.46																	376	
	EIGHTH						3	23.08		8	61.54		2	15.38			Excluded																	13	
		TOTAL					103	27.39		259	68.88		14	3.72																				376	
	NINTH						10	71.43		4	28.57			Excluded																				14	
		TOTAL					113	30.05		263	69.95																							376	
							Elected																												
																																			
Gascoyne Junction                                              																																			
	FIRST			1	2.04		26	53.06		10	20.41		7	14.29		0	0.00		0	0.00		2	4.08		1	2.04		0	0.00		2	4.08		49	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	2.04		26	53.06		10	20.41		7	14.29		0	0.00		0	0.00		2	4.08		1	2.04					2	4.08		49	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	2.04		26	53.06		10	20.41		7	14.29		0	0.00					2	4.08		1	2.04					2	4.08		49	
	FOURTH			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00					0	0.00			Excluded					0	0.00		1	
		TOTAL		1	2.04		26	53.06		10	20.41		8	16.33		0	0.00					2	4.08								2	4.08		49	
	FIFTH			0	0.00		2	100.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		2	
		TOTAL		1	2.04		28	57.14		10	20.41		8	16.33		0	0.00					2	4.08											49	
	SIXTH			1	50.00		1	50.00		0	0.00		0	0.00		0	0.00						Excluded											2	
		TOTAL		2	4.08		29	59.18		10	20.41		8	16.33		0	0.00																	49	
	SEVENTH				Excluded		1	50.00		1	50.00		0	0.00		0	0.00																	2	
		TOTAL					30	61.22		11	22.45		8	16.33		0	0.00																	49	
	EIGHTH						0	0.00		0	0.00		0	0.00			Excluded																	0	
		TOTAL					30	61.22		11	22.45		8	16.33																				49	
	NINTH						6	75.00		2	25.00			Excluded																				8	
		TOTAL					36	73.47		13	26.53																							49	
							Elected																												
																																			
Gibson                                                         																																			
	FIRST			4	2.33		104	60.47		33	19.19		12	6.98		1	0.58		1	0.58		4	2.33		1	0.58		0	0.00		12	6.98		172	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	2.33		104	60.47		33	19.19		12	6.98		1	0.58		1	0.58		4	2.33		1	0.58					12	6.98		172	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1	
		TOTAL		4	2.33		104	60.47		33	19.19		12	6.98		1	0.58					5	2.91		1	0.58					12	6.98		172	
	FOURTH			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00					0	0.00			Excluded					0	0.00		1	
		TOTAL		4	2.33		104	60.47		33	19.19		13	7.56		1	0.58					5	2.91								12	6.98		172	
	FIFTH			0	0.00		10	83.33		0	0.00		0	0.00		1	8.33					1	8.33									Excluded		12	
		TOTAL		4	2.33		114	66.28		33	19.19		13	7.56		2	1.16					6	3.49											172	
	SIXTH			0	0.00		4	66.67		1	16.67		0	0.00		1	16.67						Excluded											6	
		TOTAL		4	2.33		118	68.60		34	19.77		13	7.56		3	1.74																	172	
	SEVENTH				Excluded		3	75.00		0	0.00		0	0.00		1	25.00																	4	
		TOTAL					121	70.35		34	19.77		13	7.56		4	2.33																	172	
	EIGHTH						0	0.00		2	50.00		2	50.00			Excluded																	4	
		TOTAL					121	70.35		36	20.93		15	8.72																				172	
	NINTH						11	73.33		4	26.67			Excluded																				15	
		TOTAL					132	76.74		40	23.26																							172	
							Elected																												
																																			
Grass Patch                                                    																																			
	FIRST			2	2.04		63	64.29		6	6.12		16	16.33		0	0.00		0	0.00		2	2.04		0	0.00		0	0.00		9	9.18		98	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	2.04		63	64.29		6	6.12		16	16.33		0	0.00		0	0.00		2	2.04		0	0.00					9	9.18		98	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		2	2.04		63	64.29		6	6.12		16	16.33		0	0.00					2	2.04		0	0.00					9	9.18		98	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		0	
		TOTAL		2	2.04		63	64.29		6	6.12		16	16.33		0	0.00					2	2.04								9	9.18		98	
	FIFTH			1	11.11		5	55.56		0	0.00		1	11.11		0	0.00					2	22.22									Excluded		9	
		TOTAL		3	3.06		68	69.39		6	6.12		17	17.35		0	0.00					4	4.08											98	
	SIXTH			0	0.00		4	100.00		0	0.00		0	0.00		0	0.00						Excluded											4	
		TOTAL		3	3.06		72	73.47		6	6.12		17	17.35		0	0.00																	98	
	SEVENTH				Excluded		2	66.67		1	33.33		0	0.00		0	0.00																	3	
		TOTAL					74	75.51		7	7.14		17	17.35		0	0.00																	98	
	EIGHTH						0	0.00		0	0.00		0	0.00			Excluded																	0	
		TOTAL					74	75.51		7	7.14		17	17.35																				98	
	NINTH						14	82.35		3	17.65			Excluded																				17	
		TOTAL					88	89.80		10	10.20																							98	
							Elected																												
																																			
Halls Creek                                                    																																			
	FIRST			16	3.57		106	23.66		259	57.81		24	5.36		17	3.79		4	0.89		9	2.01		2	0.45		0	0.00		11	2.46		448	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		16	3.57		106	23.66		259	57.81		24	5.36		17	3.79		4	0.89		9	2.01		2	0.45					11	2.46		448	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		1	25.00			Excluded		3	75.00		0	0.00					0	0.00		4	
		TOTAL		16	3.57		106	23.66		259	57.81		24	5.36		18	4.02					12	2.68		2	0.45					11	2.46		448	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00					1	50.00			Excluded					0	0.00		2	
		TOTAL		16	3.57		106	23.66		259	57.81		24	5.36		19	4.24					13	2.90								11	2.46		448	
	FIFTH			0	0.00		7	63.64		1	9.09		2	18.18		0	0.00					1	9.09									Excluded		11	
		TOTAL		16	3.57		113	25.22		260	58.04		26	5.80		19	4.24					14	3.13											448	
