House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
O'Connor																																			
					TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			
	FOURTH			1	7.14		1	7.14		4	28.57					5	35.71		1	7.14					1	7.14			Excluded		1	7.14		14	
		TOTAL		155	42.23		11	3.00		8	2.18					27	7.36		64	17.44					46	12.53					56	15.26		367	
	FIFTH			1	12.50		0	0.00			Excluded					1	12.50		3	37.50					2	25.00					1	12.50		8	
		TOTAL		156	42.51		11	3.00								28	7.63		67	18.26					48	13.08					57	15.53		367	
	SIXTH			5	45.45			Excluded								2	18.18		1	9.09					3	27.27					0	0.00		11	
		TOTAL		161	43.87											30	8.17		68	18.53					51	13.90					57	15.53		367	
	SEVENTH			6	8.82											14	20.59			Excluded					8	11.76					40	58.82		68	
		TOTAL		167	45.50											44	11.99								59	16.08					97	26.43		367	
	EIGHTH			22	50.00												Excluded								8	18.18					14	31.82		44	
		TOTAL		189	51.50																				67	18.26					111	30.25		367	
	NINTH			35	52.24																					Excluded					32	47.76		67	
		TOTAL		224	61.04																										143	38.96		367	
				Elected																															
																																			
Boscabel                                                       																																			
	FIRST			34	51.52		2	3.03		1	1.52		0	0.00		13	19.70		3	4.55		1	1.52		8	12.12		0	0.00		4	6.06		66	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		34	51.52		2	3.03		1	1.52		0	0.00		13	19.70		3	4.55					9	13.64		0	0.00		4	6.06		66	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		34	51.52		2	3.03		1	1.52					13	19.70		3	4.55					9	13.64		0	0.00		4	6.06		66	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		34	51.52		2	3.03		1	1.52					13	19.70		3	4.55					9	13.64					4	6.06		66	
	FIFTH			0	0.00		0	0.00			Excluded					1	100.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		34	51.52		2	3.03								14	21.21		3	4.55					9	13.64					4	6.06		66	
	SIXTH			2	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		2	
		TOTAL		36	54.55											14	21.21		3	4.55					9	13.64					4	6.06		66	
	SEVENTH			0	0.00											2	66.67			Excluded					1	33.33					0	0.00		3	
		TOTAL		36	54.55											16	24.24								10	15.15					4	6.06		66	
	EIGHTH			12	75.00												Excluded								3	18.75					1	6.25		16	
		TOTAL		48	72.73																				13	19.70					5	7.58		66	
	NINTH			9	69.23																					Excluded					4	30.77		13	
		TOTAL		57	86.36																										9	13.64		66	
				Elected																															
																																			
Boxwood Hill                                                   																																			
	FIRST			35	53.03		2	3.03		0	0.00		0	0.00		10	15.15		3	4.55		0	0.00		13	19.70		0	0.00		3	4.55		66	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		35	53.03		2	3.03		0	0.00		0	0.00		10	15.15		3	4.55					13	19.70		0	0.00		3	4.55		66	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		35	53.03		2	3.03		0	0.00					10	15.15		3	4.55					13	19.70		0	0.00		3	4.55		66	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		35	53.03		2	3.03		0	0.00					10	15.15		3	4.55					13	19.70					3	4.55		66	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		35	53.03		2	3.03								10	15.15		3	4.55					13	19.70					3	4.55		66	
	SIXTH			2	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		2	
		TOTAL		37	56.06											10	15.15		3	4.55					13	19.70					3	4.55		66	
	SEVENTH			0	0.00											2	66.67			Excluded					0	0.00					1	33.33		3	
		TOTAL		37	56.06											12	18.18								13	19.70					4	6.06		66	
	EIGHTH			11	91.67												Excluded								1	8.33					0	0.00		12	
		TOTAL		48	72.73																				14	21.21					4	6.06		66	
	NINTH			10	71.43																					Excluded					4	28.57		14	
		TOTAL		58	87.88																										8	12.12		66	
				Elected																															
																																			
Boyup Brook                                                    																																			
	FIRST			317	56.31		4	0.71		13	2.31		2	0.36		34	6.04		29	5.15		2	0.36		67	11.90		3	0.53		92	16.34		563	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		0	0.00		0	0.00		2	
		TOTAL		317	56.31		4	0.71		13	2.31		2	0.36		34	6.04		29	5.15					69	12.26		3	0.53		92	16.34		563	
	THIRD			0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1	50.00		2	
		TOTAL		317	56.31		5	0.89		13	2.31					34	6.04		29	5.15					69	12.26		3	0.53		93	16.52		563	
	FOURTH			1	33.33		0	0.00		0	0.00					0	0.00		1	33.33					0	0.00			Excluded		1	33.33		3	
		TOTAL		318	56.48		5	0.89		13	2.31					34	6.04		30	5.33					69	12.26					94	16.70		563	
	FIFTH			3	23.08		0	0.00			Excluded					1	7.69		2	15.38					1	7.69					6	46.15		13	
		TOTAL		321	57.02		5	0.89								35	6.22		32	5.68					70	12.43					100	17.76		563	
	SIXTH			2	40.00			Excluded								0	0.00		1	20.00					1	20.00					1	20.00		5	
		TOTAL		323	57.37											35	6.22		33	5.86					71	12.61					101	17.94		563	
	SEVENTH			5	15.15											12	36.36			Excluded					3	9.09					13	39.39		33	
		TOTAL		328	58.26											47	8.35								74	13.14					114	20.25		563	
	EIGHTH			30	63.83												Excluded								9	19.15					8	17.02		47	
		TOTAL		358	63.59																				83	14.74					122	21.67		563	
	NINTH			60	72.29																					Excluded					23	27.71		83	
		TOTAL		418	74.25																										145	25.75		563	
				Elected																															
																																			
Bremer Bay                                                     																																			
	FIRST			123	52.12		2	0.85		1	0.42		0	0.00		31	13.14		5	2.12		0	0.00		29	12.29		2	0.85		43	18.22		236	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		123	52.12		2	0.85		1	0.42		0	0.00		31	13.14		5	2.12					29	12.29		2	0.85		43	18.22		236	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		123	52.12		2	0.85		1	0.42					31	13.14		5	2.12					29	12.29		2	0.85		43	18.22		236	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					1	50.00			Excluded		1	50.00		2	
		TOTAL		123	52.12		2	0.85		1	0.42					31	13.14		5	2.12					30	12.71					44	18.64		236	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		1	100.00					0	0.00					0	0.00		1	
		TOTAL		123	52.12		2	0.85								31	13.14		6	2.54					30	12.71					44	18.64		236	
	SIXTH			0	0.00			Excluded								1	50.00		0	0.00					1	50.00					0	0.00		2	
		TOTAL		123	52.12											32	13.56		6	2.54					31	13.14					44	18.64		236	
	SEVENTH			0	0.00											1	16.67			Excluded					1	16.67					4	66.67		6	
		TOTAL		123	52.12											33	13.98								32	13.56					48	20.34		236	
	EIGHTH			27	81.82												Excluded								3	9.09					3	9.09		33	
		TOTAL		150	63.56																				35	14.83					51	21.61		236	
	NINTH			17	48.57																					Excluded					18	51.43		35	
		TOTAL		167	70.76																										69	29.24		236	
				Elected																															
																																			
Broomehill                                                     																																			
	FIRST			94	43.52		5	2.31		2	0.93		3	1.39		47	21.76		6	2.78		0	0.00		28	12.96		2	0.93		29	13.43		216	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		94	43.52		5	2.31		2	0.93		3	1.39		47	21.76		6	2.78					28	12.96		2	0.93		29	13.43		216	
	THIRD			1	33.33		0	0.00		1	33.33			Excluded		0	0.00		0	0.00					1	33.33		0	0.00		0	0.00		3	
		TOTAL		95	43.98		5	2.31		3	1.39					47	21.76		6	2.78					29	13.43		2	0.93		29	13.43		216	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		1	50.00					1	50.00			Excluded		0	0.00		2	
		TOTAL		95	43.98		5	2.31		3	1.39					47	21.76		7	3.24					30	13.89					29	13.43		216	
	FIFTH			0	0.00		0	0.00			Excluded					2	66.67		1	33.33					0	0.00					0	0.00		3	
		TOTAL		95	43.98		5	2.31								49	22.69		8	3.70					30	13.89					29	13.43		216	
	SIXTH			2	40.00			Excluded								0	0.00		0	0.00					3	60.00					0	0.00		5	
		TOTAL		97	44.91											49	22.69		8	3.70					33	15.28					29	13.43		216	
	SEVENTH			0	0.00											2	25.00			Excluded					2	25.00					4	50.00		8	
		TOTAL		97	44.91											51	23.61								35	16.20					33	15.28		216	
	EIGHTH			39	76.47												Excluded								6	11.76					6	11.76		51	
		TOTAL		136	62.96																				41	18.98					39	18.06		216	
	NINTH			29	70.73																					Excluded					12	29.27		41	
		TOTAL		165	76.39																										51	23.61		216	
				Elected																															
																																			
Bruce Rock                                                     																																			
	FIRST			220	52.26		9	2.14		6	1.43		4	0.95		85	20.19		3	0.71		0	0.00		29	6.89		4	0.95		61	14.49		421	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		220	52.26		9	2.14		6	1.43		4	0.95		85	20.19		3	0.71					29	6.89		4	0.95		61	14.49		421	
	THIRD			0	0.00		1	25.00		1	25.00			Excluded		1	25.00		1	25.00					0	0.00		0	0.00		0	0.00		4	
		TOTAL		220	52.26		10	2.38		7	1.66					86	20.43		4	0.95					29	6.89		4	0.95		61	14.49		421	
	FOURTH			2	50.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		2	50.00		4	
		TOTAL		222	52.73		10	2.38		7	1.66					86	20.43		4	0.95					29	6.89					63	14.96		421	
	FIFTH			2	28.57		0	0.00			Excluded					3	42.86		1	14.29					1	14.29					0	0.00		7	
		TOTAL		224	53.21		10	2.38								89	21.14		5	1.19					30	7.13					63	14.96		421	
	SIXTH			4	40.00			Excluded								4	40.00		0	0.00					1	10.00					1	10.00		10	
		TOTAL		228	54.16											93	22.09		5	1.19					31	7.36					64	15.20		421	
	SEVENTH			0	0.00											0	0.00			Excluded					2	40.00					3	60.00		5	
		TOTAL		228	54.16											93	22.09								33	7.84					67	15.91		421	
	EIGHTH			86	92.47												Excluded								3	3.23					4	4.30		93	
		TOTAL		314	74.58																				36	8.55					71	16.86		421	
	NINTH			23	63.89																					Excluded					13	36.11		36	
		TOTAL		337	80.05																										84	19.95		421	
				Elected																															
																																			
Bullaring                                                      																																			
	FIRST			37	63.79		1	1.72		0	0.00		0	0.00		12	20.69		1	1.72		0	0.00		3	5.17		1	1.72		3	5.17		58	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		37	63.79		1	1.72		0	0.00		0	0.00		12	20.69		1	1.72					3	5.17		1	1.72		3	5.17		58	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		37	63.79		1	1.72		0	0.00					12	20.69		1	1.72					3	5.17		1	1.72		3	5.17		58	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		1	100.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		37	63.79		1	1.72		0	0.00					12	20.69		2	3.45					3	5.17					3	5.17		58	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		37	63.79		1	1.72								12	20.69		2	3.45					3	5.17					3	5.17		58	
	SIXTH			1	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		38	65.52											12	20.69		2	3.45					3	5.17					3	5.17		58	
	SEVENTH			1	50.00											1	50.00			Excluded					0	0.00					0	0.00		2	
		TOTAL		39	67.24											13	22.41								3	5.17					3	5.17		58	
	EIGHTH			12	92.31												Excluded								1	7.69					0	0.00		13	
		TOTAL		51	87.93																				4	6.90					3	5.17		58	
	NINTH			3	75.00																					Excluded					1	25.00		4	
		TOTAL		54	93.10																										4	6.90		58	
				Elected																															
																																			
Bulyee                                                         																																			
	FIRST			20	60.61		0	0.00		0	0.00		0	0.00		12	36.36		0	0.00		0	0.00		0	0.00		1	3.03		0	0.00		33	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		20	60.61		0	0.00		0	0.00		0	0.00		12	36.36		0	0.00					0	0.00		1	3.03		0	0.00		33	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		20	60.61		0	0.00		0	0.00					12	36.36		0	0.00					0	0.00		1	3.03		0	0.00		33	
	FOURTH			0	0.00		0	0.00		0	0.00					1	100.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		20	60.61		0	0.00		0	0.00					13	39.39		0	0.00					0	0.00					0	0.00		33	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		20	60.61		0	0.00								13	39.39		0	0.00					0	0.00					0	0.00		33	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		20	60.61											13	39.39		0	0.00					0	0.00					0	0.00		33	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		20	60.61											13	39.39								0	0.00					0	0.00		33	
	EIGHTH			13	100.00												Excluded								0	0.00					0	0.00		13	
		TOTAL		33	100.00																				0	0.00					0	0.00		33	
	NINTH			0	0.00																					Excluded					0	0.00		0	
		TOTAL		33	100.00																										0	0.00		33	
				Elected																															
																																			
Buntine                                                        																																			
	FIRST			55	75.34		1	1.37		0	0.00		0	0.00		5	6.85		0	0.00		0	0.00		6	8.22		1	1.37		5	6.85		73	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		55	75.34		1	1.37		0	0.00		0	0.00		5	6.85		0	0.00					6	8.22		1	1.37		5	6.85		73	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		55	75.34		1	1.37		0	0.00					5	6.85		0	0.00					6	8.22		1	1.37		5	6.85		73	
	FOURTH			0	0.00		0	0.00		1	100.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		55	75.34		1	1.37		1	1.37					5	6.85		0	0.00					6	8.22					5	6.85		73	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		1	100.00					0	0.00					0	0.00		1	
		TOTAL		55	75.34		1	1.37								5	6.85		1	1.37					6	8.22					5	6.85		73	
	SIXTH			0	0.00			Excluded								1	100.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		55	75.34											6	8.22		1	1.37					6	8.22					5	6.85		73	
	SEVENTH			1	100.00											0	0.00			Excluded					0	0.00					0	0.00		1	
		TOTAL		56	76.71											6	8.22								6	8.22					5	6.85		73	
	EIGHTH			6	100.00												Excluded								0	0.00					0	0.00		6	
		TOTAL		62	84.93																				6	8.22					5	6.85		73	
	NINTH			5	83.33																					Excluded					1	16.67		6	
		TOTAL		67	91.78																										6	8.22		73	
				Elected																															
																																			
Cadoux                                                         																																			
	FIRST			76	69.09		0	0.00		1	0.91		0	0.00		17	15.45		2	1.82		0	0.00		11	10.00		1	0.91		2	1.82		110	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		76	69.09		0	0.00		1	0.91		0	0.00		17	15.45		2	1.82					11	10.00		1	0.91		2	1.82		110	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		76	69.09		0	0.00		1	0.91					17	15.45		2	1.82					11	10.00		1	0.91		2	1.82		110	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		1	100.00		1	
		TOTAL		76	69.09		0	0.00		1	0.91					17	15.45		2	1.82					11	10.00					3	2.73		110	
	FIFTH			1	100.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		77	70.00		0	0.00								17	15.45		2	1.82					11	10.00					3	2.73		110	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		77	70.00											17	15.45		2	1.82					11	10.00					3	2.73		110	
	SEVENTH			1	50.00											0	0.00			Excluded					0	0.00					1	50.00		2	
		TOTAL		78	70.91											17	15.45								11	10.00					4	3.64		110	
	EIGHTH			16	94.12												Excluded								0	0.00					1	5.88		17	
		TOTAL		94	85.45																				11	10.00					5	4.55		110	
	NINTH			8	72.73																					Excluded					3	27.27		11	
		TOTAL		102	92.73																										8	7.27		110	
				Elected																															
																																			
Calingiri                                                      																																			
	FIRST			105	64.02		0	0.00		3	1.83		1	0.61		19	11.59		1	0.61		0	0.00		22	13.41		1	0.61		12	7.32		164	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		105	64.02		0	0.00		3	1.83		1	0.61		19	11.59		1	0.61					22	13.41		1	0.61		12	7.32		164	
	THIRD			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		105	64.02		0	0.00		4	2.44					19	11.59		1	0.61					22	13.41		1	0.61		12	7.32		164	
	FOURTH			0	0.00		0	0.00		1	100.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	
		TOTAL		105	64.02		0	0.00		5	3.05					19	11.59		1	0.61					22	13.41					12	7.32		164	
	FIFTH			0	0.00		0	0.00			Excluded					1	20.00		2	40.00					1	20.00					1	20.00		5	
		TOTAL		105	64.02		0	0.00								20	12.20		3	1.83					23	14.02					13	7.93		164	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		105	64.02											20	12.20		3	1.83					23	14.02					13	7.93		164	
	SEVENTH			0	0.00											1	33.33			Excluded					0	0.00					2	66.67		3	
		TOTAL		105	64.02											21	12.80								23	14.02					15	9.15		164	
	EIGHTH			17	80.95												Excluded								2	9.52					2	9.52		21	
		TOTAL		122	74.39																				25	15.24					17	10.37		164	
	NINTH			14	56.00																					Excluded					11	44.00		25	
		TOTAL		136	82.93																										28	17.07		164	
				Elected																															
																																			
Cape Burney                                                    																																			
	FIRST			100	46.51		0	0.00		6	2.79		1	0.47		4	1.86		10	4.65		0	0.00		35	16.28		5	2.33		54	25.12		215	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		100	46.51		0	0.00		6	2.79		1	0.47		4	1.86		10	4.65					35	16.28		5	2.33		54	25.12		215	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00		0	0.00		1	
		TOTAL		100	46.51		0	0.00		6	2.79					4	1.86		10	4.65					36	16.74		5	2.33		54	25.12		215	
	FOURTH			0	0.00		0	0.00		1	20.00					3	60.00		1	20.00					0	0.00			Excluded		0	0.00		5	
		TOTAL		100	46.51		0	0.00		7	3.26					7	3.26		11	5.12					36	16.74					54	25.12		215	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		3	42.86					0	0.00					4	57.14		7	
		TOTAL		100	46.51		0	0.00								7	3.26		14	6.51					36	16.74					58	26.98		215	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		100	46.51											7	3.26		14	6.51					36	16.74					58	26.98		215	
	SEVENTH			2	14.29											3	21.43			Excluded					4	28.57					5	35.71		14	
